UniqueID_Plastic_study,Site,lat,lon,MarineRegion
105,Weddell Sea,-69.951182,-50.273438,Southern Ocean
106,"Victoria, Australia",-36.9847807,143.3906074,Indian Ocean
107,New Zealand,-40.900557,174.885971,South Pacific Ocean
108,New Zealand,-40.900557,174.885971,South Pacific Ocean
109,South Africa,-30.559482,22.937506,Indian Ocean
110,Hawaii,19.896766,-155.582782,North Pacific Ocean
111,tropical Pacific,-8.783195,-124.508523,South Pacific Ocean
112,Alaska,64.200841,-149.493673,North Pacific Ocean
113,Midway Atoll,28.210076,-177.376111,North Pacific Ocean
114,Ross Sea,-74.672912,-168.184274,Southern Ocean
115,Ross Sea,-70.899816,-89.13946,Southern Ocean
116,Scotia Sea,-57.534867,-43.486725,South Pacific Ocean
117,Weddell Sea,-69.951182,-50.273438,Southern Ocean
118,New Zealand,-40.900557,174.885971,South Pacific Ocean
119,Gough Island,-40.318641,-9.935332,South Pacific Ocean
120,New Zealand,-40.900557,174.885971,South Pacific Ocean
121,South Africa,-30.559482,22.937506,Indian Ocean
122,Inaccessible Island,-37.300789,-12.677882,South Pacific Ocean
123,Hawaii,19.896766,-155.582782,North Pacific Ocean
124,tropical Pacific,-8.783195,-124.508523,South Pacific Ocean
125,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
126,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
127,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
128,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
129,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
130,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
131,Hawaii,19.896766,-155.582782,North Pacific Ocean
133,Midway Atoll,28.210076,-177.376111,North Pacific Ocean
134,Tern Island,23.868823,-166.285503,North Pacific Ocean
135,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
136,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
137,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
138,Heard Island,-53.08181,73.504158,Indian Ocean
139,Scotland,56.490671,-4.202646,North Atlantic Ocean
140,Gough Island,-40.318641,-9.935332,South Pacific Ocean
142,South Africa,-30.559482,22.937506,Indian Ocean
143,Snares Island,-48.024949,166.600965,South Pacific Ocean
144,New Zealand,-46.312086,174.115693,South Pacific Ocean
146,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean
147,North Pacific,33,-130,North Pacific Ocean
148,tropical Pacific,-8.783195,-124.508523,South Pacific Ocean
149,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean
150,Nihoa Island,23.060366,-161.922026,North Pacific Ocean
151,tropical Pacific,-8.783195,-124.508523,South Pacific Ocean
152,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
153,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
154,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
155,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
156,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
157,South Africa,-30.559482,22.937506,Indian Ocean
158,South Africa,-30.559482,22.937506,Indian Ocean
159,Ross Sea,-74.672912,-168.184274,Southern Ocean
160,Weddell Sea,-71.411128,-44.854941,Southern Ocean
161,Drake Passage,-60.311783,-63.40971,Southern Ocean
162,Scotia Sea,-58.555249,-36.096044,South Pacific Ocean
163,Ross Sea,-70.899816,-89.13946,Southern Ocean
164,Scotia Sea,-57.534867,-43.486725,South Pacific Ocean
165,Drake Passage,-63.339181,-64.569945,Southern Ocean
166,Weddell Sea,-69.951182,-50.273438,Southern Ocean
167,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean
168,"Brazil, Sao Paulo",-14.235004,-51.92528,South Pacific Ocean
169,"King George Is, Antarctica",-61.995046,-58.007861,Southern Ocean
170,Signey Island,-60.716686,-45.633442,Southern Ocean
171,"Coast of Rio Grande do Sul, Brazil",-30.68603,-50.473274,South Pacific Ocean
172,South Africa,-30.559482,22.937506,Indian Ocean
173,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
174,Rio Grande do Sul,-31.807168,-51.618266,South Pacific Ocean
175,"Coast of Rio Grande do Sul, Brazil",-30.68603,-50.473274,South Pacific Ocean
176,Alaska,64.200841,-149.493673,North Pacific Ocean
177,Washington and Oregon Coast,46.793391,-124.091651,North Pacific Ocean
178,Washington and Oregon Coast,46.793391,-124.091651,North Pacific Ocean
179,Washington and Oregon Coast,46.793391,-124.091651,North Pacific Ocean
180,Alaska,52.999639,-166.912109,North Pacific Ocean
181,South Africa,-30.559482,22.937506,Indian Ocean
182,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean
183,Hawaii,19.896766,-155.582782,North Pacific Ocean
184,Laysan Island,25.767853,-171.732206,North Pacific Ocean
185,Nihoa Island,23.060366,-161.922026,North Pacific Ocean
186,tropical Pacific,-8.783195,-124.508523,South Pacific Ocean
187,tropical Pacific,-8.783195,-124.508523,South Pacific Ocean
188,Scotia Sea,-57.534867,-43.486725,South Pacific Ocean
189,Chatham Is,-43.912096,-176.543303,South Pacific Ocean
190,Gough Island,-40.318641,-9.935332,South Pacific Ocean
192,South Africa,-30.559482,22.937506,Indian Ocean
193,"Fogo Island, Newfoundland, Canada",49.715417,-54.534061,North Atlantic Ocean
194,"Fogo Island, Newfoundland, Canada",49.715417,-54.534061,North Atlantic Ocean
195,"Fogo Island, Newfoundland, Canada",49.715417,-54.534061,North Atlantic Ocean
196,Hornsund,76.881101,15.9084,Arctic Ocean
197,"Cape Dorset, Nunavut",64.230375,-76.540963,Arctic Ocean
198,"Nuuk, Greenland",64.18141,-51.694138,Arctic Ocean
199,"Belcher Is, Nunavut",56.622294,-78.794321,Arctic Ocean
200,"Nuuk, Greenland",64.18141,-51.694138,Arctic Ocean
201,"Cape Dorset, Nunavut",64.230375,-76.540963,Arctic Ocean
202,"Vancouver, BC",49.282729,-123.120738,North Pacific Ocean
203,Ireland,53.7797554,-7.3055309,North Atlantic Ocean
204,"Vancouver, BC",49.282729,-123.120738,North Pacific Ocean
205,"Vancouver, BC",49.282729,-123.120738,North Pacific Ocean
206,"Vancouver, BC",49.282729,-123.120738,North Pacific Ocean
207,North Pacific,45.522224,-122.679826,North Pacific Ocean
208,Newfoundland,53.135509,-57.660436,North Atlantic Ocean
209,Newfoundland,53.135509,-57.660436,North Atlantic Ocean
210,Alaska,64.200841,-149.493673,North Pacific Ocean
211,"Renews, Newfoundland",46.861066,-52.946643,North Atlantic Ocean
212,"St. Mary's Bay, Newfoundland",47.036816,-53.761189,North Atlantic Ocean
213,Alaska,52.999639,-166.912109,North Pacific Ocean
214,South Africa,-30.559482,22.937506,Indian Ocean
215,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
216,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
217,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
218,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
219,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
220,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
221,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean
222,New Zealand,-40.900557,174.885971,South Pacific Ocean
223,"Little Barrier Island, New Zealand",-36.196983,175.077681,South Pacific Ocean
224,Sable Island,43.933721,-59.914914,North Atlantic Ocean
225,"Catalan coast, Spain",43.311099,-4.252477,North Atlantic Ocean
226,"Rio Grande, Brazil",-32.299886,-52.446547,South Pacific Ocean
227,Western North Atlantic,28.389208,-80.605536,North Atlantic Ocean
228,"Coast of Rio Grande do Sul, Brazil",-30.68603,-50.473274,South Pacific Ocean
229,Rio Grande do Sul,-31.807168,-51.618266,South Pacific Ocean
230,Canary Is,40.751612,-73.975357,North Atlantic Ocean
231,South Africa,-30.559482,22.937506,Indian Ocean
232,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
233,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
234,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
235,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
236,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean
237,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean
238,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean
239,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean
240,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,North Pacific Ocean
241,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean
242,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,North Pacific Ocean
243,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean
244,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,North Pacific Ocean
245,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean
246,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,North Pacific Ocean
247,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean
248,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,North Pacific Ocean
249,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean
250,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,North Pacific Ocean
251,"Kiska Island, Alaska, USA",52.060208,177.57356,North Pacific Ocean
252,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean
253,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,North Pacific Ocean
254,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean
255,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,North Pacific Ocean
256,"Kiska Island, Alaska, USA",52.060208,177.57356,North Pacific Ocean
257,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean
258,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,North Pacific Ocean
259,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean
260,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,North Pacific Ocean
261,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean
262,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,North Pacific Ocean
263,"Kiska Island, Alaska, USA",52.060208,177.57356,North Pacific Ocean
264,Alaska,64.200841,-149.493673,North Pacific Ocean
265,Alaska,52.999639,-166.912109,North Pacific Ocean
266,South Africa,-30.559482,22.937506,Indian Ocean
267,North Pacific,33,-130,North Pacific Ocean
268,"Vancouver Island, BC",49.650638,-125.449391,North Pacific Ocean
269,"Vancouver Island, BC",49.650638,-125.449391,North Pacific Ocean
270,Alaska,64.200841,-149.493673,North Pacific Ocean
271,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean
272,Scotia Sea,-57.534867,-43.486725,South Pacific Ocean
273,Weddell Sea,-69.951182,-50.273438,Southern Ocean
274,Antarctica,-82.862752,135,Southern Ocean
275,Ireland,53.7797554,-7.3055309,North Atlantic Ocean
276,Scotland,56.490671,-4.202646,North Atlantic Ocean
277,"Dun, St. Kilda",57.798373,-8.566646,North Atlantic Ocean
278,South Africa,-30.559482,22.937506,Indian Ocean
279,"Firths of Forth and Clyde, Scotland,",-4.114274,55.948345,Indian Ocean
280,New Zealand,-40.900557,174.885971,South Pacific Ocean
281,New Zealand,-40.900557,174.885971,South Pacific Ocean
284,Lord Howe Is,-31.555326,159.082121,South Pacific Ocean
285,Lord Howe Is,-31.555326,159.082121,South Pacific Ocean
286,Lord Howe Is,-31.555326,159.082121,South Pacific Ocean
287,Lord Howe Is,-31.555326,159.082121,South Pacific Ocean
288,"King George Sound, Western Australia",-35.02198,117.945626,Indian Ocean
289,"King George Sound, Western Australia",-35.02198,117.945626,Indian Ocean
290,Lord Howe Is,-31.555326,159.082121,South Pacific Ocean
291,Lord Howe Is,-31.555326,159.082121,South Pacific Ocean
292,North Pacific,33,-130,North Pacific Ocean
293,New Zealand,-46.312086,174.115693,South Pacific Ocean
294,New Zealand,-46.312086,174.115693,South Pacific Ocean
295,New Zealand,-46.312086,174.115693,South Pacific Ocean
296,New Zealand,-46.312086,174.115693,South Pacific Ocean
298,North Pacific,45.522224,-122.679826,North Pacific Ocean
299,Alaska,64.200841,-149.493673,North Pacific Ocean
300,North Pacific,33,-130,North Pacific Ocean
301,N. Pacific,52.999639,-166.912109,North Pacific Ocean
302,Drake Passage,-63.339181,-64.569945,Southern Ocean
303,South Africa,-30.559482,22.937506,Indian Ocean
304,Alaska,64.200841,-149.493673,North Pacific Ocean
305,Hornsund,76.881101,15.9084,Arctic Ocean
306,"Monterey Bay, CA",36.800741,-121.947311,North Pacific Ocean
307,Alaska,64.200841,-149.493673,North Pacific Ocean
308,"Protection Island, Washington, USA",48.127326,-122.929747,North Pacific Ocean
309,Alaska,52.999639,-166.912109,North Pacific Ocean
311,Ireland,53.7797554,-7.3055309,North Atlantic Ocean
312,"Robin Hood Bay Waste Management Facility, St. John's, Newfoundland, Canada",47.61026,-52.68319,North Atlantic Ocean
313,"Robin Hood Bay Waste Management Facility, St. John's, Newfoundland, Canada",47.61026,-52.68319,North Atlantic Ocean
314,"Great Saltee, Co. Wexford, Ireland",52.12074,-6.603497,North Atlantic Ocean
315,"Olhao, Portugal",37.026042,-7.842351,North Atlantic Ocean
318,South Africa,-30.559482,22.937506,Indian Ocean
319,"Ilha Comprida, Brazil",-24.746103,-47.550779,South Pacific Ocean
320,Sable Island,43.933721,-59.914914,North Atlantic Ocean
321,Scotland,56.490671,-4.202646,North Atlantic Ocean
322,Placentia Bay,47.103007,-54.185932,North Atlantic Ocean
323,"Briar Island, Canada",44.254429,-66.368281,North Atlantic Ocean
324,"Rio Grande, Brazil",-32.299886,-52.446547,South Pacific Ocean
325,Brazil,-14.235004,-51.92528,South Pacific Ocean
326,"Benguela Current, SA",18.408724,-34.373693,North Atlantic Ocean
327,Gough Island,-40.318641,-9.935332,South Pacific Ocean
328,NE United States,41.492537,-99.901813,North Atlantic Ocean
329,SE United States,37.09024,-95.712891,North Atlantic Ocean
330,Western North Atlantic,28.389208,-80.605536,North Atlantic Ocean
331,"Coast of Rio Grande do Sul, Brazil",-30.68603,-50.473274,South Pacific Ocean
332,Massachusetts,42.407211,-71.382437,North Atlantic Ocean
333,Eastern US (Massachusetts-S. Carolina),35.201228,-80.842942,North Atlantic Ocean
334,Gough Island,-40.318641,-9.935332,South Pacific Ocean
335,South Africa,-30.559482,22.937506,Indian Ocean
336,Nightengale island,-37.428384,-12.479868,South Pacific Ocean
337,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
338,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
339,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
340,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
341,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
342,Rio Grande do Sul,-31.807168,-51.618266,South Pacific Ocean
343,"Catalan coast, Spain",43.311099,-4.252477,North Atlantic Ocean
344,Faroe Islands,61.766667,-6.816667,North Atlantic Ocean
345,"Inaccessible Island, South Atlantic Ocean",-37.300356,-12.673301,South Pacific Ocean
346,New Zealand,-40.900557,174.885971,South Pacific Ocean
347,South Africa,-30.559482,22.937506,Indian Ocean
348,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean
349,Hawaii,19.896766,-155.582782,North Pacific Ocean
350,Midway Atoll,28.210076,-177.376111,North Pacific Ocean
351,"Vancouver, BC",49.282729,-123.120738,North Pacific Ocean
352,Alaska,64.200841,-149.493673,North Pacific Ocean
353,New Zealand,-46.312086,174.115693,South Pacific Ocean
354,Chatham Is,-43.912096,-176.543303,South Pacific Ocean
355,Gough Island,-40.318641,-9.935332,South Pacific Ocean
356,South Africa,-30.559482,22.937506,Indian Ocean
357,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean
358,Hawaii,19.896766,-155.582782,North Pacific Ocean
359,Midway Atoll,28.210076,-177.376111,North Pacific Ocean
360,Midway Atoll,28.210076,-177.376111,North Pacific Ocean
361,tropical Pacific,-8.783195,-124.508523,South Pacific Ocean
362,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean
363,tropical Pacific,-8.783195,-124.508523,South Pacific Ocean
364,Marion Island,42.033279,-91.596896,North Atlantic Ocean
365,"Coast of Rio Grande do Sul, Brazil",-30.68603,-50.473274,South Pacific Ocean
366,South Africa,-30.559482,22.937506,Indian Ocean
367,"Vancouver Island, BC",49.650638,-125.449391,North Pacific Ocean
368,Alaska,64.200841,-149.493673,North Pacific Ocean
369,South Africa,-30.559482,22.937506,Indian Ocean
370,"Monterey Bay, CA",36.800741,-121.947311,North Pacific Ocean
371,"Monterey Bay, CA",36.800741,-121.947311,North Pacific Ocean
372,Alaska,64.200841,-149.493673,North Pacific Ocean
373,Henderson Island,-24.374377,-128.327111,South Pacific Ocean
374,Ireland,53.7797554,-7.3055309,North Atlantic Ocean
375,"Robin Hood Bay Waste Management Facility, St. John's, Newfoundland, Canada",47.61026,-52.68319,North Atlantic Ocean
376,"Robin Hood Bay Waste Management Facility, St. John's, Newfoundland, Canada",47.61026,-52.68319,North Atlantic Ocean
377,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean
378,North Pacific,45.522224,-122.679826,North Pacific Ocean
379,Alaska,64.200841,-149.493673,North Pacific Ocean
380,North Pacific,33,-130,North Pacific Ocean
381,N. Pacific,52.999639,-166.912109,North Pacific Ocean
382,Chile,-35.675147,-71.542969,South Pacific Ocean
383,Ireland,53.7797554,-7.3055309,North Atlantic Ocean
384,"Robin Hood Bay Waste Management Facility, St. John's, Newfoundland, Canada",47.61026,-52.68319,North Atlantic Ocean
385,"Palmer Station, Anvers Island, Antarctica",-64.588063,-63.583066,Southern Ocean
386,"Palmer Station, Anvers Island, Antarctica",-64.588063,-63.583066,Southern Ocean
387,"Palmer Station, Anvers Island, Antarctica",-64.588063,-63.583066,Southern Ocean
388,South Africa,-30.559482,22.937506,Indian Ocean
389,South Africa,-38.442178,20.988808,Indian Ocean
390,Alaska,64.200841,-149.493673,North Pacific Ocean
391,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean
392,tropical Pacific,-8.783195,-124.508523,South Pacific Ocean
393,Drake Passage,-63.339181,-64.569945,Southern Ocean
394,"Isla de las Gaviotas, Uruguay",-34.902778,-56.104444,South Pacific Ocean
395,South Africa,-30.559482,22.937506,Indian Ocean
396,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
397,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
398,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
399,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
400,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
401,Scotia Sea,-57.534867,-43.486725,South Pacific Ocean
402,Weddell Sea,-69.951182,-50.273438,Southern Ocean
403,"Victoria, Australia",-36.9847807,143.3906074,Indian Ocean
404,Gough Island,-40.318641,-9.935332,South Pacific Ocean
405,New Zealand,-40.900557,174.885971,South Pacific Ocean
406,South Africa,-30.559482,22.937506,Indian Ocean
407,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean
408,Pitcairn Island,-24.376754,-128.324238,South Pacific Ocean
409,tropical Pacific,-8.783195,-124.508523,South Pacific Ocean
410,"Cape Dorset, Nunavut",64.230375,-76.540963,Arctic Ocean
411,"Cape Dorset, Nunavut",64.230375,-76.540963,Arctic Ocean
412,"Nuuk, Greenland",64.18141,-51.694138,Arctic Ocean
413,South Africa,-30.559482,22.937506,Indian Ocean
414,Alaska,64.200841,-149.493673,North Pacific Ocean
415,Alaska,52.999639,-166.912109,North Pacific Ocean
416,Midway Atoll,27.075614,-175.016808,North Pacific Ocean
417,Midway Atoll,27.075614,-175.016808,North Pacific Ocean
418,Hawaii,19.896766,-155.582782,North Pacific Ocean
419,Hawaii,19.896766,-155.582782,North Pacific Ocean
420,Midway & Oahu,38.150908,-84.683834,North Atlantic Ocean
421,Midway & Oahu,38.150908,-84.683834,North Atlantic Ocean
422,North Pacific,45.522224,-122.679826,North Pacific Ocean
423,Pearl and Hermes Reef,27.833333,-175.833333,North Pacific Ocean
424,Kure Atoll,28.392533,-178.293552,North Pacific Ocean
425,Japan,36.204824,138.252924,North Pacific Ocean
426,Midway Atoll,28.210076,-177.376111,North Pacific Ocean
427,Midway Atoll.,28.210076,-177.376111,North Pacific Ocean
