UniqueID_Plastic_study,Site,lat,lon,MarineRegion
1,Ross Sea,-70.899816,-89.13946,Southern Ocean
2,Scotia Sea,-64.588063,-43.486725,Southern Ocean
3,"Palmer Station, Anvers Island, Antarctica",-64.588063,-63.583066,Southern Ocean
4,Weddell Sea,-69.951182,-50.273438,Southern Ocean
5,"Enderby Land, ANT",-66.741597,48.64889,Southern Ocean
6,South Africa,-30.559482,22.937506,Indian Ocean
7,Alaska,64.200841,-149.493673,North Pacific Ocean
8,"Haida Gwaii, BC",51.922753,-129.917301,North Pacific Ocean
9,Alaska,64.200841,-149.493673,North Pacific Ocean
10,Alaska,52.999639,-166.912109,North Pacific Ocean
11,Ross Sea,-70.899816,-89.13946,Southern Ocean
12,Scotia Sea,-57.534867,-43.486725,South Pacific Ocean
13,Drake Passage,-63.339181,-64.569945,Southern Ocean
14,Weddell Sea,-69.951182,-50.273438,Southern Ocean
15,"Dronning-Maud Land, ANT",-74.57667,-11.224145,Southern Ocean
16,Heard Island,-53.08181,73.504158,Indian Ocean
17,New Zealand,-40.900557,174.885971,South Pacific Ocean
18,New Zealand,-40.900557,174.885971,South Pacific Ocean
20,South Africa,-30.559482,22.937506,Indian Ocean
21,Drake Passage,-63.339181,-64.569945,Southern Ocean
22,Weddell Sea,-69.951182,-50.273438,Southern Ocean
23,South Africa,-30.559482,22.937506,Indian Ocean
24,New Zealand,-46.312086,174.115693,South Pacific Ocean
25,Scotia Sea,-57.534867,-43.486725,South Pacific Ocean
26,Weddell Sea,-69.951182,-50.273438,Southern Ocean
27,Alaska,64.200841,-149.493673,North Pacific Ocean
28,"Dronning-Maud Land, ANT",-74.57667,-11.224145,Southern Ocean
29,Gough Island,-40.318641,-9.935332,South Pacific Ocean
30,"Coast of Rio Grande do Sul, Brazil",-30.68603,-50.473274,South Pacific Ocean
31,South Africa,-30.559482,22.937506,Indian Ocean
32,Ireland,53.7797554,-7.3055309,North Atlantic Ocean
33,"Hornsea, Yorkshire, UK",53.9104,-0.173953,North Atlantic Ocean
34,North Sea/Atlantic,56.511018,3.515625,North Atlantic Ocean
35,Hornsund,76.881101,15.9084,Arctic Ocean
36,United Kingdom,55.378051,-3.435973,North Atlantic Ocean
37,United Kingdom,55.378051,-3.435973,North Atlantic Ocean
38,"Gull Is, Newfoundland",47.954111,-53.044682,North Atlantic Ocean
39,"Bay of Exploits, Newfoundland",49.409666,-55.108579,North Atlantic Ocean
40,"Bay of Exploits, Newfoundland",49.409666,-55.108579,North Atlantic Ocean
41,Faroe Islands/Norwegian Sea,68.877354,3.13966,Arctic Ocean
42,"Brazil, Sao Paulo",-14.235004,-51.92528,South Pacific Ocean
43,Rio Grande do Sul,-31.807168,-51.618266,South Pacific Ocean
44,Brazil,-14.235004,-51.92528,South Pacific Ocean
45,Brazil,-14.235004,-51.92528,South Pacific Ocean
46,Gough Island,-40.318641,-9.935332,South Pacific Ocean
47,SW Atlantic Ocean,-14.599413,-28.673147,South Pacific Ocean
48,"Coast of Rio Grande do Sul, Brazil",-30.68603,-50.473274,South Pacific Ocean
49,South Africa,-30.559482,22.937506,Indian Ocean
50,South Africa,-38.442178,20.988808,Indian Ocean
51,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
52,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
53,"Catalan coast, Spain",43.311099,-4.252477,North Atlantic Ocean
56,"Catalan coast, Spain",43.311099,-4.252477,North Atlantic Ocean
57,South Africa,-30.559482,22.937506,Indian Ocean
58,"Puget Sound, WA",47.723654,-122.471335,North Pacific Ocean
59,Alaska,64.200841,-149.493673,North Pacific Ocean
60,Ireland,53.7797554,-7.3055309,North Atlantic Ocean
61,Hornsund,76.881101,15.9084,Arctic Ocean
62,"Prince Leopold Is, Canadian Arctic",74.04176,-90.032616,Arctic Ocean
63,Hawaii,19.896766,-155.582782,North Pacific Ocean
64,Tern Island,23.868823,-166.285503,North Pacific Ocean
65,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean
66,tropical Pacific,-8.783195,-124.508523,South Pacific Ocean
67,Scotia Sea,-57.534867,-43.486725,South Pacific Ocean
68,"Brazil, Sao Paulo",-14.235004,-51.92528,South Pacific Ocean
69,Rio Grande do Sul,-31.807168,-51.618266,South Pacific Ocean
70,Brazil,-14.235004,-51.92528,South Pacific Ocean
71,Brazil,-14.235004,-51.92528,South Pacific Ocean
72,SW Atlantic Ocean,-14.599413,-28.673147,South Pacific Ocean
73,"Coast of Rio Grande do Sul, Brazil",-30.68603,-50.473274,South Pacific Ocean
74,South Africa,-30.559482,22.937506,Indian Ocean
75,South Africa,-38.442178,20.988808,Indian Ocean
76,South-eastern Brazillian Coast (18S to 23S),-23.058727,-43.652171,South Pacific Ocean
77,Rio Grande do Sul,-31.807168,-51.618266,South Pacific Ocean
78,North Pacific,45.522224,-122.679826,North Pacific Ocean
79,Hawaii,19.896766,-155.582782,North Pacific Ocean
80,North Pacific,45.522224,-122.679826,North Pacific Ocean
81,Kure Atoll,28.392533,-178.293552,North Pacific Ocean
82,Japan,36.204824,138.252924,North Pacific Ocean
83,North Pacific,33,-130,North Pacific Ocean
84,Laysan Island,25.767853,-171.732206,North Pacific Ocean
85,Nihoa Island,23.060366,-161.922026,North Pacific Ocean
86,Pearl and Hermes Atoll,27.760667,-175.94082,North Pacific Ocean
87,Tern Island,23.868823,-166.285503,North Pacific Ocean
88,Ireland,53.7797554,-7.3055309,North Atlantic Ocean
89,Korea,35.907757,127.766922,North Pacific Ocean
90,Ireland,53.7797554,-7.3055309,North Atlantic Ocean
91,"Monterey Bay, CA",36.800741,-121.947311,North Pacific Ocean
92,"Monterey Bay, CA",36.800741,-121.947311,North Pacific Ocean
93,"Catalan coast, Spain",43.311099,-4.252477,North Atlantic Ocean
94,Canadian Arctic,75,-90,Arctic Ocean
95,Scotland,56.490671,-4.202646,North Atlantic Ocean
96,Alaska,64.200841,-149.493673,North Pacific Ocean
97,Hornsund,76.881101,15.9084,Arctic Ocean
98,"Prince Leopold Is, Canadian Arctic",74.04176,-90.032616,Arctic Ocean
99,North Pacific,33,-130,North Pacific Ocean
100,Alaska,52.999639,-166.912109,North Pacific Ocean
101,Korea,35.907757,127.766922,North Pacific Ocean
102,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean
103,tropical Pacific,-8.783195,-124.508523,South Pacific Ocean
104,Scotia Sea,-57.534867,-43.486725,South Pacific Ocean
