SISRecID_BLVr9,HBWv8.1_Binomial,Order,UniqueID_Plastic.study,Source,Common.name_Plastic.study,Site,lat,lon,Age.Class,Date_Text,Date_FirstYR,Date_LastYR,Study.Duration,n,sqrtN,FO,logit.FO,Plastic,Date_MedianYR
22698114,Pachyptila_desolata,PROCELLARIIFORMES,18,Harper and Fowler 1987,Antarctic Prion,New Zealand,-40.900557,174.885971,Subadult/Adult,1958-1977,1958,1977,20,35,5.916079783,0.142857143,-1.787687767,Yes,1968
22698114,Pachyptila_desolata,PROCELLARIIFORMES,20,Ryan 1987,Antarctic Prion,South Africa,-30.559482,22.937506,Mixed,1979-1985,1979,1985,7,88,9.38083152,0.590909091,0.367199046,Yes,1982
22694635,Sterna_vittata,CHARADRIIFORMES,21,Ainley et al. 1990a,Antarctic Tern,Drake Passage,-63.339181,-64.569945,Subadult/Adult,1976-1988,1986,1987,2,12,3.464101615,0,-7.265129978,No,1987
22694635,Sterna_vittata,CHARADRIIFORMES,22,Ainley et al. 1990a,Antarctic Tern,Weddell Sea,-69.951182,-50.273438,Subadult/Adult,1976-1988,1986,1986,1,5,2.236067977,0,-7.265129978,No,1986
22694635,Sterna_vittata,CHARADRIIFORMES,23,Ryan 1987,Antarctic Tern,South Africa,-30.559482,22.937506,Adult,1979-1985,1979,1985,7,4,2,0,-7.265129978,No,1982
22728318,Diomedea_antipodensis,PROCELLARIIFORMES,24,Robertson et al. 2004,Antipodean Albatross,New Zealand,-46.312086,174.115693,Adult,1999,1999,1999,1,2,1.414213562,0.5,0,Yes,1999
22694629,Sterna_paradisaea,CHARADRIIFORMES,25,Ainley et al. 1990a,Arctic Tern,Scotia Sea,-57.534867,-43.486725,Subadult/Adult,1976-1988,1983,1988,6,10,3.16227766,0,-7.265129978,No,1986
22694629,Sterna_paradisaea,CHARADRIIFORMES,26,Ainley et al. 1990a,Arctic Tern,Weddell Sea,-69.951182,-50.273438,Subadult/Adult,1976-1988,1986,1986,1,14,3.741657387,0,-7.265129978,No,1986
22694629,Sterna_paradisaea,CHARADRIIFORMES,27,Day et al. 1984/Day 1980,Arctic Tern,Alaska,64.200841,-149.493673,Mixed,1969-1977,1969,1977,9,21,4.582575695,0,-7.265129978,No,1973
22694629,Sterna_paradisaea,CHARADRIIFORMES,28,Ryan 1987,Arctic Tern,"Dronning-Maud Land, ANT",-74.57667,-11.224145,Subadult/Adult,1979-1985,1979,1985,7,21,4.582575695,0,-7.265129978,No,1982
