Reference,In our data
"Donnelly-Greenan et al., 2018",2018
"Drever et al., 2018",2018
"Lavers et al., 2018",2018
"Paterson and Dunlop, 2018",2018
"Provencher et al., 2018",2018
"Rodríguez et al., 2018",2018
"Verlis et al., 2018",2018
"Álvarez et al., 2018",2018
"Basto et al., 2019",2019
"Bessa et al., 2019",2019
"Brookson et al., 2019",2019
"Cartraud et al., 2019",2019
"Claro et al., 2019",2019
"Franco et al., 2019",2019
"Lavers et al., 2019",2019
"O'Hara et al., 2019",2019
"Puskic et al., 2019",2019
"Tanaka et al., 2019",2019
"Vanstreels et al., 2019",2019
"Zhu et al., 2019",2019
"Baak et al., 2020",2020
"Berr et al., 2020",2020
"Francis et a., 2020",2020
"Francis et al., 2020",2020
"Golubev, 2020",2020
"Guen et al., 2020",2020
"Hidalgo Ruz et al., 2020",2020
"Ibañez et al., 2020",2020
"Perold et al., 2020",2020
"Phillips and  Waluda, 2020",2020
"Provencher et al., 2020",2020
"Puskic et al., 2020",2020
"Roman et al., 2020",2020
"Stewart et al., 2020",2020
"Thaysen et al., 2020",2020
"Yorio et al., 2020",2020
"Bourdages et al., 2021",2021
"Krug et al., 2021",2021
"Kuhn et al., 2021",2021
"Poon et al., 2016",Is this 2017
"Cooper et al., 2004",No
"Cousin et al., 2015",No
"Dias et al., 2017",No
"Gilbert et al., 2016",No
"Herzke et al., 2016",No
"Holland et al., 2016",No
"Hyrenbach et al., 2017",No
"Nilsen et al., 2014",No
"Rapp et al., 2017",No
"Ryan and Jackson, 1987",No
"Ryan et al., 1988",No
"Sievert and Sileo, 1993",No
"Skira et al., 1986",No
"Slip et al., 1990",No
"Tanaka, et al., 2015",No
"Toda et al., 1994",No
"Valls et al., 2015",No
"van Franeker, 1985",No
"Wehle, 1982",No
"Acampora et al., 2014",Yes
"Acampora et al., 2017",Yes
"Amélineau et al., 2016",Yes
"Auman et al., 1997",Yes
"Auman et al., 2004",Yes
"Avery-Gomm et al., 2012",Yes
"Avery-Gomm et al., 2013",Yes
"Avery-Gomm et al., 2016",Yes
"Avery-Gomm et al., 2018",Yes
"Barbieri, 2009",Yes
"Bond et al., 2010",Yes
"Bond et al., 2013",Yes
"Bond et al., 2014",Yes
"Brandão et al., 2011",Yes
"Carey, 2011",Yes
"Cherel et al., 2017",Yes
"Codina-García et al., 2013",Yes
"Colabuono et al., 2009",Yes
"Colabuono et al., 2010",Yes
"Connors and Smith, 1982",Yes
"Copello and Quintana, 2003",Yes
"Donnelly-Greenan et al., 2014",Yes
"English et al., 2015",Yes
"Fife et al., 2015",Yes
"Fry et al., 1987",Yes
"Furness, 1985",Yes
"Furtado et al., 2016",Yes
"Gray et al., 2012",Yes
"Haman et al., 2013",Yes
"Hammer et al., 2016",Yes
"Hutton et al., 2008",Yes
"Hyrenbach et al., 2013",Yes
"Jiménez et al., 2015",Yes
"Kuhn and van Franeker, 2012",Yes
"Kain et al., 2016",Yes
"Lavers and Bond, 2016",Yes
"Lavers et al., 2014",Yes
"Lenzi et al., 2016",Yes
"Lindborg et al., 2012",Yes
"Lydersen et al., 1989",Yes
"Mallory, 2008",Yes
"Mariano and Targino, 2012",Yes
"Moser and Lee, 1992",Yes
"Nicastro et al., 2018",Yes
"Ogi et al., 1994",Yes
"Petry et al., 2007",Yes
"Petry et al., 2009",Yes
"Petry et al., 2017",Yes
"Pettit et al., 1981",Yes
"Pierce et al., 2004",Yes
"Provencher et al., 2009",Yes
"Provencher et al., 2010",Yes
"Robards et al., 1995",Yes
"Rodríguez et al., 2012",Yes
"Roman et al., 2016",Yes
"Roman et al., 2019",Yes
"Ryan and Fraser, 1988",Yes
"Ryan et al., 2016",Yes
"Ryan, 1987",Yes
"Ryan, 2008",Yes
"Seif et al., 2018",Yes
"Sileo et al., 1990",Yes
"Spear et al., 1995",Yes
"Tanaka et al., 2013",Yes
"Tavares et al., 2017",Yes
"Terepocki et al., 2017",Yes
"Tourinho et al., 2010",Yes
"Trevail et al., 2015",Yes
"van Franeker and Bell, 1988",Yes
"van Franeker and Camphuijsen, 1984",Yes
"Van Franeker et al., 2011",Yes
"van Franeker, 1983",Yes
"Verlis et al., 2013",Yes
"Vlietstra and Parga, 2002",Yes
"Yamashita et al., 2011",Yes
"Young et al., 2009",Yes
"Youngren et al., 2018",Yes
