Order,Family,Subfamily,Tribe,Common_name,Binomial,Genus,IUCN_2023,Synonyms
SPHENISCIFORMES,Spheniscidae,NA,NA,Humboldt Penguin,Spheniscus humboldti,Spheniscus,VU,NA
SPHENISCIFORMES,Spheniscidae,NA,NA,Galapagos Penguin,Spheniscus mendiculus,Spheniscus,EN,NA
PROCELLARIIFORMES,Oceanitidae,NA,NA,Wilson's Storm-petrel,Oceanites oceanicus,Oceanites,LC,NA
PROCELLARIIFORMES,Oceanitidae,NA,NA,White-vented Storm-petrel,Oceanites gracilis,Oceanites,DD,NA
PROCELLARIIFORMES,Oceanitidae,NA,NA,Pincoya Storm-petrel,Oceanites pincoyae,Oceanites,DD,NA
PROCELLARIIFORMES,Oceanitidae,NA,NA,Grey-backed Storm-petrel,Garrodia nereis,Garrodia,LC,Oceanites nereis
PROCELLARIIFORMES,Oceanitidae,NA,NA,White-faced Storm-petrel,Pelagodroma marina,Pelagodroma,LC,NA
PROCELLARIIFORMES,Oceanitidae,NA,NA,White-bellied Storm-petrel,Fregetta grallaria,Fregetta,LC,NA
PROCELLARIIFORMES,Oceanitidae,NA,NA,Black-bellied Storm-petrel,Fregetta tropica,Fregetta,LC,NA
PROCELLARIIFORMES,Oceanitidae,NA,NA,New Zealand Storm-petrel,Fregetta maoriana,Fregetta,CR,Pealeornis maoriana; Oceanites maorianus
PROCELLARIIFORMES,Oceanitidae,NA,NA,New Caledonian Storm-petrel,Fregetta lineata,Fregetta,DD,Thalassidroma lineata
PROCELLARIIFORMES,Oceanitidae,NA,NA,Polynesian Storm-petrel,Nesofregetta fuliginosa,Nesofregetta,EN,NA
PROCELLARIIFORMES,Hydrobatidae,NA,NA,European Storm-petrel,Hydrobates pelagicus,Hydrobates,LC,NA
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Cape Verde Storm-petrel,Hydrobates jabejabe,Hydrobates,LC,NA
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Band-rumped Storm-petrel,Hydrobates castro,Hydrobates,LC,Oceanodroma castro
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Monteiro's Storm-petrel,Hydrobates monteiroi,Hydrobates,VU,Oceanodroma monteiroi
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Matsudaira's Storm-petrel,Hydrobates matsudairae,Hydrobates,VU,Oceanodroma matsudairae
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Black Storm-petrel,Hydrobates melania,Hydrobates,LC,Oceanodroma melania
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Ashy Storm-petrel,Hydrobates homochroa,Hydrobates,EN,Oceanodroma homochroa
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Least Storm-petrel,Hydrobates microsoma,Hydrobates,LC,Halocyptena microsoma; Oceanodroma microsoma
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Wedge-rumped Storm-petrel,Hydrobates tethys,Hydrobates,LC,Oceanodroma tethys
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Townsend's Storm-petrel,Hydrobates socorroensis,Hydrobates,EN,Oceanodroma leucorhoa
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Ainley's Storm-petrel,Hydrobates cheimomnestes,Hydrobates,VU,Oceanodroma leucorhoa
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Leach's Storm-petrel,Hydrobates leucorhous,Hydrobates,VU,Oceanodroma leucorhoa
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Swinhoe's Storm-petrel,Hydrobates monorhis,Hydrobates,NT,Hydrobates monorhis; Oceanodroma monorhis
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Tristram's Storm-petrel,Hydrobates tristrami,Hydrobates,LC,Hydrobates tristrami; Oceanodroma tristrami
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Markham's Storm-petrel,Hydrobates markhami,Hydrobates,NT,Oceanodroma markhami
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Fork-tailed Storm-petrel,Hydrobates furcatus,Hydrobates,LC,Oceanodroma furcata
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Ringed Storm-petrel,Hydrobates hornbyi,Hydrobates,NT,Oceanodroma hornbyi
PROCELLARIIFORMES,Diomedeidae,NA,NA,Northern Royal Albatross,Diomedea sanfordi,Diomedea,EN,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Southern Royal Albatross,Diomedea epomophora,Diomedea,VU,NA
