SISRecID_BLVr9,Common.name_HBWBLv6,TipLabel_HBWBLv6,ROTL.tip.label,Order,BLFamilyEnglish,Family.Name_HBWBLv6,UniqueID_Plastic.study,Source,Common.name_Plastic.study,Site,lat,lon,Age.Class,Date_Text,Date_FirstYR,Date_LastYR,Study.Duration,n,sqrtN,FO,logit.FO,Plastic,Date_MedianYR
22694837,Little Auk,Alle_alle,Alle_alle,CHARADRIIFORMES,Auks,Alcidae,473,Lydersen et al. 1989,Little Auk,Hornsund,76.881101,15.9084,Adult,1984,1984,1984,1,11,3.31662479,0.45,-0.200388267,Yes,1984
22694906,Parakeet Auklet,Aethia_psittacula,Cyclorrhynchus_psittacula,CHARADRIIFORMES,Auks,Alcidae,598,Bond et al. 2010,Parakeet Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1993,1993,1993,1,6,2.449489743,0,-7.265129978,No,1993
22694906,Parakeet Auklet,Aethia_psittacula,Cyclorrhynchus_psittacula,CHARADRIIFORMES,Auks,Alcidae,599,Bond et al. 2010,Parakeet Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1994,1994,1994,1,3,1.732050808,0,-7.265129978,No,1994
22694906,Parakeet Auklet,Aethia_psittacula,Cyclorrhynchus_psittacula,CHARADRIIFORMES,Auks,Alcidae,600,Bond et al. 2010,Parakeet Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1995,1995,1995,1,16,4,0,-7.265129978,No,1995
22694906,Parakeet Auklet,Aethia_psittacula,Cyclorrhynchus_psittacula,CHARADRIIFORMES,Auks,Alcidae,601,Bond et al. 2010,Parakeet Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1996,1996,1996,1,5,2.236067977,0,-7.265129978,No,1996
22694906,Parakeet Auklet,Aethia_psittacula,Cyclorrhynchus_psittacula,CHARADRIIFORMES,Auks,Alcidae,602,Bond et al. 2010,Parakeet Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1997,1997,1997,1,3,1.732050808,0,-7.265129978,No,1997
22694906,Parakeet Auklet,Aethia_psittacula,Cyclorrhynchus_psittacula,CHARADRIIFORMES,Auks,Alcidae,603,Bond et al. 2010,Parakeet Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1998,1998,1998,1,12,3.464101615,0,-7.265129978,No,1998
22694906,Parakeet Auklet,Aethia_psittacula,Cyclorrhynchus_psittacula,CHARADRIIFORMES,Auks,Alcidae,604,Bond et al. 2010,Parakeet Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1999,1999,1999,1,1,1,0,-7.265129978,No,1999
22694906,Parakeet Auklet,Aethia_psittacula,Cyclorrhynchus_psittacula,CHARADRIIFORMES,Auks,Alcidae,605,Bond et al. 2010,Parakeet Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,2000,2000,2000,1,8,2.828427125,0,-7.265129978,No,2000
22694906,Parakeet Auklet,Aethia_psittacula,Cyclorrhynchus_psittacula,CHARADRIIFORMES,Auks,Alcidae,606,Bond et al. 2010,Parakeet Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,2003,2003,2003,1,2,1.414213562,0,-7.265129978,No,2003
22694906,Parakeet Auklet,Aethia_psittacula,Cyclorrhynchus_psittacula,CHARADRIIFORMES,Auks,Alcidae,607,Bond et al. 2010,Parakeet Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,2004,2004,2004,1,27,5.196152423,0,-7.265129978,No,2004
22694906,Parakeet Auklet,Aethia_psittacula,Cyclorrhynchus_psittacula,CHARADRIIFORMES,Auks,Alcidae,608,Bond et al. 2010,Parakeet Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,2005,2005,2005,1,29,5.385164807,0,-7.265129978,No,2005
22694906,Parakeet Auklet,Aethia_psittacula,Cyclorrhynchus_psittacula,CHARADRIIFORMES,Auks,Alcidae,609,Bond et al. 2010,Parakeet Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,2006,2006,2006,1,28,5.291502622,0,-7.265129978,No,2006
22694906,Parakeet Auklet,Aethia_psittacula,Cyclorrhynchus_psittacula,CHARADRIIFORMES,Auks,Alcidae,611,Pettit et al. 1981,Parakeet Auklet,Midway Atoll.,28.210076,-177.376111,Mixed,1980,1980,1980,1,1,1,1,7.265129978,Yes,1980
22694864,Pigeon Guillemot,Cepphus_columba,Cepphus_columba,CHARADRIIFORMES,Auks,Alcidae,625,Avery-Gomm et al. 2013,Pigeon Guillemot,"Vancouver Island, BC",49.650638,-125.449391,Adult,2006,2006,2006,1,1,1,0,-7.265129978,No,2006
22694852,Razorbill,Alca_torda,Alca_torda,CHARADRIIFORMES,Auks,Alcidae,642,Nicastro et al. 2018,Razorbill,"Olhao, Portugal",37.026042,-7.842351,Adult,2016,2016,2016,1,1,1,0,-7.265129978,No,2016
22694852,Razorbill,Alca_torda,Alca_torda,CHARADRIIFORMES,Auks,Alcidae,644,Provencher et al. 2014,Razorbill,"Bay of Exploits, Newfoundland",49.409666,-55.108579,Adult,2004,2004,2004,1,2,1.414213562,0,-7.265129978,No,2004
22694852,Razorbill,Alca_torda,Alca_torda,CHARADRIIFORMES,Auks,Alcidae,643,Nicastro et al. 2018,Razorbill,"Olhao, Portugal",37.026042,-7.842351,Mixed,2016,2016,2016,1,1,1,0,-7.265129978,No,2016
22694852,Razorbill,Alca_torda,Alca_torda,CHARADRIIFORMES,Auks,Alcidae,645,Provencher et al. 2014,Razorbill,"Notre Dame Bay, Newfoundland",49.653128,-54.757162,Mixed,2004,2004,2004,1,8,2.828427125,0,-7.265129978,No,2004
22694924,Rhinoceros Auklet,Cerorhinca_monocerata,Cerorhinca_monocerata,CHARADRIIFORMES,Auks,Alcidae,673,Avery-Gomm et al. 2013,Rhinoceros Auklet,Vancouver & Washington,49.282729,-123.120738,Subadult,2010,2010,2010,1,10,3.16227766,0,-7.265129978,No,2010
22694924,Rhinoceros Auklet,Cerorhinca_monocerata,Cerorhinca_monocerata,CHARADRIIFORMES,Auks,Alcidae,676,Blight and Burger 1997,Rhinoceros Auklet,North Pacific,45.522224,-122.679826,Subadult/Adult,1987,1987,1987,1,5,2.236067977,0,-7.265129978,No,1987
22694847,Thick-billed Murre,Uria_lomvia,Uria_lomvia,CHARADRIIFORMES,Auks,Alcidae,938,Lydersen et al. 1989,Thick-billed Murre,Hornsund,76.881101,15.9084,Adult,1984,1984,1984,1,21,4.582575695,0.24,-1.150687717,Yes,1984
22694847,Thick-billed Murre,Uria_lomvia,Uria_lomvia,CHARADRIIFORMES,Auks,Alcidae,939,Poon et al. 2017,Thick-billed Murre,"Prince Leopold Is, Canadian Arctic",74.04176,-90.032616,Adult,2008,2008,2008,1,10,3.16227766,0,-7.265129978,No,2008
22694847,Thick-billed Murre,Uria_lomvia,Uria_lomvia,CHARADRIIFORMES,Auks,Alcidae,940,Poon et al. 2017,Thick-billed Murre,"Prince Leopold Is, Canadian Arctic",74.04176,-90.032616,Adult,2013,2013,2013,1,10,3.16227766,0,-7.265129978,No,2013
22694847,Thick-billed Murre,Uria_lomvia,Uria_lomvia,CHARADRIIFORMES,Auks,Alcidae,942,Provencher et al. 2014,Thick-billed Murre,"Harbour Breton, Newfoundland",47.477499,-55.825875,Adult,2005,2005,2005,1,7,2.645751311,0,-7.265129978,No,2005
22694847,Thick-billed Murre,Uria_lomvia,Uria_lomvia,CHARADRIIFORMES,Auks,Alcidae,943,Provencher et al. 2014,Thick-billed Murre,"St. Mary's Bay, Newfoundland",47.036816,-53.761189,Adult,2005,2005,2005,1,4,2,0,-7.265129978,No,2005
22694847,Thick-billed Murre,Uria_lomvia,Uria_lomvia,CHARADRIIFORMES,Auks,Alcidae,944,Provencher et al. 2014,Thick-billed Murre,"Coats Is, Nunavut",62.4682,-83.104161,Adult,2006,2006,2006,1,16,4,0,-7.265129978,No,2006
22694847,Thick-billed Murre,Uria_lomvia,Uria_lomvia,CHARADRIIFORMES,Auks,Alcidae,945,Provencher et al. 2014,Thick-billed Murre,"Nuuk, Greenland",64.18141,-51.694138,Adult,2006,2006,2006,1,15,3.872983346,0,-7.265129978,No,2006
22694934,Tufted Puffin,Fratercula_cirrhata,Fratercula_cirrhata,CHARADRIIFORMES,Auks,Alcidae,968,Avery-Gomm et al. 2013,Tufted Puffin,"Puget Sound, WA",47.723654,-122.471335,Adult,2009,2009,2009,1,1,1,0,-7.265129978,No,2009
22694934,Tufted Puffin,Fratercula_cirrhata,Fratercula_cirrhata,CHARADRIIFORMES,Auks,Alcidae,969,Blight and Burger 1997,Tufted Puffin,North Pacific,45.522224,-122.679826,Subadult/Adult,1987,1987,1987,1,NA,NA,0.89,2.085183831,Yes,1987
22694918,Whiskered Auklet,Aethia_pygmaea,Aethia_pygmaea,CHARADRIIFORMES,Auks,Alcidae,1008,Bond et al. 2010,Whiskered Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1993,1993,1993,1,26,5.099019514,0.04,-3.161434093,Yes,1993
22694918,Whiskered Auklet,Aethia_pygmaea,Aethia_pygmaea,CHARADRIIFORMES,Auks,Alcidae,1009,Bond et al. 2010,Whiskered Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1994,1994,1994,1,16,4,0,-7.265129978,No,1994
22694918,Whiskered Auklet,Aethia_pygmaea,Aethia_pygmaea,CHARADRIIFORMES,Auks,Alcidae,1010,Bond et al. 2010,Whiskered Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1995,1995,1995,1,48,6.92820323,0,-7.265129978,No,1995
22694918,Whiskered Auklet,Aethia_pygmaea,Aethia_pygmaea,CHARADRIIFORMES,Auks,Alcidae,1011,Bond et al. 2010,Whiskered Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1996,1996,1996,1,71,8.426149773,0,-7.265129978,No,1996
22694918,Whiskered Auklet,Aethia_pygmaea,Aethia_pygmaea,CHARADRIIFORMES,Auks,Alcidae,1012,Bond et al. 2010,Whiskered Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1997,1997,1997,1,36,6,0,-7.265129978,No,1997
22694918,Whiskered Auklet,Aethia_pygmaea,Aethia_pygmaea,CHARADRIIFORMES,Auks,Alcidae,1013,Bond et al. 2010,Whiskered Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1998,1998,1998,1,26,5.099019514,0,-7.265129978,No,1998
22694918,Whiskered Auklet,Aethia_pygmaea,Aethia_pygmaea,CHARADRIIFORMES,Auks,Alcidae,1014,Bond et al. 2010,Whiskered Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1999,1999,1999,1,38,6.164414003,0,-7.265129978,No,1999
22694918,Whiskered Auklet,Aethia_pygmaea,Aethia_pygmaea,CHARADRIIFORMES,Auks,Alcidae,1015,Bond et al. 2010,Whiskered Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,2000,2000,2000,1,33,5.744562647,0,-7.265129978,No,2000
22694918,Whiskered Auklet,Aethia_pygmaea,Aethia_pygmaea,CHARADRIIFORMES,Auks,Alcidae,1016,Bond et al. 2010,Whiskered Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,2001,2001,2001,1,28,5.291502622,0,-7.265129978,No,2001
22694918,Whiskered Auklet,Aethia_pygmaea,Aethia_pygmaea,CHARADRIIFORMES,Auks,Alcidae,1017,Bond et al. 2010,Whiskered Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,2002,2002,2002,1,32,5.656854249,0,-7.265129978,No,2002
22694918,Whiskered Auklet,Aethia_pygmaea,Aethia_pygmaea,CHARADRIIFORMES,Auks,Alcidae,1018,Bond et al. 2010,Whiskered Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,2003,2003,2003,1,31,5.567764363,0,-7.265129978,No,2003
22694918,Whiskered Auklet,Aethia_pygmaea,Aethia_pygmaea,CHARADRIIFORMES,Auks,Alcidae,1019,Bond et al. 2010,Whiskered Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,2004,2004,2004,1,37,6.08276253,0,-7.265129978,No,2004
22694918,Whiskered Auklet,Aethia_pygmaea,Aethia_pygmaea,CHARADRIIFORMES,Auks,Alcidae,1020,Bond et al. 2010,Whiskered Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,2005,2005,2005,1,31,5.567764363,0,-7.265129978,No,2005
22694918,Whiskered Auklet,Aethia_pygmaea,Aethia_pygmaea,CHARADRIIFORMES,Auks,Alcidae,1021,Bond et al. 2010,Whiskered Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,2006,2006,2006,1,36,6,0,-7.265129978,No,2006
22694927,Atlantic Puffin,Fratercula_arctica,Fratercula_arctica,CHARADRIIFORMES,Auks,Alcidae,41,Provencher et al. 2014,Atlantic Puffin,Faroe Islands/Norwegian Sea,68.877354,3.13966,Mixed,1987-1988,1987,1988,2,36,6,0,-7.265129978,No,1988
22694841,Common Murre,Uria_aalge,Uria_aalge,CHARADRIIFORMES,Auks,Alcidae,208,Bond et al. 2013,Common Murre,Newfoundland,53.135509,-57.660436,Adult,1996-1997,1996,1997,2,60,7.745966692,0.02,-3.858132902,Yes,1997
22694841,Common Murre,Uria_aalge,Uria_aalge,CHARADRIIFORMES,Auks,Alcidae,209,Bond et al. 2013,Common Murre,Newfoundland,53.135509,-57.660436,Adult,2011-2012,2011,2012,2,11,3.31662479,0.09,-2.306656177,Yes,2012
22694931,Horned Puffin,Fratercula_corniculata,Fratercula_corniculata,CHARADRIIFORMES,Auks,Alcidae,380,Robards 1993,Horned Puffin,North Pacific,33,-130,Subadult/Adult,1990-1991,1990,1991,2,28,5.291502622,0.57,0.281451885,Yes,1991
22694837,Little Auk,Alle_alle,Alle_alle,CHARADRIIFORMES,Auks,Alcidae,474,Provencher et al. 2014,Little Auk,"Nuuk, Greenland",64.18141,-51.694138,Mixed,1988-1989,1988,1989,2,19,4.358898944,0,-7.265129978,No,1989
