SISRecID_BLVr9,Common.name_HBWBLv6,TipLabel_HBWBLv6,ROTL.tip.label,Order,BLFamilyEnglish,Family.Name_HBWBLv6,UniqueID_Plastic.study,Source,Common.name_Plastic.study,Site,lat,lon,Age.Class,Date_Text,Date_FirstYR,Date_LastYR,Study.Duration,n,sqrtN,FO,logit.FO,Plastic,Date_MedianYR
22694896,Ancient Murrelet,Synthliboramphus_antiquus,Synthliboramphus_antiquus,CHARADRIIFORMES,Auks,Alcidae,8,Avery-Gomm et al. 2013,Ancient Murrelet,"Haida Gwaii, BC",51.922753,-129.917301,Subadult/Adult,2009,2009,2009,1,5,2.236067977,0,-7.265129978,No,2009
22694927,Atlantic Puffin,Fratercula_arctica,Fratercula_arctica,CHARADRIIFORMES,Auks,Alcidae,35,Lydersen et al. 1989,Atlantic Puffin,Hornsund,76.881101,15.9084,Adult,1984,1984,1984,1,14,3.741657387,0,-7.265129978,No,1984
22694927,Atlantic Puffin,Fratercula_arctica,Fratercula_arctica,CHARADRIIFORMES,Auks,Alcidae,38,Provencher et al. 2014,Atlantic Puffin,"Gull Is, Newfoundland",47.954111,-53.044682,Adult,1999,1999,1999,1,2,1.414213562,0,-7.265129978,No,1999
22694927,Atlantic Puffin,Fratercula_arctica,Fratercula_arctica,CHARADRIIFORMES,Auks,Alcidae,39,Provencher et al. 2014,Atlantic Puffin,"Bay of Exploits, Newfoundland",49.409666,-55.108579,Adult,2004,2004,2004,1,2,1.414213562,0,-7.265129978,No,2004
22694927,Atlantic Puffin,Fratercula_arctica,Fratercula_arctica,CHARADRIIFORMES,Auks,Alcidae,33,Below 1960,Atlantic Puffin,"Hornsea, Yorkshire, UK",53.9104,-0.173953,Subadult,1960,1960,1960,1,1,1,1,7.265129978,Yes,1960
22694927,Atlantic Puffin,Fratercula_arctica,Fratercula_arctica,CHARADRIIFORMES,Auks,Alcidae,40,Provencher et al. 2014,Atlantic Puffin,"Bay of Exploits, Newfoundland",49.409666,-55.108579,Subadult,2004,2004,2004,1,14,3.741657387,0.07,-2.577491418,Yes,2004
22694861,Black Guillemot,Cepphus_grylle,Cepphus_grylle,CHARADRIIFORMES,Auks,Alcidae,61,Lydersen et al. 1989,Black Guillemot,Hornsund,76.881101,15.9084,Adult,1984,1984,1984,1,20,4.472135955,0,-7.265129978,No,1984
22694861,Black Guillemot,Cepphus_grylle,Cepphus_grylle,CHARADRIIFORMES,Auks,Alcidae,62,Poon et al. 2017,Black Guillemot,"Prince Leopold Is, Canadian Arctic",74.04176,-90.032616,Adult,2013,2013,2013,1,3,1.732050808,0,-7.265129978,No,2013
22694903,Cassin's Auklet,Ptychoramphus_aleuticus,Ptychoramphus_aleuticus,CHARADRIIFORMES,Auks,Alcidae,177,Floren and Shugart 2017,Cassin's Auklet,Washington and Oregon Coast,46.793391,-124.091651,Adult,2014,2014,2014,1,92,9.591663047,0.35,-0.618117549,Yes,2014
22694903,Cassin's Auklet,Ptychoramphus_aleuticus,Ptychoramphus_aleuticus,CHARADRIIFORMES,Auks,Alcidae,178,Floren and Shugart 2017,Cassin's Auklet,Washington and Oregon Coast,46.793391,-124.091651,Subadult,2014,2014,2014,1,38,6.164414003,0.47,-0.119975941,Yes,2014
22694903,Cassin's Auklet,Ptychoramphus_aleuticus,Ptychoramphus_aleuticus,CHARADRIIFORMES,Auks,Alcidae,179,Floren and Shugart 2017,Cassin's Auklet,Washington and Oregon Coast,46.793391,-124.091651,Subadult,2014,2014,2014,1,39,6.244997998,0.54,0.160117524,Yes,2014
22694841,Common Murre,Uria_aalge,Uria_aalge,CHARADRIIFORMES,Auks,Alcidae,211,Provencher et al. 2014,Common Murre,"Renews, Newfoundland",46.861066,-52.946643,Adult,2006,2006,2006,1,13,3.605551275,0,-7.265129978,No,2006
22694841,Common Murre,Uria_aalge,Uria_aalge,CHARADRIIFORMES,Auks,Alcidae,212,Provencher et al. 2014,Common Murre,"St. Mary's Bay, Newfoundland",47.036816,-53.761189,Adult,2006,2006,2006,1,15,3.872983346,0,-7.265129978,No,2006
22694841,Common Murre,Uria_aalge,Uria_aalge,CHARADRIIFORMES,Auks,Alcidae,207,Blight and Burger 1997,Common Murre,North Pacific,45.522224,-122.679826,Subadult/Adult,1987,1987,1987,1,1,1,0,-7.265129978,No,1987
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,236,Bond et al. 2010,Crested Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1993,1993,1993,1,1,1,0,-7.265129978,No,1993
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,237,Bond et al. 2010,Crested Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1994,1994,1994,1,37,6.08276253,0,-7.265129978,No,1994
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,238,Bond et al. 2010,Crested Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1995,1995,1995,1,46,6.782329983,0,-7.265129978,No,1995
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,239,Bond et al. 2010,Crested Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1996,1996,1996,1,78,8.831760866,0,-7.265129978,No,1996
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,240,Bond et al. 2010,Crested Auklet,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,Adult,1996,1996,1996,1,36,6,0,-7.265129978,No,1996
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,241,Bond et al. 2010,Crested Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1997,1997,1997,1,82,9.055385138,0,-7.265129978,No,1997
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,242,Bond et al. 2010,Crested Auklet,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,Adult,1997,1997,1997,1,39,6.244997998,0,-7.265129978,No,1997
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,243,Bond et al. 2010,Crested Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1998,1998,1998,1,103,10.14889157,0,-7.265129978,No,1998
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,244,Bond et al. 2010,Crested Auklet,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,Adult,1998,1998,1998,1,35,5.916079783,0,-7.265129978,No,1998
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,245,Bond et al. 2010,Crested Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,1999,1999,1999,1,88,9.38083152,0,-7.265129978,No,1999
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,246,Bond et al. 2010,Crested Auklet,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,Adult,1999,1999,1999,1,36,6,0,-7.265129978,No,1999
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,247,Bond et al. 2010,Crested Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,2000,2000,2000,1,29,5.385164807,0,-7.265129978,No,2000
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,248,Bond et al. 2010,Crested Auklet,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,Adult,2000,2000,2000,1,34,5.830951895,0,-7.265129978,No,2000
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,249,Bond et al. 2010,Crested Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,2001,2001,2001,1,45,6.708203932,0,-7.265129978,No,2001
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,250,Bond et al. 2010,Crested Auklet,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,Adult,2001,2001,2001,1,31,5.567764363,0,-7.265129978,No,2001
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,251,Bond et al. 2010,Crested Auklet,"Kiska Island, Alaska, USA",52.060208,177.57356,Adult,2001,2001,2001,1,7,2.645751311,0,-7.265129978,No,2001
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,252,Bond et al. 2010,Crested Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,2002,2002,2002,1,54,7.348469228,0,-7.265129978,No,2002
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,253,Bond et al. 2010,Crested Auklet,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,Adult,2002,2002,2002,1,39,6.244997998,0,-7.265129978,No,2002
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,254,Bond et al. 2010,Crested Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,2003,2003,2003,1,23,4.795831523,0,-7.265129978,No,2003
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,255,Bond et al. 2010,Crested Auklet,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,Adult,2003,2003,2003,1,30,5.477225575,0,-7.265129978,No,2003
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,256,Bond et al. 2010,Crested Auklet,"Kiska Island, Alaska, USA",52.060208,177.57356,Adult,2003,2003,2003,1,3,1.732050808,0,-7.265129978,No,2003
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,257,Bond et al. 2010,Crested Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,2004,2004,2004,1,33,5.744562647,0,-7.265129978,No,2004
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,258,Bond et al. 2010,Crested Auklet,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,Adult,2004,2004,2004,1,34,5.830951895,0,-7.265129978,No,2004
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,259,Bond et al. 2010,Crested Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,2005,2005,2005,1,39,6.244997998,0,-7.265129978,No,2005
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,260,Bond et al. 2010,Crested Auklet,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,Adult,2005,2005,2005,1,35,5.916079783,0,-7.265129978,No,2005
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,261,Bond et al. 2010,Crested Auklet,"Buldir Island, Alaska, USA",52.360182,175.917262,Adult,2006,2006,2006,1,36,6,0,-7.265129978,No,2006
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,262,Bond et al. 2010,Crested Auklet,"Kasatochi Island, Alaska, USA",52.175159,-175.513879,Adult,2006,2006,2006,1,34,5.830951895,0,-7.265129978,No,2006
22694915,Crested Auklet,Aethia_cristatella,Aethia_cristatella,CHARADRIIFORMES,Auks,Alcidae,263,Bond et al. 2010,Crested Auklet,"Kiska Island, Alaska, USA",52.060208,177.57356,Adult,2006,2006,2006,1,24,4.898979486,0,-7.265129978,No,2006
62101215,Guadalupe Murrelet,Synthliboramphus_hypoleucus,Synthliboramphus_hypoleucus,CHARADRIIFORMES,Auks,Alcidae,1084,Blight and Burger 1997,Xantus's Murrelet,North Pacific,45.522224,-122.679826,Subadult/Adult,1987,1987,1987,1,6,2.449489743,0,-7.265129978,No,1987
22694931,Horned Puffin,Fratercula_corniculata,Fratercula_corniculata,CHARADRIIFORMES,Auks,Alcidae,378,Blight and Burger 1997,Horned Puffin,North Pacific,45.522224,-122.679826,Subadult/Adult,1987,1987,1987,1,NA,NA,0.5,0,Yes,1987
22694837,Little Auk,Alle_alle,Alle_alle,CHARADRIIFORMES,Auks,Alcidae,468,Amelineau et al. 2016,Little Auk,Eastern Greenland,66.198466,-34.864353,Adult,NA,2005,2005,1,26,5.099019514,1,7.265129978,Yes,2005
22694837,Little Auk,Alle_alle,Alle_alle,CHARADRIIFORMES,Auks,Alcidae,469,Amelineau et al. 2016,Little Auk,Eastern Greenland,66.198466,-34.864353,Adult,NA,2015,2015,1,18,4.242640687,1,7.265129978,Yes,2015
22694837,Little Auk,Alle_alle,Alle_alle,CHARADRIIFORMES,Auks,Alcidae,470,Avery-Gomm et al. 2016,Little Auk,"Conception Bay, Newfoundland",47.386347,-53.132029,Adult,2013,2013,2013,1,171,13.07669683,0.304,-0.827027216,Yes,2013
22694837,Little Auk,Alle_alle,Alle_alle,CHARADRIIFORMES,Auks,Alcidae,472,Fife et al. 2015,Little Auk,"White Bay, Newfoundland",49.961124,-56.445173,Adult,2013,2013,2013,1,65,8.062257748,0.14,-1.811116048,Yes,2013
