SISRecID_BLVr9,HBWv8.1_Binomial,Link_species,HBWv8.1_Order,HBWv8.1_Family,HBWv8.1_Subfamily,HBWv8.1_Tribe,HBWv8.1_Common_name,HBWv8.1_Genus,HBWv8.1_Synonyms,IUCN_2023,Feeding.Method.Simple,Diet,Diet_description,Anthropogenic.subsidy.search.word,Anthropogenic.subsidy.simple,Fish,Cephalopods,Crustaceans,Other.Inverts,Carrion.NonFishVertebrates,Anthropogenic.Subsidy,pelagic_specialist_CR,Body.Mass.g,scaled.body.mass,Source_Body.Mass.g,DMS.responsive_Savoca,DMS.responsive_Dell.Ariccia,Agreement_Savoca_Dell.Ariccia,Body.Mass.g.FLAWED,AS.Fishery,AS.Refuse,AS.Agriculture
22724879,Melanitta nigra,https:/www.hbw.com/species/common-scoter-melanitta-nigra,ANSERIFORMES,Anatidae,Anatinae,Mergini,Common Scoter,Melanitta,NA,LC,Bottom.Feeding,Other.Inverts,"Only winter (coastal) diet is relevant. This species dives for crustaceans and molluscs; it also eats aquatic insects and small fish when on fresh water (not relevant here).

",No matches,No,No,No,Yes,Yes,No,No,No,1077,0.536131448,https://www.hbw.com/species/common-scoter-melanitta-nigra,NA,NA,NA,9,No,No,No
22680409,Somateria spectabilis,https:/www.hbw.com/species/king-eider-somateria-spectabilis,ANSERIFORMES,Anatidae,Anatinae,Mergini,King Eider,Somateria,NA,LC,Bottom.Feeding,Other.Inverts,"Molluscs, crustaceans, insect larvae (e.g. chironomids), echinoderms and other marine invertebrates (e.g. worms up to 30 mm long); little plant material, seeds and green parts of grasses and tundra vegetation, the latter mainly or exclusively in summer; also observed consuming small bones in summer. Feeds mostly by diving, at least at sea, often by groups in synchrony and typically reaching 25 m below surface, more exceptionally to 55 m, with most dives lasting > 90 seconds; also by head dipping, sieving, probing and upending in shallow waters. Feedsdiurnally, with estimated time spent underwater during daylight on shortest days of midwinter only 35% of that the longest days at this season. In immediate pre-breeding period, both sexes spend > 50% of the day loafing (resting, sleeping, etc.) and females foraging on average 30% of the time (mean 7_2 hours/day), three times as much as males (9%; 2_3 hours/day). Forms massive flocks in winter, often with other eiders, especially S. mollissima.",No matches,No,No,No,Yes,Yes,Yes,No,No,1617.5,0.824754593,"CRC Handbook of Avian Body Masses, Second Edition. CRC Press (2007), (available at https://www.crcpress.com/CRC-Handbook-of-Avian-Body-Masses-Second-Edition/Dunning-Jr/p/book/9781420064445).",NA,NA,NA,68,No,No,No
22680427,Clangula hyemalis,https:/www.hbw.com/species/long-tailed-duck-clangula-hyemalis,ANSERIFORMES,Anatidae,Anatinae,Mergini,Long-tailed Duck,Clangula,NA,VU,Bottom.Feeding,Crustaceans,"Mostly crustaceans, molluscs, other marine invertebrates (echinoderms, worms), fish and, in fresh water, insects and their larvae; also a little plant material (algae, grasses, seeds, tundra plants and their fruits), and once a c. 25 cm eel (Anguilla anguilla). On L Michigan, in winter, mainly takes amphipods, while those on Milwaukee Embayment in Jan took_Tubifex_and_Limnodrilus_almost exclusively, and in Baltic off Poland diet at this season comprises at least 28 species (23 animals and five of plants), mainly c. 11 mm bivalves such as_Macoma baltica,_Mya arenaria,_Mytilus edulis_and_Cardium glaucum_(latter two especially in Dec_Jan), as well as fish (especially Ammodytidae) and their eggs, followed by crustaceans (particularly favoured by immatures), polychaetes and gastropods, with the penultimate three foods being most important in spring and deepest dives being for_Mesidothea entomon; ducklings feed on gnat larvae and small crustacea, while on L M_vatn, Iceland, small young feed almost solely on cladocerans, thereafter (when capable of diving) graduating to chironomids, cladocerans and some molluscs. In Baltic, in winter, exhibits ecological plasticity in both habitats and food, thus while majority of ducks occur in hard-bottom habitats where they rely on_Mytilus edulis, but some winter in less productive, soft-bottom habitats where they employ a prey-selective foraging strategy, in which they feed on less abundant, but energy rich, crustaceans. May be some competition for food with_Histrionicus histrionicus_in winter. Feeds almost exclusively by_diving, typically to greater depths than other seaducks, regularly 3_10 m, and may attain 50_60 m; dive times generally longer for males than females, but latter dive more frequently, and both sexes are capable diving from flight. In contrast, small young regularly only half submerge head when searching for food, while paddling forwards, but are capable of diving from just two days old. Spends higher proportion of each day feeding during darkest days of midwinter, but estimated time spent underwater during daylight at this time is only 39% of that the longest days at this season. Highly gregarious, especially in wintering areas, where flocks (dominated by males or females, according to area)_form huge rafts on sea, diving synchronously, with birds in line submerging in succession. Most foraging is diurnal, but does feed at night.",No matches,No,Yes,No,Yes,Yes,No,No,No,873,0.387102049,"CRC Handbook of Avian Body Masses, Second Edition. CRC Press (2007), (available at https://www.crcpress.com/CRC-Handbook-of-Avian-Body-Masses-Second-Edition/Dunning-Jr/p/book/9781420064445).",NA,NA,NA,327,No,No,No
22680412,Somateria fischeri,https:/www.hbw.com/species/spectacled-eider-somateria-fischeri,ANSERIFORMES,Anatidae,Anatinae,Mergini,Spectacled Eider,Somateria,NA,NT,Bottom.Feeding,Other.Inverts,"Chiefly benthic invertebrates, especially Macoma clams and gastropods (snails) during breeding season and, particularly in summer, insects and larvae, arachnids, seeds and leaves of grasses and sedges, fruits and berries. Analysis of stomach contents of both adults and juveniles indicates that summer diet comprises 50_70% animal matter (mainly insects and their larvae, especially Trichopterae, supplemented by seeds of Potamogeton and Hippurus, and plant material), whereas adults are 100% reliant on animal food in winter, and clams (80%) and snails (20%) constitute diet in spring. Feeds mostly by diving; also plucks and dabbles on surface.",No matches,No,Yes,No,Yes,Yes,No,No,No,1558.5,0.798384847,"CRC Handbook of Avian Body Masses, Second Edition. CRC Press (2007), (available at https://www.crcpress.com/CRC-Handbook-of-Avian-Body-Masses-Second-Edition/Dunning-Jr/p/book/9781420064445).",NA,NA,NA,64,No,No,No
22680415,Polysticta stelleri,https:/www.hbw.com/species/stellers-eider-polysticta-stelleri,ANSERIFORMES,Anatidae,Anatinae,Mergini,Steller's Eider,Polysticta,NA,VU,Bottom.Feeding,Other.Inverts,"Chiefly molluscs, crustaceans and other marine invertebrates (worms, echinoderms), small fish and freshwater insects and larvae.  Feeds mostly by diving; also dabbles on surface and head dips and upends in shallow water; Alaskan study (May_Oct) found that 80% of foraging time was spent diving and 20% upending, with low-tide periods strongly favoured (irrespective of time of day), while in Norway (and Sweden) in winter observed feeding throughout tidal cycle, only pausing at high tide, diving offshore on the ebb and flow tides but resorting to algal beds and sandy-mud beaches to feed at low tide, with foraging the dominant activity both by day (52_3%) and night (37_8%).",No matches,No,Yes,No,Yes,Yes,No,No,No,807.5,0.331753362,"CRC Handbook of Avian Body Masses, Second Edition. CRC Press (2007), (available at https://www.crcpress.com/CRC-Handbook-of-Avian-Body-Masses-Second-Edition/Dunning-Jr/p/book/9781420064445).",NA,NA,NA,318,No,No,No
22680441,Melanitta perspicillata,https:/www.hbw.com/species/surf-scoter-melanitta-perspicillata,ANSERIFORMES,Anatidae,Anatinae,Mergini,Surf Scoter,Melanitta,NA,LC,Bottom.Feeding,Other.Inverts,"Chiefly molluscs; also crustaceans, worms, echinoderms and, mainly in summer, insects and their larvae and plant material, such as seeds and green parts of aquatic plants. Summer diet focused more on freshwater invertebrates, whereas in winter traditionally has been considered to strongly favour blue mussels (Mytilus edulis) and other bivalve molluscs, switching mainly to Pacific herring (Clupea pallasi) eggs in early spring in some areas. However, recent evidence from study in Washington state suggests that soft-bodied prey (i .e., crustaceans and polychaetes) is significantly more important at this season than previously thought. Observed taking advantage of superabundance of polychaetes (Ophryotrocha sp.) in winter quarters, together with other seaducks and a gray whale (Eschrichtius robustus). Compared to M. fusca, consumes smaller bivalves, a smaller and more variable percentage of mollusc prey (including bivalves and gastropods), and declining percentage of bivalves as winter progresses. Feeds mostly by diving, often close to shore among breaking waves, with dives typically lasting 15_30 seconds, occasionally up to 55 seconds, with pauses between dives increasing in proportion to length of previous time underwater. When feeding on herring spawn, dive durations increase, presumably to maximize amount of roe consumed per dive and scoters spend c. 50% less time foraging and decrease their dive rate by 70%. Study conducted in high-quality foraging area off British Columbia in winter found that individuals spend on average c. 12 minutes/hour underwater (20% of daylight hours). Large flocks form in non-breeding season and these frequently dive and surface synchronously, with synchrony increasing with flock size as individuals in large groups follow one another more quickly than those in smaller flocks, even when being kleptoparasitized by Glaucous-winged Gulls (Larus glaucescens). Associates with other seaducks, especially Bucephala islandica off British Columbia (Canada), but also Melanitta fusca,Clangula hyemalis and Aythya marila.",No matches,No,Yes,No,Yes,Yes,No,No,No,1097.5,0.549512547,"CRC Handbook of Avian Body Masses, Second Edition. CRC Press (2007), (available at https://www.crcpress.com/CRC-Handbook-of-Avian-Body-Masses-Second-Edition/Dunning-Jr/p/book/9781420064445).",NA,NA,NA,12,No,No,No
22724836,Melanitta fusca,https:/www.hbw.com/species/velvet-scoter-melanitta-fusca,ANSERIFORMES,Anatidae,Anatinae,Mergini,Velvet Scoter,Melanitta,Melanitta fusca,VU,Bottom.Feeding,Crustaceans,"Only winter (coastal) diet is relevant. Shellfish, crabs, sea urchins, fish and insect larvae.
Read more at https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/velvet-scoter/#JMjHc7y3qT3LSqIu.99",No matches,No,Yes,No,Yes,Yes,No,No,No,1578,0.807209129,https://www.hbw.com/species/velvet-scoter-melanitta-fusca,NA,NA,NA,65,No,No,No
10000005,Melanitta americana,https://birdsoftheworld.org/bow/species/blksco2/cur/introduction,ANSERIFORMES,Anatidae,Anatinae,Mergini,Black Scoter,Melanitta,NA,NT,Bottom.Feeding,Other.Inverts,"Only winter (coastal) diet is relevant.  Ninety percent animals (65% mollusks, 17% crustaceans), 10% plants (Cottam 1939). Diet in fresh water dominated by aquatic insects and invertebrates, in salt water by mollusks.",No matches,No,No,No,Yes,Yes,No,No,No,1052,0.519464013,"CRC Handbook of Avian Body Masses, Second Edition. CRC Press (2007), (available at https://www.crcpress.com/CRC-Handbook-of-Avian-Body-Masses-Second-Edition/Dunning-Jr/p/book/9781420064445).",NA,NA,NA,4,No,No,No
10000031,Melanitta deglandi,https://birdsoftheworld.org/bow/species/whwsco2/cur/systematics,ANSERIFORMES,Anatidae,Anatinae,Mergini,White-winged Scoter,Melanitta,NA,LC,Bottom.Feeding,Other.Inverts,"Only winter (coastal) diet is relevant. Mainly molluscs (122); also crustaceans, worms, echinoderms, annelids (123), small fish and, in fresh water (not relevant to this study), insects and their larvae. Little plant material consumed.",No matches,No,Yes,No,Yes,Yes,No,No,No,1757,0.883462531,"CRC Handbook of Avian Body Masses, Second Edition. CRC Press (2007), (available at https://www.crcpress.com/CRC-Handbook-of-Avian-Body-Masses-Second-Edition/Dunning-Jr/p/book/9781420064445).",NA,NA,NA,39,No,No,No
10000024,Melanitta stejnegeri,https://birdsoftheworld.org/bow/species/whwsco1/cur/introduction,ANSERIFORMES,Anatidae,Anatinae,Mergini,Siberian Scoter,Melanitta,Melanitta fusca,LC,Bottom.Feeding,Other.Inverts,"Only winter (coastal) diet is relevant. Listed as  Stejneger's Scoter for HBW website. Mainly molluscs; also crustaceans, worms, echinoderms, annelids (1), small fish and, in fresh water, insects and their larvae. Little plant material consumed, principally on breeding grounds, where diet of M. fusca and M. deglandi is dominated by amphipods, caddis fly larvae and crustaceans (1). Winter diet mainly saltwater molluscs, but in Japan feeds mainly on crabs (Pinnixa ratubuni) at depths of 30–40 m. Feeds almost exclusively by diving, propelling themselves using both wings and feet (21), though occasionally also dabbles on surface.",No matches,No,No,No,Yes,Yes,No,No,No,1824,0.910021159,"CRC Handbook of Avian Body Masses, Second Edition. CRC Press (2007), (available at https://www.crcpress.com/CRC-Handbook-of-Avian-Body-Masses-Second-Edition/Dunning-Jr/p/book/9781420064445).",NA,NA,NA,84,No,No,No
