HBWv8.1_Binomial,UniqueID_Plastic.study,Source,Common.name_Plastic.study,Sci.name_Plastic.study,Site,lat,lon,MarineRegion,Age.Class,Date_Text,Date_FirstYR,Date_LastYR,Date_MedianYR,Study.Duration,n,n_plastic,FO,Plastic,Sampling_method,Added_by,Comments
Aethia cristatella,254,Bond et al. 2010,Crested Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,2003,2003,2003,2003,1,23,0,0,No,NA,SA-G,NA
Aethia cristatella,255,Bond et al. 2010,Crested Auklet,NA,"Kasatochi Island, Alaska, USA",52.17515900000001,-175.513879,North Pacific Ocean,Adult,2003,2003,2003,2003,1,30,0,0,No,NA,SA-G,NA
Aethia cristatella,256,Bond et al. 2010,Crested Auklet,NA,"Kiska Island, Alaska, USA",52.060208,177.57356,North Pacific Ocean,Adult,2003,2003,2003,2003,1,3,0,0,No,NA,SA-G,NA
Aethia cristatella,257,Bond et al. 2010,Crested Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,2004,2004,2004,2004,1,33,0,0,No,NA,SA-G,NA
Aethia cristatella,258,Bond et al. 2010,Crested Auklet,NA,"Kasatochi Island, Alaska, USA",52.17515900000001,-175.513879,North Pacific Ocean,Adult,2004,2004,2004,2004,1,34,0,0,No,NA,SA-G,NA
Aethia cristatella,259,Bond et al. 2010,Crested Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,2005,2005,2005,2005,1,39,0,0,No,NA,SA-G,NA
Aethia cristatella,260,Bond et al. 2010,Crested Auklet,NA,"Kasatochi Island, Alaska, USA",52.17515900000001,-175.513879,North Pacific Ocean,Adult,2005,2005,2005,2005,1,35,0,0,No,NA,SA-G,NA
Aethia cristatella,261,Bond et al. 2010,Crested Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,2006,2006,2006,2006,1,36,0,0,No,NA,SA-G,NA
Aethia cristatella,262,Bond et al. 2010,Crested Auklet,NA,"Kasatochi Island, Alaska, USA",52.17515900000001,-175.513879,North Pacific Ocean,Adult,2006,2006,2006,2006,1,34,0,0,No,NA,SA-G,NA
Aethia cristatella,263,Bond et al. 2010,Crested Auklet,NA,"Kiska Island, Alaska, USA",52.060208,177.57356,North Pacific Ocean,Adult,2006,2006,2006,2006,1,24,0,0,No,NA,SA-G,NA
Synthliboramphus hypoleucus,1084,Blight and Burger 1997,Xantus's Murrelet,NA,North Pacific,45.522224,-122.679826,North Pacific Ocean,Subadult/Adult,1987,1987,1987,1987,1,6,0,0,No,NA,SA-G,NA
Fratercula corniculata,378,Blight and Burger 1997,Horned Puffin,NA,North Pacific,45.522224,-122.679826,North Pacific Ocean,Subadult/Adult,1987,1987,1987,1987,1,NA,NA,0.5,Yes,NA,SA-G,NA
Alle alle,468,Amelineau et al. 2016,Little Auk,NA,Eastern Greenland,66.198466,-34.864353,North Atlantic Ocean,Adult,NA,2005,2005,2005,1,26,26,1,Yes,NA,SA-G,NA
Alle alle,469,Amelineau et al. 2016,Little Auk,NA,Eastern Greenland,66.198466,-34.864353,North Atlantic Ocean,Adult,NA,2015,2015,2015,1,18,18,1,Yes,NA,SA-G,NA
Alle alle,470,Avery-Gomm et al. 2016,Little Auk,NA,"Conception Bay, Newfoundland",47.386346999999994,-53.132029,North Atlantic Ocean,Adult,2013,2013,2013,2013,1,171,52,0.304,Yes,NA,SA-G,NA
Alle alle,472,Fife et al. 2015,Little Auk,NA,"White Bay, Newfoundland",49.961124,-56.445173,North Atlantic Ocean,Adult,2013,2013,2013,2013,1,65,9,0.14,Yes,NA,SA-G,NA
Alle alle,473,Lydersen et al. 1989,Little Auk,NA,Hornsund,76.881101,15.9084,Arctic Ocean,Adult,1984,1984,1984,1984,1,11,5,0.45,Yes,NA,SA-G,NA
Aethia psittacula,598,Bond et al. 2010,Parakeet Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1993,1993,1993,1993,1,6,0,0,No,NA,SA-G,NA
Aethia psittacula,599,Bond et al. 2010,Parakeet Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1994,1994,1994,1994,1,3,0,0,No,NA,SA-G,NA
Aethia psittacula,600,Bond et al. 2010,Parakeet Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1995,1995,1995,1995,1,16,0,0,No,NA,SA-G,NA
Aethia psittacula,601,Bond et al. 2010,Parakeet Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1996,1996,1996,1996,1,5,0,0,No,NA,SA-G,NA
Aethia psittacula,602,Bond et al. 2010,Parakeet Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1997,1997,1997,1997,1,3,0,0,No,NA,SA-G,NA
Aethia psittacula,603,Bond et al. 2010,Parakeet Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1998,1998,1998,1998,1,12,0,0,No,NA,SA-G,NA
Aethia psittacula,604,Bond et al. 2010,Parakeet Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1999,1999,1999,1999,1,1,0,0,No,NA,SA-G,NA
Aethia psittacula,605,Bond et al. 2010,Parakeet Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,2000,2000,2000,2000,1,8,0,0,No,NA,SA-G,NA
Aethia psittacula,606,Bond et al. 2010,Parakeet Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,2003,2003,2003,2003,1,2,0,0,No,NA,SA-G,NA
Aethia psittacula,607,Bond et al. 2010,Parakeet Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,2004,2004,2004,2004,1,27,0,0,No,NA,SA-G,NA
Aethia psittacula,608,Bond et al. 2010,Parakeet Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,2005,2005,2005,2005,1,29,0,0,No,NA,SA-G,NA
Aethia psittacula,609,Bond et al. 2010,Parakeet Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,2006,2006,2006,2006,1,28,0,0,No,NA,SA-G,NA
Aethia psittacula,611,Pettit et al. 1981,Parakeet Auklet,NA,Midway Atoll.,28.210076,-177.376111,North Pacific Ocean,Mixed,1980,1980,1980,1980,1,1,1,1,Yes,NA,SA-G,NA
Cepphus columba,625,Avery-Gomm et al. 2013,Pigeon Guillemot,NA,"Vancouver Island, BC",49.650638,-125.449391,North Pacific Ocean,Adult,2006,2006,2006,2006,1,1,0,0,No,NA,SA-G,NA
Alca torda,642,Nicastro et al. 2018,Razorbill,NA,"Olhao, Portugal",37.026042000000004,-7.842351,North Atlantic Ocean,Adult,2016,2016,2016,2016,1,1,0,0,No,NA,SA-G,NA
Alca torda,644,Provencher et al. 2014,Razorbill,NA,"Bay of Exploits, Newfoundland",49.409665999999994,-55.108579,North Atlantic Ocean,Adult,2004,2004,2004,2004,1,2,0,0,No,NA,SA-G,NA
Alca torda,643,Nicastro et al. 2018,Razorbill,NA,"Olhao, Portugal",37.026042000000004,-7.842351,North Atlantic Ocean,Mixed,2016,2016,2016,2016,1,1,0,0,No,NA,SA-G,NA
Alca torda,645,Provencher et al. 2014,Razorbill,NA,"Notre Dame Bay, Newfoundland",49.653128,-54.757162,North Atlantic Ocean,Mixed,2004,2004,2004,2004,1,8,0,0,No,NA,SA-G,NA
Cerorhinca monocerata,673,Avery-Gomm et al. 2013,Rhinoceros Auklet,NA,Vancouver & Washington,49.282729,-123.120738,North Pacific Ocean,Subadult,2010,2010,2010,2010,1,10,0,0,No,NA,SA-G,NA
Cerorhinca monocerata,676,Blight and Burger 1997,Rhinoceros Auklet,NA,North Pacific,45.522224,-122.679826,North Pacific Ocean,Subadult/Adult,1987,1987,1987,1987,1,5,0,0,No,NA,SA-G,NA
Uria lomvia,938,Lydersen et al. 1989,Thick-billed Murre,NA,Hornsund,76.881101,15.9084,Arctic Ocean,Adult,1984,1984,1984,1984,1,21,5,0.24,Yes,NA,SA-G,NA
Uria lomvia,939,Poon et al. 2017,Thick-billed Murre,NA,"Prince Leopold Is, Canadian Arctic",74.04176000000001,-90.032616,Arctic Ocean,Adult,2008,2008,2008,2008,1,10,0,0,No,NA,SA-G,NA
Uria lomvia,940,Poon et al. 2017,Thick-billed Murre,NA,"Prince Leopold Is, Canadian Arctic",74.04176000000001,-90.032616,Arctic Ocean,Adult,2013,2013,2013,2013,1,10,0,0,No,NA,SA-G,NA
Uria lomvia,942,Provencher et al. 2014,Thick-billed Murre,NA,"Harbour Breton, Newfoundland",47.477498999999995,-55.825875,North Atlantic Ocean,Adult,2005,2005,2005,2005,1,7,0,0,No,NA,SA-G,NA
Uria lomvia,943,Provencher et al. 2014,Thick-billed Murre,NA,"St. Mary's Bay, Newfoundland",47.036816,-53.761189,North Atlantic Ocean,Adult,2005,2005,2005,2005,1,4,0,0,No,NA,SA-G,NA
Uria lomvia,944,Provencher et al. 2014,Thick-billed Murre,NA,"Coats Is, Nunavut",62.4682,-83.104161,Arctic Ocean,Adult,2006,2006,2006,2006,1,16,0,0,No,NA,SA-G,NA
Uria lomvia,945,Provencher et al. 2014,Thick-billed Murre,NA,"Nuuk, Greenland",64.18141,-51.694138,Arctic Ocean,Adult,2006,2006,2006,2006,1,15,0,0,No,NA,SA-G,NA
Fratercula cirrhata,968,Avery-Gomm et al. 2013,Tufted Puffin,NA,"Puget Sound, WA",47.723654,-122.471335,North Pacific Ocean,Adult,2009,2009,2009,2009,1,1,0,0,No,NA,SA-G,NA
Fratercula cirrhata,969,Blight and Burger 1997,Tufted Puffin,NA,North Pacific,45.522224,-122.679826,North Pacific Ocean,Subadult/Adult,1987,1987,1987,1987,1,NA,NA,0.89,Yes,NA,SA-G,NA
Aethia pygmaea,1008,Bond et al. 2010,Whiskered Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1993,1993,1993,1993,1,26,1,0.04,Yes,NA,SA-G,NA
Aethia pygmaea,1009,Bond et al. 2010,Whiskered Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1994,1994,1994,1994,1,16,0,0,No,NA,SA-G,NA
Aethia pygmaea,1010,Bond et al. 2010,Whiskered Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1995,1995,1995,1995,1,48,0,0,No,NA,SA-G,NA
Aethia pygmaea,1011,Bond et al. 2010,Whiskered Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1996,1996,1996,1996,1,71,0,0,No,NA,SA-G,NA
Aethia pygmaea,1012,Bond et al. 2010,Whiskered Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1997,1997,1997,1997,1,36,0,0,No,NA,SA-G,NA
Aethia pygmaea,1013,Bond et al. 2010,Whiskered Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1998,1998,1998,1998,1,26,0,0,No,NA,SA-G,NA
Aethia pygmaea,1014,Bond et al. 2010,Whiskered Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1999,1999,1999,1999,1,38,0,0,No,NA,SA-G,NA
Aethia pygmaea,1015,Bond et al. 2010,Whiskered Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,2000,2000,2000,2000,1,33,0,0,No,NA,SA-G,NA
Aethia pygmaea,1016,Bond et al. 2010,Whiskered Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,2001,2001,2001,2001,1,28,0,0,No,NA,SA-G,NA
Aethia pygmaea,1017,Bond et al. 2010,Whiskered Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,2002,2002,2002,2002,1,32,0,0,No,NA,SA-G,NA
Aethia pygmaea,1018,Bond et al. 2010,Whiskered Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,2003,2003,2003,2003,1,31,0,0,No,NA,SA-G,NA
Aethia pygmaea,1019,Bond et al. 2010,Whiskered Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,2004,2004,2004,2004,1,37,0,0,No,NA,SA-G,NA
Aethia pygmaea,1020,Bond et al. 2010,Whiskered Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,2005,2005,2005,2005,1,31,0,0,No,NA,SA-G,NA
Aethia pygmaea,1021,Bond et al. 2010,Whiskered Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,2006,2006,2006,2006,1,36,0,0,No,NA,SA-G,NA
Fratercula arctica,41,Provencher et al. 2014,Atlantic Puffin,NA,Faroe Islands/Norwegian Sea,68.877354,3.13966,Arctic Ocean,Mixed,1987-1988,1987,1988,1988,2,36,0,0,No,NA,SA-G,NA
Uria aalge,208,Bond et al. 2013,Common Murre,NA,Newfoundland,53.135509000000006,-57.660436,North Atlantic Ocean,Adult,1996-1997,1996,1997,1997,2,60,1,0.02,Yes,NA,SA-G,NA
Uria aalge,209,Bond et al. 2013,Common Murre,NA,Newfoundland,53.135509000000006,-57.660436,North Atlantic Ocean,Adult,2011-2012,2011,2012,2012,2,11,1,0.09,Yes,NA,SA-G,NA
Fratercula corniculata,380,Robards 1993,Horned Puffin,NA,North Pacific,33,-130,North Pacific Ocean,Subadult/Adult,1990-1991,1990,1991,1991,2,28,16,0.57,Yes,NA,SA-G,NA
Alle alle,474,Provencher et al. 2014,Little Auk,NA,"Nuuk, Greenland",64.18141,-51.694138,Arctic Ocean,Mixed,1988-1989,1988,1989,1989,2,19,0,0,No,NA,SA-G,NA
Aethia psittacula,612,Robards 1993,Parakeet Auklet,NA,North Pacific,33,-130,North Pacific Ocean,Subadult/Adult,1990-1991,1990,1991,1991,2,3,1,0.33,Yes,NA,SA-G,NA
Cerorhinca monocerata,675,Baltz and Morejohn 1976,Rhinoceros Auklet,NA,"Monterey Bay, CA",36.800740999999995,-121.947311,North Pacific Ocean,Mixed,1974-1975,1974,1975,1975,2,26,1,0.04,Yes,NA,SA-G,NA
Cerorhinca monocerata,678,Robards 1993,Rhinoceros Auklet,NA,North Pacific,33,-130,North Pacific Ocean,Subadult/Adult,1990-1991,1990,1991,1991,2,9,4,0.44,Yes,NA,SA-G,NA
Uria lomvia,933,Bond et al. 2013,Thick-billed Murre,NA,Newfoundland,53.135509000000006,-57.660436,North Atlantic Ocean,Adult,1985-1986,1985,1986,1986,2,1249,100,0.08,Yes,NA,SA-G,NA
Uria lomvia,934,Bond et al. 2013,Thick-billed Murre,NA,Newfoundland,53.135509000000006,-57.660436,North Atlantic Ocean,Adult,1996-1997,1996,1997,1997,2,310,16,0.05,Yes,NA,SA-G,NA
Uria lomvia,935,Bond et al. 2013,Thick-billed Murre,NA,Newfoundland,53.135509000000006,-57.660436,North Atlantic Ocean,Adult,2011-2012,2011,2012,2012,2,32,3,0.09,Yes,NA,SA-G,NA
Uria lomvia,941,Provencher et al. 2010,Thick-billed Murre,NA,eastern Canadian Arctic,75,-90,Arctic Ocean,Adult,2007-2008,2007,2008,2008,2,186,20,0.11,Yes,NA,SA-G,NA
Uria lomvia,936,Day et al. 1984,Thick-billed Murre,NA,Canadian Arctic,75,-90,Arctic Ocean,Mixed,1978-1979,1978,1979,1979,2,283,3,0.01,Yes,NA,SA-G,NA
Uria lomvia,946,Provencher et al. 2014,Thick-billed Murre,NA,SW Greenland,60.683333000000005,-46.583333,Arctic Ocean,Mixed,1988-1989,1988,1989,1989,2,202,12,0.06,Yes,NA,SA-G,NA
Uria lomvia,947,Robards 1993,Thick-billed Murre,NA,North Pacific,33,-130,North Pacific Ocean,Subadult/Adult,1990-1991,1990,1991,1991,2,1,1,1,Yes,NA,SA-G,NA
Fratercula cirrhata,971,Robards 1993,Tufted Puffin,NA,North Pacific,33,-130,North Pacific Ocean,Subadult/Adult,1990-1991,1990,1991,1991,2,8,7,0.88,Yes,NA,SA-G,NA
Synthliboramphus antiquus,10,Robards et al. 1995,Ancient Murrelet,NA,Alaska,52.999639,-166.912109,North Pacific Ocean,Subadult/Adult,1988-1990,1988,1990,1989,3,68,0,0,No,NA,SA-G,NA
Fratercula arctica,37,Parslow and Jefferies 1972,Atlantic Puffin,NA,United Kingdom,55.378051,-3.435973,North Atlantic Ocean,Adult,1969-1971,1969,1971,1970,3,1,1,1,Yes,NA,SA-G,NA
Fratercula arctica,36,Parslow and Jefferies 1972,Atlantic Puffin,NA,United Kingdom,55.378051,-3.435973,North Atlantic Ocean,Nest-bound,1969-1971,1969,1971,1970,3,5,3,0.6,Yes,NA,SA-G,NA
Fratercula arctica,32,Acampora et al. 2016,Atlantic Puffin,NA,Ireland,52.430796,-6.276479,North Atlantic Ocean,Subadult/Adult,2014-2016,2014,2016,2015,3,3,1,0.33,Yes,NA,SA-G,NA
Cepphus grylle,60,Acampora et al. 2016,Black Guillemot,NA,Ireland,52.430796,-6.276479,North Atlantic Ocean,Subadult/Adult,2014-2016,2014,2016,2015,3,1,0,0,No,NA,SA-G,NA
Ptychoramphus aleuticus,180,Robards et al. 1995,Cassin's Auklet,NA,Alaska,52.999639,-166.912109,North Pacific Ocean,Subadult/Adult,1988-1990,1988,1990,1989,3,35,4,0.114,Yes,NA,SA-G,NA
Uria aalge,203,Acampora et al. 2016,Common Murre,NA,Ireland,52.430796,-6.276479,North Atlantic Ocean,Subadult/Adult,2014-2016,2014,2016,2015,3,25,3,0.12,Yes,NA,SA-G,NA
Uria aalge,213,Robards et al. 1995,Common Murre,NA,Alaska,52.999639,-166.912109,North Pacific Ocean,Subadult/Adult,1988-1990,1988,1990,1989,3,134,1,0.008,Yes,NA,SA-G,NA
Aethia cristatella,265,Robards et al. 1995,Crested Auklet,NA,Alaska,52.999639,-166.912109,North Pacific Ocean,Subadult/Adult,1988-1990,1988,1990,1989,3,40,1,0.025,Yes,NA,SA-G,NA
Fratercula corniculata,381,Robards et al. 1995,Horned Puffin,NA,N. Pacific,52.999639,-166.912109,North Pacific Ocean,Subadult/Adult,1988-1990,1988,1990,1989,3,120,44,0.367,Yes,NA,SA-G,NA
Brachyramphus brevirostris,415,Robards et al. 1995,Kittlitz's Murrelet,NA,Alaska,52.999639,-166.912109,North Pacific Ocean,Subadult/Adult,1988-1990,1988,1990,1989,3,17,0,0,No,NA,SA-G,NA
Brachyramphus marmoratus,519,Robards et al. 1995,Marbled Murrelet,NA,Alaska,52.999639,-166.912109,North Pacific Ocean,Subadult/Adult,1988-1990,1988,1990,1989,3,96,0,0,No,NA,SA-G,NA
Aethia psittacula,613,Robards et al. 1995,Parakeet Auklet,NA,Alaska,52.999639,-166.912109,North Pacific Ocean,Subadult/Adult,1988-1990,1988,1990,1989,3,208,195,0.938,Yes,NA,SA-G,NA
Cepphus columba,627,Robards et al. 1995,Pigeon Guillemot,NA,Alaska,52.999639,-166.912109,North Pacific Ocean,Subadult/Adult,1988-1990,1988,1990,1989,3,43,1,0.0263,Yes,NA,SA-G,NA
Alca torda,641,Acampora et al. 2016,Razorbill,NA,Ireland,52.430796,-6.276479,North Atlantic Ocean,Subadult/Adult,2014-2016,2014,2016,2015,3,15,0,0,No,NA,SA-G,NA
Cerorhinca monocerata,679,Robards et al. 1995,Rhinoceros Auklet,NA,Alaska,52.999639,-166.912109,North Pacific Ocean,Subadult/Adult,1988-1990,1988,1990,1989,3,1,0,0,No,NA,SA-G,NA
Uria lomvia,948,Robards et al. 1995,Thick-billed Murre,NA,Alaska,52.999639,-166.912109,North Pacific Ocean,Subadult/Adult,1988-1990,1988,1990,1989,3,92,0,0,No,NA,SA-G,NA
Fratercula cirrhata,972,Robards et al. 1995,Tufted Puffin,NA,Alaska,52.999639,-166.912109,North Pacific Ocean,Subadult/Adult,1988-1990,1988,1990,1989,3,489,120,0.245,Yes,NA,SA-G,NA
Aethia pygmaea,1023,Robards et al. 1995,Whiskered Auklet,NA,Alaska,52.999639,-166.912109,North Pacific Ocean,Subadult/Adult,1988-1990,1988,1990,1989,3,22,0,0,No,NA,SA-G,NA
