HBWv8.1_Binomial,UniqueID_Plastic.study,Source,Common.name_Plastic.study,Sci.name_Plastic.study,Site,lat,lon,MarineRegion,Age.Class,Date_Text,Date_FirstYR,Date_LastYR,Date_MedianYR,Study.Duration,n,n_plastic,FO,Plastic,Sampling_method,Added_by,Comments
Synthliboramphus antiquus,8,Avery-Gomm et al. 2013,Ancient Murrelet,NA,"Haida Gwaii, BC",51.92275300000001,-129.917301,North Pacific Ocean,Subadult/Adult,2009,2009,2009,2009,1,5,0,0,No,NA,SA-G,NA
Fratercula arctica,35,Lydersen et al. 1989,Atlantic Puffin,NA,Hornsund,76.881101,15.9084,Arctic Ocean,Adult,1984,1984,1984,1984,1,14,0,0,No,NA,SA-G,NA
Fratercula arctica,38,Provencher et al. 2014,Atlantic Puffin,NA,"Gull Is, Newfoundland",47.954111,-53.044682,North Atlantic Ocean,Adult,1999,1999,1999,1999,1,2,0,0,No,NA,SA-G,NA
Fratercula arctica,39,Provencher et al. 2014,Atlantic Puffin,NA,"Bay of Exploits, Newfoundland",49.409665999999994,-55.108579,North Atlantic Ocean,Adult,2004,2004,2004,2004,1,2,0,0,No,NA,SA-G,NA
Fratercula arctica,33,Below 1960,Atlantic Puffin,NA,"Hornsea, Yorkshire, UK",53.910399999999996,-0.173953,North Atlantic Ocean,Subadult,1960,1960,1960,1960,1,1,1,1,Yes,NA,SA-G,NA
Fratercula arctica,40,Provencher et al. 2014,Atlantic Puffin,NA,"Bay of Exploits, Newfoundland",49.409665999999994,-55.108579,North Atlantic Ocean,Subadult,2004,2004,2004,2004,1,14,1,0.07,Yes,NA,SA-G,NA
Cepphus grylle,61,Lydersen et al. 1989,Black Guillemot,NA,Hornsund,76.881101,15.9084,Arctic Ocean,Adult,1984,1984,1984,1984,1,20,0,0,No,NA,SA-G,NA
Cepphus grylle,62,Poon et al. 2017,Black Guillemot,NA,"Prince Leopold Is, Canadian Arctic",74.04176000000001,-90.032616,Arctic Ocean,Adult,2013,2013,2013,2013,1,3,0,0,No,NA,SA-G,NA
Ptychoramphus aleuticus,177,Floren and Shugart 2017,Cassin's Auklet,NA,Washington and Oregon Coast,46.79339100000001,-124.091651,North Pacific Ocean,Adult,2014,2014,2014,2014,1,92,32,0.35,Yes,NA,SA-G,NA
Ptychoramphus aleuticus,178,Floren and Shugart 2017,Cassin's Auklet,NA,Washington and Oregon Coast,46.79339100000001,-124.091651,North Pacific Ocean,Subadult,2014,2014,2014,2014,1,38,18,0.47,Yes,NA,SA-G,NA
Ptychoramphus aleuticus,179,Floren and Shugart 2017,Cassin's Auklet,NA,Washington and Oregon Coast,46.79339100000001,-124.091651,North Pacific Ocean,Subadult,2014,2014,2014,2014,1,39,21,0.54,Yes,NA,SA-G,NA
Uria aalge,211,Provencher et al. 2014,Common Murre,NA,"Renews, Newfoundland",46.861065999999994,-52.946643,North Atlantic Ocean,Adult,2006,2006,2006,2006,1,13,0,0,No,NA,SA-G,NA
Uria aalge,212,Provencher et al. 2014,Common Murre,NA,"St. Mary's Bay, Newfoundland",47.036816,-53.761189,North Atlantic Ocean,Adult,2006,2006,2006,2006,1,15,0,0,No,NA,SA-G,NA
Uria aalge,207,Blight and Burger 1997,Common Murre,NA,North Pacific,45.522224,-122.679826,North Pacific Ocean,Subadult/Adult,1987,1987,1987,1987,1,1,0,0,No,NA,SA-G,NA
Aethia cristatella,236,Bond et al. 2010,Crested Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1993,1993,1993,1993,1,1,0,0,No,NA,SA-G,NA
Aethia cristatella,237,Bond et al. 2010,Crested Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1994,1994,1994,1994,1,37,0,0,No,NA,SA-G,NA
Aethia cristatella,238,Bond et al. 2010,Crested Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1995,1995,1995,1995,1,46,0,0,No,NA,SA-G,NA
Aethia cristatella,239,Bond et al. 2010,Crested Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1996,1996,1996,1996,1,78,0,0,No,NA,SA-G,NA
Aethia cristatella,240,Bond et al. 2010,Crested Auklet,NA,"Kasatochi Island, Alaska, USA",52.17515900000001,-175.513879,North Pacific Ocean,Adult,1996,1996,1996,1996,1,36,0,0,No,NA,SA-G,NA
Aethia cristatella,241,Bond et al. 2010,Crested Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1997,1997,1997,1997,1,82,0,0,No,NA,SA-G,NA
Aethia cristatella,242,Bond et al. 2010,Crested Auklet,NA,"Kasatochi Island, Alaska, USA",52.17515900000001,-175.513879,North Pacific Ocean,Adult,1997,1997,1997,1997,1,39,0,0,No,NA,SA-G,NA
Aethia cristatella,243,Bond et al. 2010,Crested Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1998,1998,1998,1998,1,103,0,0,No,NA,SA-G,NA
Aethia cristatella,244,Bond et al. 2010,Crested Auklet,NA,"Kasatochi Island, Alaska, USA",52.17515900000001,-175.513879,North Pacific Ocean,Adult,1998,1998,1998,1998,1,35,0,0,No,NA,SA-G,NA
Aethia cristatella,245,Bond et al. 2010,Crested Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,1999,1999,1999,1999,1,88,0,0,No,NA,SA-G,NA
Aethia cristatella,246,Bond et al. 2010,Crested Auklet,NA,"Kasatochi Island, Alaska, USA",52.17515900000001,-175.513879,North Pacific Ocean,Adult,1999,1999,1999,1999,1,36,0,0,No,NA,SA-G,NA
Aethia cristatella,247,Bond et al. 2010,Crested Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,2000,2000,2000,2000,1,29,0,0,No,NA,SA-G,NA
Aethia cristatella,248,Bond et al. 2010,Crested Auklet,NA,"Kasatochi Island, Alaska, USA",52.17515900000001,-175.513879,North Pacific Ocean,Adult,2000,2000,2000,2000,1,34,0,0,No,NA,SA-G,NA
Aethia cristatella,249,Bond et al. 2010,Crested Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,2001,2001,2001,2001,1,45,0,0,No,NA,SA-G,NA
Aethia cristatella,250,Bond et al. 2010,Crested Auklet,NA,"Kasatochi Island, Alaska, USA",52.17515900000001,-175.513879,North Pacific Ocean,Adult,2001,2001,2001,2001,1,31,0,0,No,NA,SA-G,NA
Aethia cristatella,251,Bond et al. 2010,Crested Auklet,NA,"Kiska Island, Alaska, USA",52.060208,177.57356,North Pacific Ocean,Adult,2001,2001,2001,2001,1,7,0,0,No,NA,SA-G,NA
Aethia cristatella,252,Bond et al. 2010,Crested Auklet,NA,"Buldir Island, Alaska, USA",52.360182,175.917262,North Pacific Ocean,Adult,2002,2002,2002,2002,1,54,0,0,No,NA,SA-G,NA
Aethia cristatella,253,Bond et al. 2010,Crested Auklet,NA,"Kasatochi Island, Alaska, USA",52.17515900000001,-175.513879,North Pacific Ocean,Adult,2002,2002,2002,2002,1,39,0,0,No,NA,SA-G,NA
