Clements2024_Binomial,UniqueID_Plastic.study,Source,Common.name_Plastic.study,Sci.name_Plastic.study,Site,lat,lon,MarineRegion,Age.Class,Date_Text,Date_FirstYR,Date_LastYR,Date_MedianYR,Study.Duration,n,n_plastic,FO,Plastic,Sampling_method
Pachyptila desolata,1169,Roman et al. 2019,Antarctic Prion,NA,"New Zealand, North Island, Karioitahi Beach",NA,NA,South Pacific Ocean,Subadult,2016,2016,2016,2016,1,3,2,0.6667,Yes,Necropsy
Diomedea antipodensis,1170,Roman et al. 2019,Antipodean Albatross,NA,"New Zealand, North Island",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,1,0,0,No,Necropsy
Diomedea antipodensis,1171,Roman et al. 2019,Antipodean Albatross,NA,"New Zealand, North Island, Offshore 140 km northwest of Kahurangi National Park",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,1,0,0,No,Necropsy
Diomedea antipodensis,1172,Roman et al. 2019,Antipodean Albatross,NA,"New Zealand, North Island, Wellington",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,1,0,0,No,Necropsy
Procellaria parkinsoni,1173,Roman et al. 2019,Black Petrel,NA,New Zealand,NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,1,0,0,No,Necropsy
Procellaria parkinsoni,1174,Roman et al. 2019,Black Petrel,NA,"New Zealand, North Island",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,4,0,0,No,Necropsy
Procellaria parkinsoni,1175,Roman et al. 2019,Black Petrel,NA,"New Zealand, North Island",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,2,0,0,No,Necropsy
Fregetta tropica,1176,Roman et al. 2019,Black-bellied Storm-petrel,NA,"New Zealand, Snares Islands",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,1,0,0,No,Necropsy
Thalassarche melanophris,1177,Roman et al. 2019,Black-browed Albatross,NA,"Australia, New South Wales",NA,NA,South Pacific Ocean,Adult,2011,2011,2011,2011,1,1,0,0,No,Necropsy
Thalassarche melanophris,1178,Roman et al. 2019,Black-browed Albatross,NA,"Australia, South Australia",NA,NA,Indian Ocean,Subadult,2015,2015,2015,2015,1,1,1,1,Yes,Necropsy
Thalassarche melanophris,1179,Roman et al. 2019,Black-browed Albatross,NA,DPIPWE-15 (location unknown),NA,NA,South Pacific Ocean,Mixed,2009,2009,2009,2009,1,1,0,0,No,Necropsy
Thalassarche melanophris,1180,Roman et al. 2019,Black-browed Albatross,NA,DPIPWE-15 (location unknown),NA,NA,South Pacific Ocean,Subadult,2002,2002,2002,2002,1,1,0,0,No,Necropsy
Thalassarche melanophris,1181,Roman et al. 2019,Black-browed Albatross,NA,New Zealand,NA,NA,South Pacific Ocean,Subadult,2016,2016,2016,2016,1,1,0,0,No,Necropsy
Thalassarche melanophris,1182,Roman et al. 2019,Black-browed Albatross,NA,"New Zealand, North Island",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,2,0,0,No,Necropsy
Thalassarche melanophris,1183,Roman et al. 2019,Black-browed Albatross,NA,"New Zealand, North Island",NA,NA,South Pacific Ocean,Subadult,2015,2015,2015,2015,1,1,0,0,No,Necropsy
Thalassarche melanophris,1184,Roman et al. 2019,Black-browed Albatross,NA,"New Zealand, North Island",NA,NA,South Pacific Ocean,Subadult,2016,2016,2016,2016,1,1,0,0,No,Necropsy
Pterodroma nigripennis,1185,Roman et al. 2019,Black-winged Petrel,NA,"Australia, Queensland, Fraser Island",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,1,0,0,No,Necropsy
Pterodroma nigripennis,1186,Roman et al. 2019,Black-winged Petrel,NA,"New Zealand, North Island, Aukland",NA,NA,South Pacific Ocean,Mixed,2005,2005,2005,2005,1,1,0,0,No,Necropsy
Halobaena caerulea,1187,Roman et al. 2019,Blue Petrel,NA,"New Zealand, North Island, Karioitahi Beach",NA,NA,South Pacific Ocean,Mixed,2016,2016,2016,2016,1,1,1,1,Yes,Necropsy
Pachyptila vittata,1188,Roman et al. 2019,Broad-billed Prion,NA,"Australia, New South Wales",NA,NA,South Pacific Ocean,Adult,2011,2011,2011,2011,1,1,0,0,No,Necropsy
Pachyptila vittata,1189,Roman et al. 2019,Broad-billed Prion,NA,"New Zealand, North Island, Aukland",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,2,0,0,No,Necropsy
Pachyptila vittata,1190,Roman et al. 2019,Broad-billed Prion,NA,"New Zealand, North Island, Karioitahi Beach",NA,NA,South Pacific Ocean,Subadult,2016,2016,2016,2016,1,7,2,0.2857,Yes,Necropsy
Pachyptila vittata,1191,Roman et al. 2019,Broad-billed Prion,NA,"New Zealand, North Island, Manu Bay",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,2,1,0.5,Yes,Necropsy
Pachyptila vittata,1192,Roman et al. 2019,Broad-billed Prion,NA,"New Zealand, North Island, Manu Bay",NA,NA,South Pacific Ocean,Mixed,2016,2016,2016,2016,1,1,0,0,No,Necropsy
Pachyptila vittata,1193,Roman et al. 2019,Broad-billed Prion,NA,"New Zealand, South Island, Fjordland National Park",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,1,0,0,No,Necropsy
Thalassarche bulleri,1194,Roman et al. 2019,Buller's Albatross,NA,"Australia, Queensland, Fraser Island",NA,NA,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,1,1,Yes,Necropsy
Thalassarche bulleri,1195,Roman et al. 2019,Buller's Albatross,NA,DPIPWE-15 (location unknown),NA,NA,South Pacific Ocean,Adult,2012,2012,2012,2012,1,2,0,0,No,Necropsy
Thalassarche bulleri,1196,Roman et al. 2019,Buller's Albatross,NA,DPIPWE-15 (location unknown),NA,NA,South Pacific Ocean,Mixed,2012,2012,2012,2012,1,1,0,0,No,Necropsy
Thalassarche bulleri,1197,Roman et al. 2019,Buller's Albatross,NA,DPIPWE-15 (location unknown),NA,NA,South Pacific Ocean,Subadult,2003,2003,2003,2003,1,1,0,0,No,Necropsy
Thalassarche bulleri,1198,Roman et al. 2019,Buller's Albatross,NA,New Zealand,NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,1,0,0,No,Necropsy
Thalassarche bulleri,1199,Roman et al. 2019,Buller's Albatross,NA,New Zealand,NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,1,0,0,No,Necropsy
Thalassarche bulleri,1200,Roman et al. 2019,Buller's Albatross,NA,"New Zealand, Aukland Island",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,1,0,0,No,Necropsy
Thalassarche bulleri,1201,Roman et al. 2019,Buller's Albatross,NA,"New Zealand, Aukland Island",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,7,0,0,No,Necropsy
Thalassarche bulleri,1202,Roman et al. 2019,Buller's Albatross,NA,"New Zealand, Chatham Island",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,6,0,0,No,Necropsy
Thalassarche bulleri,1203,Roman et al. 2019,Buller's Albatross,NA,"New Zealand, Chatham Island",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,1,0,0,No,Necropsy
Thalassarche bulleri,1204,Roman et al. 2019,Buller's Albatross,NA,"New Zealand, North Island",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,2,0,0,No,Necropsy
Thalassarche bulleri,1205,Roman et al. 2019,Buller's Albatross,NA,"New Zealand, North Island",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,2,0,0,No,Necropsy
Thalassarche bulleri,1206,Roman et al. 2019,Buller's Albatross,NA,"New Zealand, North Island, Offshore 400 km northwest of Wellington",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,3,0,0,No,Necropsy
Thalassarche bulleri,1207,Roman et al. 2019,Buller's Albatross,NA,"New Zealand, North Island, Wellington",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,1,0,0,No,Necropsy
Thalassarche bulleri,1208,Roman et al. 2019,Buller's Albatross,NA,"New Zealand, Snares Islands",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,3,0,0,No,Necropsy
Thalassarche bulleri,1209,Roman et al. 2019,Buller's Albatross,NA,"New Zealand, Snares Islands",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,11,0,0,No,Necropsy
Thalassarche bulleri,1210,Roman et al. 2019,Buller's Albatross,NA,"New Zealand, South Island, Christchurch",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,2,0,0,No,Necropsy
Thalassarche bulleri,1211,Roman et al. 2019,Buller's Albatross,NA,"New Zealand, South Island, Christchurch",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,2,0,0,No,Necropsy
Thalassarche bulleri,1212,Roman et al. 2019,Buller's Albatross,NA,"New Zealand, South Island, Fjordland National Park",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,4,0,0,No,Necropsy
Thalassarche bulleri,1213,Roman et al. 2019,Buller's Albatross,NA,"New Zealand, South Island, Fjordland National Park",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,1,0,0,No,Necropsy
Thalassarche bulleri,1214,Roman et al. 2019,Buller's Albatross,NA,"New Zealand, South Island, Hokitika",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,6,0,0,No,Necropsy
Thalassarche bulleri,1215,Roman et al. 2019,Buller's Albatross,NA,"New Zealand, South Island, Hokitika",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,17,0,0,No,Necropsy
Thalassarche bulleri,1216,Roman et al. 2019,Buller's Albatross,NA,"New Zealand, South Island, Hokitika",NA,NA,South Pacific Ocean,Mixed,2016,2016,2016,2016,1,1,0,0,No,Necropsy
Thalassarche bulleri,1217,Roman et al. 2019,Buller's Albatross,NA,"New Zealand, South Island, Jackson Bay",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,9,0,0,No,Necropsy
Thalassarche bulleri,1218,Roman et al. 2019,Buller's Albatross,NA,"New Zealand, South Island, Mount Cook National Park",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,2,0,0,No,Necropsy
Thalassarche melanophris,1219,Roman et al. 2019,Campbell Albatross,NA,New Zealand,NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,1,0,0,No,Necropsy
Thalassarche melanophris,1220,Roman et al. 2019,Campbell Albatross,NA,"New Zealand, Aukland Island",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,1,0,0,No,Necropsy
Thalassarche melanophris,1221,Roman et al. 2019,Campbell Albatross,NA,"New Zealand, North Island, Offshore 400 km northwest of Wellington",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,1,0,0,No,Necropsy
Thalassarche melanophris,1222,Roman et al. 2019,Campbell Albatross,NA,"New Zealand, North Island, Wellington",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,1,0,0,No,Necropsy
Daption capense,1223,Roman et al. 2019,Cape Petrel,NA,"Australia, South Australia",NA,NA,Indian Ocean,Mixed,2009,2009,2009,2009,1,1,0,0,No,Necropsy
Daption capense,1224,Roman et al. 2019,Cape Petrel,NA,DPIPWE-15 (location unknown),NA,NA,South Pacific Ocean,Adult,2004,2004,2004,2004,1,1,1,1,Yes,Necropsy
Daption capense,1225,Roman et al. 2019,Cape Petrel,NA,New Zealand,NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,1,0,0,No,Necropsy
Daption capense,1226,Roman et al. 2019,Cape Petrel,NA,"New Zealand, North Island, Aukland",NA,NA,South Pacific Ocean,Subadult,2007,2007,2007,2007,1,1,1,1,Yes,Necropsy
Daption capense,1227,Roman et al. 2019,Cape Petrel,NA,"New Zealand, North Island, Karioitahi Beach",NA,NA,South Pacific Ocean,Subadult,2012,2012,2012,2012,1,1,0,0,No,Necropsy
Daption capense,1228,Roman et al. 2019,Cape Petrel,NA,"New Zealand, Snares Islands",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,1,1,1,Yes,Necropsy
Daption capense,1229,Roman et al. 2019,Cape Petrel,NA,"New Zealand, South Island, Hokitika",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,1,0,0,No,Necropsy
Thalassarche eremita,1230,Roman et al. 2019,Chatham Albatross,NA,"New Zealand, Chatham Island",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,1,0,0,No,Necropsy
Pelecanoides urinatrix,1231,Roman et al. 2019,Common Diving-petrel,NA,"Australia, Queensland, Gold Coast",NA,NA,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Pelecanoides urinatrix,1232,Roman et al. 2019,Common Diving-petrel,NA,"Australia, South Australia",NA,NA,Indian Ocean,Mixed,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Pelecanoides urinatrix,1233,Roman et al. 2019,Common Diving-petrel,NA,"New Zealand, Aukland Island",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,2,0,0,No,Necropsy
Pelecanoides urinatrix,1234,Roman et al. 2019,Common Diving-petrel,NA,"New Zealand, North Island, Ahipara Bay",NA,NA,South Pacific Ocean,Mixed,2016,2016,2016,2016,1,1,0,0,No,Necropsy
Pelecanoides urinatrix,1235,Roman et al. 2019,Common Diving-petrel,NA,"New Zealand, North Island, Karioitahi Beach",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,3,0,0,No,Necropsy
Pelecanoides urinatrix,1236,Roman et al. 2019,Common Diving-petrel,NA,"New Zealand, North Island, Karioitahi Beach",NA,NA,South Pacific Ocean,Mixed,2016,2016,2016,2016,1,4,1,0.25,Yes,Necropsy
Pelecanoides urinatrix,1237,Roman et al. 2019,Common Diving-petrel,NA,"New Zealand, North Island, Manu Bay",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,5,1,0.2,Yes,Necropsy
Pelecanoides urinatrix,1238,Roman et al. 2019,Common Diving-petrel,NA,"New Zealand, North Island, Manu Bay",NA,NA,South Pacific Ocean,Mixed,2016,2016,2016,2016,1,1,0,0,No,Necropsy
Pelecanoides urinatrix,1239,Roman et al. 2019,Common Diving-petrel,NA,"New Zealand, North Island, Papamoa Beach",NA,NA,South Pacific Ocean,Subadult,2016,2016,2016,2016,1,5,0,0,No,Necropsy
Pelecanoides urinatrix,1240,Roman et al. 2019,Common Diving-petrel,NA,"New Zealand, Snares Islands",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,1,0,0,No,Necropsy
Pelecanoides urinatrix,1241,Roman et al. 2019,Common Diving-petrel,NA,"New Zealand, South Island, Christchurch",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,2,0,0,No,Necropsy
Pterodroma cookii,1242,Roman et al. 2019,Cook's Petrel,NA,"Australia, New South Wales",NA,NA,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Pterodroma cookii,1243,Roman et al. 2019,Cook's Petrel,NA,"New Zealand, North Island, Ahipara Bay",NA,NA,South Pacific Ocean,Mixed,2010,2010,2010,2010,1,1,0,0,No,Necropsy
Pterodroma cookii,1244,Roman et al. 2019,Cook's Petrel,NA,"New Zealand, North Island, Ahipara Bay",NA,NA,South Pacific Ocean,Mixed,2015,2015,2015,2015,1,1,0,0,No,Necropsy
Pterodroma cookii,1245,Roman et al. 2019,Cook's Petrel,NA,"New Zealand, North Island, Ahipara Bay",NA,NA,South Pacific Ocean,Subadult,2010,2010,2010,2010,1,1,0,0,No,Necropsy
Pterodroma cookii,1246,Roman et al. 2019,Cook's Petrel,NA,"New Zealand, North Island, Aukland",NA,NA,South Pacific Ocean,Adult,2008,2008,2008,2008,1,1,0,0,No,Necropsy
Pterodroma cookii,1247,Roman et al. 2019,Cook's Petrel,NA,"New Zealand, North Island, Karioitahi Beach",NA,NA,South Pacific Ocean,Mixed,2015,2015,2015,2015,1,1,1,1,Yes,Necropsy
Pterodroma cookii,1248,Roman et al. 2019,Cook's Petrel,NA,"New Zealand, North Island, Offshore 30 km northwest of Mt Taranaki",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,1,0,0,No,Necropsy
Pachyptila turtur,1249,Roman et al. 2019,Fairy Prion,NA,"Australia, New South Wales",NA,NA,South Pacific Ocean,Adult,2005,2005,2005,2005,1,1,0,0,No,Necropsy
Pachyptila turtur,1250,Roman et al. 2019,Fairy Prion,NA,"Australia, New South Wales",NA,NA,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Pachyptila turtur,1251,Roman et al. 2019,Fairy Prion,NA,"Australia, New South Wales",NA,NA,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,4,1,0.25,Yes,Necropsy
Pachyptila turtur,1252,Roman et al. 2019,Fairy Prion,NA,"Australia, Queensland, Currumbin",NA,NA,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,20,5,0.25,Yes,Necropsy
Pachyptila turtur,1253,Roman et al. 2019,Fairy Prion,NA,"Australia, Queensland, Fraser Island",NA,NA,South Pacific Ocean,Adult,2000,2000,2000,2000,1,1,1,1,Yes,Necropsy
Pachyptila turtur,1254,Roman et al. 2019,Fairy Prion,NA,"Australia, Queensland, Fraser Island",NA,NA,South Pacific Ocean,Adult,2001,2001,2001,2001,1,1,1,1,Yes,Necropsy
Pachyptila turtur,1255,Roman et al. 2019,Fairy Prion,NA,"Australia, Queensland, Fraser Island",NA,NA,South Pacific Ocean,Adult,2013,2013,2013,2013,1,4,2,0.5,Yes,Necropsy
Pachyptila turtur,1256,Roman et al. 2019,Fairy Prion,NA,"Australia, Queensland, Fraser Island",NA,NA,South Pacific Ocean,Subadult,2008,2008,2008,2008,1,1,0,0,No,Necropsy
Pachyptila turtur,1257,Roman et al. 2019,Fairy Prion,NA,"Australia, Queensland, Fraser Island",NA,NA,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,17,6,0.3529,Yes,Necropsy
Pachyptila turtur,1258,Roman et al. 2019,Fairy Prion,NA,"Australia, Queensland, Fraser Island",NA,NA,South Pacific Ocean,Subadult,2015,2015,2015,2015,1,4,0,0,No,Necropsy
Pachyptila turtur,1259,Roman et al. 2019,Fairy Prion,NA,"Australia, Queensland, Fraser Island",NA,NA,South Pacific Ocean,Subadult,2016,2016,2016,2016,1,3,0,0,No,Necropsy
Pachyptila turtur,1260,Roman et al. 2019,Fairy Prion,NA,"Australia, Queensland, Gold Coast",NA,NA,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,1,1,1,Yes,Necropsy
Pachyptila turtur,1261,Roman et al. 2019,Fairy Prion,NA,"Australia, Queensland, North Stradbroke Island",NA,NA,South Pacific Ocean,Subadult,2008,2008,2008,2008,1,1,1,1,Yes,Necropsy
Pachyptila turtur,1262,Roman et al. 2019,Fairy Prion,NA,"Australia, South Australia",NA,NA,Indian Ocean,Adult,2013,2013,2013,2013,1,2,0,0,No,Necropsy
Pachyptila turtur,1263,Roman et al. 2019,Fairy Prion,NA,"Australia, South Australia",NA,NA,Indian Ocean,Adult,2016,2016,2016,2016,1,1,1,1,Yes,Necropsy
Pachyptila turtur,1264,Roman et al. 2019,Fairy Prion,NA,"Australia, Tasmania",NA,NA,South Pacific Ocean,Subadult,2016,2016,2016,2016,1,4,0,0,No,Necropsy
Pachyptila turtur,1265,Roman et al. 2019,Fairy Prion,NA,"Australia, Tasmania",NA,NA,South Pacific Ocean,Subadult,2017,2017,2017,2017,1,18,11,0.6111,Yes,Necropsy
Pachyptila turtur,1266,Roman et al. 2019,Fairy Prion,NA,"New Zealand, North Island, Aukland",NA,NA,South Pacific Ocean,Subadult,2017,2017,2017,2017,1,1,0,0,No,Necropsy
Pachyptila turtur,1267,Roman et al. 2019,Fairy Prion,NA,"New Zealand, North Island, Karioitahi Beach",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,45,8,0.1778,Yes,Necropsy
Pachyptila turtur,1268,Roman et al. 2019,Fairy Prion,NA,"New Zealand, North Island, Karioitahi Beach",NA,NA,South Pacific Ocean,Subadult,2016,2016,2016,2016,1,51,13,0.2549,Yes,Necropsy
Pachyptila turtur,1269,Roman et al. 2019,Fairy Prion,NA,"New Zealand, North Island, Manu Bay",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,11,2,0.1818,Yes,Necropsy
Pachyptila turtur,1270,Roman et al. 2019,Fairy Prion,NA,"New Zealand, North Island, Manu Bay",NA,NA,South Pacific Ocean,Mixed,2016,2016,2016,2016,1,4,0,0,No,Necropsy
Pachyptila turtur,1271,Roman et al. 2019,Fairy Prion,NA,"New Zealand, North Island, Manu Bay",NA,NA,South Pacific Ocean,Subadult,2016,2016,2016,2016,1,5,0,0,No,Necropsy
Pachyptila turtur,1272,Roman et al. 2019,Fairy Prion,NA,"New Zealand, North Island, Wellington",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,2,0,0,No,Necropsy
Pachyptila turtur,1273,Roman et al. 2019,Fairy Prion,NA,"New Zealand, North Island, Wellington",NA,NA,South Pacific Ocean,Mixed,2016,2016,2016,2016,1,1,0,0,No,Necropsy
Pachyptila turtur,1274,Roman et al. 2019,Fairy Prion,NA,"New Zealand, North Island, Wellington",NA,NA,South Pacific Ocean,Subadult,2016,2016,2016,2016,1,1,0,0,No,Necropsy
Pachyptila turtur,1275,Roman et al. 2019,Fairy Prion,NA,"New Zealand, South Island, Oreti Beach",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,1,1,1,Yes,Necropsy
Pachyptila turtur,1276,Roman et al. 2019,Fairy Prion,NA,"New Zealand, South Island, Oreti Beach",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,2,1,0.5,Yes,Necropsy
Pachyptila turtur,1277,Roman et al. 2019,Fairy Prion,NA,"New Zealand, South Island, Oreti Beach",NA,NA,South Pacific Ocean,Subadult,2015,2015,2015,2015,1,2,0,0,No,Necropsy
Pachyptila turtur,1278,Roman et al. 2019,Fairy Prion,NA,"New Zealand, South Island, Oreti Beach",NA,NA,South Pacific Ocean,Subadult,2016,2016,2016,2016,1,3,1,0.3333,Yes,Necropsy
Ardenna carneipes,1279,Roman et al. 2019,Flesh-footed Shearwater,NA,"Australia, Western Australia",NA,NA,Indian Ocean,Adult,2011,2011,2011,2011,1,2,1,0.5,Yes,Necropsy
Ardenna carneipes,1280,Roman et al. 2019,Flesh-footed Shearwater,NA,"Australia, Western Australia",NA,NA,Indian Ocean,Adult,2013,2013,2013,2013,1,5,1,0.2,Yes,Necropsy
Ardenna carneipes,1281,Roman et al. 2019,Flesh-footed Shearwater,NA,"Australia, Western Australia",NA,NA,Indian Ocean,Adult,2014,2014,2014,2014,1,12,2,0.1667,Yes,Necropsy
Ardenna carneipes,1282,Roman et al. 2019,Flesh-footed Shearwater,NA,"Australia, Western Australia",NA,NA,Indian Ocean,Adult,2015,2015,2015,2015,1,3,1,0.3333,Yes,Necropsy
Ardenna carneipes,1283,Roman et al. 2019,Flesh-footed Shearwater,NA,"Australia, Western Australia",NA,NA,Indian Ocean,Adult,2016,2016,2016,2016,1,29,10,0.3448,Yes,Necropsy
Ardenna carneipes,1284,Roman et al. 2019,Flesh-footed Shearwater,NA,"Australia, Western Australia",NA,NA,Indian Ocean,Subadult/Adult,2011,2011,2011,2011,1,5,0,0,No,Necropsy
Ardenna carneipes,1285,Roman et al. 2019,Flesh-footed Shearwater,NA,"Australia, Western Australia",NA,NA,Indian Ocean,Subadult/Adult,2013,2013,2013,2013,1,7,2,0.2857,Yes,Necropsy
Ardenna carneipes,1286,Roman et al. 2019,Flesh-footed Shearwater,NA,"Australia, Western Australia",NA,NA,Indian Ocean,Subadult/Adult,2014,2014,2014,2014,1,25,4,0.16,Yes,Necropsy
Ardenna carneipes,1287,Roman et al. 2019,Flesh-footed Shearwater,NA,"Australia, Western Australia",NA,NA,Indian Ocean,Subadult/Adult,2015,2015,2015,2015,1,24,6,0.25,Yes,Necropsy
Ardenna carneipes,1288,Roman et al. 2019,Flesh-footed Shearwater,NA,"Australia, Western Australia",NA,NA,Indian Ocean,Subadult/Adult,2016,2016,2016,2016,1,2,0,0,No,Necropsy
Ardenna carneipes,1289,Roman et al. 2019,Flesh-footed Shearwater,NA,"Australia, Western Australia",NA,NA,Indian Ocean,Mixed,2014,2014,2014,2014,1,3,0,0,No,Necropsy
