Clements2024_Binomial,UniqueID_Plastic.study,Source,Common.name_Plastic.study,Sci.name_Plastic.study,Site,lat,lon,MarineRegion,Age.Class,Date_Text,Date_FirstYR,Date_LastYR,Date_MedianYR,Study.Duration,n,n_plastic,FO,Plastic,Sampling_method
Halobaena caerulea,106,Brown et al. 1986,Blue Petrel,Halobaena caerulea,"Victoria, Australia",NA,NA,Indian Ocean,Mixed,1984,1984,1984,1984,1,NA,NA,NA,Yes,Necropsy
Aphrodroma brevirostris,403,Brown et al. 1986,Kerguelen Petrel,Pterodroma brevirostris,"Victoria, Australia",NA,NA,Indian Ocean,Mixed,1984,1984,1984,1984,1,NA,NA,NA,Yes,Necropsy
Eudyptula minor,476,Harrigan 1991,Little Penguin,Eudyptula minor,"Western Victoria, Australia",NA,NA,Indian Ocean,Mixed,1983-1987,1983,1987,1985,5,124,NA,NA,Yes,Necropsy
Fulmarus glacialis,551,Bayer and Olson 1988,Northern Fulmar,NA,"Oregon, USA",NA,NA,North Pacific Ocean,Mixed,1984,1984,1984,1984,1,NA,3,NA,Yes,Necropsy
Thalassoica antarctica,1158,Roman et al. 2019,Antarctic Petrel,NA,"Australia, South Australia",NA,NA,Indian Ocean,Mixed,2015,2015,2015,2015,1,1,1,1,Yes,Necropsy
Pachyptila desolata,1159,Roman et al. 2019,Antarctic Prion,NA,"Australia, New South Wales",NA,NA,South Pacific Ocean,Adult,1999,1999,1999,1999,1,1,1,1,Yes,Necropsy
Pachyptila desolata,1160,Roman et al. 2019,Antarctic Prion,NA,"Australia, Queensland, Fraser Island",NA,NA,South Pacific Ocean,Adult,2000,2000,2000,2000,1,1,1,1,Yes,Necropsy
Pachyptila desolata,1161,Roman et al. 2019,Antarctic Prion,NA,"Australia, Queensland, Fraser Island",NA,NA,South Pacific Ocean,Adult,2008,2008,2008,2008,1,1,0,0,No,Necropsy
Pachyptila desolata,1162,Roman et al. 2019,Antarctic Prion,NA,"Australia, Queensland, Fraser Island",NA,NA,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,1,1,1,Yes,Necropsy
Pachyptila desolata,1163,Roman et al. 2019,Antarctic Prion,NA,"Australia, Queensland, Fraser Island",NA,NA,South Pacific Ocean,Subadult,2015,2015,2015,2015,1,1,1,1,Yes,Necropsy
Pachyptila desolata,1164,Roman et al. 2019,Antarctic Prion,NA,"New Zealand, North Island, Ahipara Bay",NA,NA,South Pacific Ocean,Subadult,2016,2016,2016,2016,1,1,1,1,Yes,Necropsy
Pachyptila desolata,1165,Roman et al. 2019,Antarctic Prion,NA,"New Zealand, North Island, Aukland",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,1,0,0,No,Necropsy
Pachyptila desolata,1166,Roman et al. 2019,Antarctic Prion,NA,"New Zealand, North Island, Aukland",NA,NA,South Pacific Ocean,Subadult,2016,2016,2016,2016,1,2,2,1,Yes,Necropsy
Pachyptila desolata,1167,Roman et al. 2019,Antarctic Prion,NA,"New Zealand, North Island, Karioitahi Beach",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,1,1,1,Yes,Necropsy
Pachyptila desolata,1168,Roman et al. 2019,Antarctic Prion,NA,"New Zealand, North Island, Karioitahi Beach",NA,NA,South Pacific Ocean,Mixed,2016,2016,2016,2016,1,2,0,0,No,Necropsy
