Clements2024_Order,Clements2024_Family,Clements2024_Common_name,Clements2024_Binomial,Clements2024_Genus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Zino's Petrel,Pterodroma madeira,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Fea's Petrel,Pterodroma feae,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Soft-plumaged Petrel,Pterodroma mollis,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Barau's Petrel,Pterodroma baraui,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),White-headed Petrel,Pterodroma lessonii,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Mottled Petrel,Pterodroma inexpectata,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Bermuda Petrel,Pterodroma cahow,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Black-capped Petrel,Pterodroma hasitata,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Jamaican Petrel,Pterodroma caribbaea,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Juan Fernandez Petrel,Pterodroma externa,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Atlantic Petrel,Pterodroma incerta,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Galapagos Petrel,Pterodroma phaeopygia,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Hawaiian Petrel,Pterodroma sandwichensis,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),White-necked Petrel,Pterodroma cervicalis,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Bonin Petrel,Pterodroma hypoleuca,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Black-winged Petrel,Pterodroma nigripennis,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Chatham Islands Petrel,Pterodroma axillaris,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Cook's Petrel,Pterodroma cookii,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Masatierra Petrel,Pterodroma defilippiana,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Gould's Petrel,Pterodroma leucoptera,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Collared Petrel,Pterodroma brevipes,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Stejneger's Petrel,Pterodroma longirostris,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Pycroft's Petrel,Pterodroma pycrofti,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Phoenix Petrel,Pterodroma alba,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Vanuatu Petrel,Pterodroma occulta,Pterodroma
Procellariiformes,Procellariidae (Shearwaters and Petrels),Blue Petrel,Halobaena caerulea,Halobaena
Procellariiformes,Procellariidae (Shearwaters and Petrels),Fairy Prion,Pachyptila turtur,Pachyptila
Procellariiformes,Procellariidae (Shearwaters and Petrels),Broad-billed Prion,Pachyptila vittata,Pachyptila
Procellariiformes,Procellariidae (Shearwaters and Petrels),Salvin's Prion,Pachyptila salvini,Pachyptila
Procellariiformes,Procellariidae (Shearwaters and Petrels),MacGillivray's Prion,Pachyptila macgillivrayi,Pachyptila
Procellariiformes,Procellariidae (Shearwaters and Petrels),Antarctic Prion,Pachyptila desolata,Pachyptila
Procellariiformes,Procellariidae (Shearwaters and Petrels),Slender-billed Prion,Pachyptila belcheri,Pachyptila
Procellariiformes,Procellariidae (Shearwaters and Petrels),Fulmar Prion,Pachyptila crassirostris,Pachyptila
Procellariiformes,Procellariidae (Shearwaters and Petrels),Bulwer's Petrel,Bulweria bulwerii,Bulweria
Procellariiformes,Procellariidae (Shearwaters and Petrels),Jouanin's Petrel,Bulweria fallax,Bulweria
Procellariiformes,Procellariidae (Shearwaters and Petrels),Fiji Petrel,Pseudobulweria macgillivrayi,Pseudobulweria
Procellariiformes,Procellariidae (Shearwaters and Petrels),Mascarene Petrel,Pseudobulweria aterrima,Pseudobulweria
Procellariiformes,Procellariidae (Shearwaters and Petrels),Tahiti Petrel,Pseudobulweria rostrata,Pseudobulweria
Procellariiformes,Procellariidae (Shearwaters and Petrels),Beck's Petrel,Pseudobulweria becki,Pseudobulweria
Procellariiformes,Procellariidae (Shearwaters and Petrels),Gray Petrel,Procellaria cinerea,Procellaria
Procellariiformes,Procellariidae (Shearwaters and Petrels),White-chinned Petrel,Procellaria aequinoctialis,Procellaria
Procellariiformes,Procellariidae (Shearwaters and Petrels),Spectacled Petrel,Procellaria conspicillata,Procellaria
Procellariiformes,Procellariidae (Shearwaters and Petrels),Parkinson's Petrel,Procellaria parkinsoni,Procellaria
Procellariiformes,Procellariidae (Shearwaters and Petrels),Westland Petrel,Procellaria westlandica,Procellaria
Procellariiformes,Procellariidae (Shearwaters and Petrels),Streaked Shearwater,Calonectris leucomelas,Calonectris
Procellariiformes,Procellariidae (Shearwaters and Petrels),Cory's Shearwater,Calonectris borealis,Calonectris
Procellariiformes,Procellariidae (Shearwaters and Petrels),Scopoli's Shearwater,Calonectris diomedea,Calonectris
Procellariiformes,Procellariidae (Shearwaters and Petrels),Cape Verde Shearwater,Calonectris edwardsii,Calonectris
Procellariiformes,Procellariidae (Shearwaters and Petrels),Pink-footed Shearwater,Ardenna creatopus,Ardenna
Procellariiformes,Procellariidae (Shearwaters and Petrels),Flesh-footed Shearwater,Ardenna carneipes,Ardenna
Procellariiformes,Procellariidae (Shearwaters and Petrels),Great Shearwater,Ardenna gravis,Ardenna
Procellariiformes,Procellariidae (Shearwaters and Petrels),Wedge-tailed Shearwater,Ardenna pacifica,Ardenna
Procellariiformes,Procellariidae (Shearwaters and Petrels),Buller's Shearwater,Ardenna bulleri,Ardenna
Procellariiformes,Procellariidae (Shearwaters and Petrels),Sooty Shearwater,Ardenna grisea,Ardenna
Procellariiformes,Procellariidae (Shearwaters and Petrels),Short-tailed Shearwater,Ardenna tenuirostris,Ardenna
Procellariiformes,Procellariidae (Shearwaters and Petrels),Christmas Shearwater,Puffinus nativitatis,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Galapagos Shearwater,Puffinus subalaris,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Manx Shearwater,Puffinus puffinus,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Yelkouan Shearwater,Puffinus yelkouan,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Balearic Shearwater,Puffinus mauretanicus,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Hutton's Shearwater,Puffinus huttoni,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Bannerman's Shearwater,Puffinus bannermani,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Townsend's Shearwater,Puffinus auricularis,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Newell's Shearwater,Puffinus newelli,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Rapa Shearwater,Puffinus myrtae,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Bryan's Shearwater,Puffinus bryani,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Black-vented Shearwater,Puffinus opisthomelas,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Fluttering Shearwater,Puffinus gavia,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Little Shearwater,Puffinus assimilis,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Subantarctic Shearwater,Puffinus elegans,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Barolo Shearwater,Puffinus baroli,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Boyd's Shearwater,Puffinus boydi,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Sargasso Shearwater,Puffinus lherminieri,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Tropical Shearwater,Puffinus bailloni,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Persian Shearwater,Puffinus persicus,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Heinroth's Shearwater,Puffinus heinrothi,Puffinus
Procellariiformes,Procellariidae (Shearwaters and Petrels),Peruvian Diving-Petrel,Pelecanoides garnotii,Pelecanoides
Procellariiformes,Procellariidae (Shearwaters and Petrels),Common Diving-Petrel,Pelecanoides urinatrix,Pelecanoides
Procellariiformes,Procellariidae (Shearwaters and Petrels),South Georgia Diving-Petrel,Pelecanoides georgicus,Pelecanoides
Procellariiformes,Procellariidae (Shearwaters and Petrels),Magellanic Diving-Petrel,Pelecanoides magellani,Pelecanoides
Suliformes,Fregatidae (Frigatebirds),Ascension Frigatebird,Fregata aquila,Fregata
Suliformes,Fregatidae (Frigatebirds),Magnificent Frigatebird,Fregata magnificens,Fregata
Suliformes,Fregatidae (Frigatebirds),Lesser Frigatebird,Fregata ariel,Fregata
Suliformes,Fregatidae (Frigatebirds),Great Frigatebird,Fregata minor,Fregata
Suliformes,Fregatidae (Frigatebirds),Christmas Island Frigatebird,Fregata andrewsi,Fregata
Suliformes,Sulidae (Boobies and Gannets),Abbott's Booby,Papasula abbotti,Papasula
Suliformes,Sulidae (Boobies and Gannets),Northern Gannet,Morus bassanus,Morus
Suliformes,Sulidae (Boobies and Gannets),Cape Gannet,Morus capensis,Morus
Suliformes,Sulidae (Boobies and Gannets),Australasian Gannet,Morus serrator,Morus
Suliformes,Sulidae (Boobies and Gannets),Red-footed Booby,Sula sula,Sula
Suliformes,Sulidae (Boobies and Gannets),Brown Booby,Sula leucogaster,Sula
Suliformes,Sulidae (Boobies and Gannets),Cocos Booby,Sula brewsteri,Sula
Suliformes,Sulidae (Boobies and Gannets),Masked Booby,Sula dactylatra,Sula
Suliformes,Sulidae (Boobies and Gannets),Nazca Booby,Sula granti,Sula
Suliformes,Sulidae (Boobies and Gannets),Blue-footed Booby,Sula nebouxii,Sula
Suliformes,Sulidae (Boobies and Gannets),Peruvian Booby,Sula variegata,Sula
Suliformes,Phalacrocoracidae (Cormorants and Shags),Little Pied Cormorant,Microcarbo melanoleucos,Microcarbo
Suliformes,Phalacrocoracidae (Cormorants and Shags),Reed Cormorant,Microcarbo africanus,Microcarbo
Suliformes,Phalacrocoracidae (Cormorants and Shags),Crowned Cormorant,Microcarbo coronatus,Microcarbo
Suliformes,Phalacrocoracidae (Cormorants and Shags),Little Cormorant,Microcarbo niger,Microcarbo
Suliformes,Phalacrocoracidae (Cormorants and Shags),Pygmy Cormorant,Microcarbo pygmaeus,Microcarbo
Suliformes,Phalacrocoracidae (Cormorants and Shags),Red-legged Cormorant,Poikilocarbo gaimardi,Poikilocarbo
Suliformes,Phalacrocoracidae (Cormorants and Shags),Brandt's Cormorant,Urile penicillatus,Urile
Suliformes,Phalacrocoracidae (Cormorants and Shags),Red-faced Cormorant,Urile urile,Urile
Suliformes,Phalacrocoracidae (Cormorants and Shags),Pelagic Cormorant,Urile pelagicus,Urile
Suliformes,Phalacrocoracidae (Cormorants and Shags),Bank Cormorant,Phalacrocorax neglectus,Phalacrocorax
Suliformes,Phalacrocoracidae (Cormorants and Shags),Cape Cormorant,Phalacrocorax capensis,Phalacrocorax
Suliformes,Phalacrocoracidae (Cormorants and Shags),Great Cormorant,Phalacrocorax carbo,Phalacrocorax
Suliformes,Phalacrocoracidae (Cormorants and Shags),Japanese Cormorant,Phalacrocorax capillatus,Phalacrocorax
Suliformes,Phalacrocoracidae (Cormorants and Shags),Socotra Cormorant,Phalacrocorax nigrogularis,Phalacrocorax
Suliformes,Phalacrocoracidae (Cormorants and Shags),Spotted Shag,Phalacrocorax punctatus,Phalacrocorax
Suliformes,Phalacrocoracidae (Cormorants and Shags),Pitt Island Shag,Phalacrocorax featherstoni,Phalacrocorax
Suliformes,Phalacrocoracidae (Cormorants and Shags),Indian Cormorant,Phalacrocorax fuscicollis,Phalacrocorax
Suliformes,Phalacrocoracidae (Cormorants and Shags),Little Black Cormorant,Phalacrocorax sulcirostris,Phalacrocorax
Suliformes,Phalacrocoracidae (Cormorants and Shags),Pied Cormorant,Phalacrocorax varius,Phalacrocorax
Suliformes,Phalacrocoracidae (Cormorants and Shags),Black-faced Cormorant,Phalacrocorax fuscescens,Phalacrocorax
Suliformes,Phalacrocoracidae (Cormorants and Shags),European Shag,Gulosus aristotelis,Gulosus
Suliformes,Phalacrocoracidae (Cormorants and Shags),Flightless Cormorant,Nannopterum harrisi,Nannopterum
Suliformes,Phalacrocoracidae (Cormorants and Shags),Double-crested Cormorant,Nannopterum auritum,Nannopterum
Suliformes,Phalacrocoracidae (Cormorants and Shags),Neotropic Cormorant,Nannopterum brasilianum,Nannopterum
Suliformes,Phalacrocoracidae (Cormorants and Shags),Magellanic Cormorant,Leucocarbo magellanicus,Leucocarbo
Suliformes,Phalacrocoracidae (Cormorants and Shags),Guanay Cormorant,Leucocarbo bougainvilliorum,Leucocarbo
Suliformes,Phalacrocoracidae (Cormorants and Shags),Bounty Islands Shag,Leucocarbo ranfurlyi,Leucocarbo
Suliformes,Phalacrocoracidae (Cormorants and Shags),New Zealand King Shag,Leucocarbo carunculatus,Leucocarbo
Suliformes,Phalacrocoracidae (Cormorants and Shags),Stewart Island Shag,Leucocarbo chalconotus,Leucocarbo
Suliformes,Phalacrocoracidae (Cormorants and Shags),Chatham Islands Shag,Leucocarbo onslowi,Leucocarbo
Suliformes,Phalacrocoracidae (Cormorants and Shags),Auckland Islands Shag,Leucocarbo colensoi,Leucocarbo
Suliformes,Phalacrocoracidae (Cormorants and Shags),Campbell Islands Shag,Leucocarbo campbelli,Leucocarbo
Suliformes,Phalacrocoracidae (Cormorants and Shags),South Georgia Shag,Leucocarbo georgianus,Leucocarbo
Suliformes,Phalacrocoracidae (Cormorants and Shags),Imperial Cormorant,Leucocarbo atriceps,Leucocarbo
Suliformes,Phalacrocoracidae (Cormorants and Shags),Antarctic Shag,Leucocarbo bransfieldensis,Leucocarbo
Suliformes,Phalacrocoracidae (Cormorants and Shags),Crozet Shag,Leucocarbo melanogenis,Leucocarbo
Suliformes,Phalacrocoracidae (Cormorants and Shags),Kerguelen Shag,Leucocarbo verrucosus,Leucocarbo
Suliformes,Phalacrocoracidae (Cormorants and Shags),Heard Island Shag,Leucocarbo nivalis,Leucocarbo
Suliformes,Phalacrocoracidae (Cormorants and Shags),Macquarie Shag,Leucocarbo purpurascens,Leucocarbo
Pelecaniformes,Pelecanidae (Pelicans),American White Pelican,Pelecanus erythrorhynchos,Pelecanus
Pelecaniformes,Pelecanidae (Pelicans),Brown Pelican,Pelecanus occidentalis,Pelecanus
Pelecaniformes,Pelecanidae (Pelicans),Peruvian Pelican,Pelecanus thagus,Pelecanus
Pelecaniformes,Pelecanidae (Pelicans),Great White Pelican,Pelecanus onocrotalus,Pelecanus
Pelecaniformes,Pelecanidae (Pelicans),Australian Pelican,Pelecanus conspicillatus,Pelecanus
Pelecaniformes,Pelecanidae (Pelicans),Pink-backed Pelican,Pelecanus rufescens,Pelecanus
Pelecaniformes,Pelecanidae (Pelicans),Spot-billed Pelican,Pelecanus philippensis,Pelecanus
Pelecaniformes,Pelecanidae (Pelicans),Dalmatian Pelican,Pelecanus crispus,Pelecanus
