Clements2024_Order,Clements2024_Family,Clements2024_Common_name,Clements2024_Binomial,Clements2024_Genus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Little Gull,Hydrocoloeus minutus,Hydrocoloeus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Ross's Gull,Rhodostethia rosea,Rhodostethia
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Black-legged Kittiwake,Rissa tridactyla,Rissa
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Red-legged Kittiwake,Rissa brevirostris,Rissa
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Ivory Gull,Pagophila eburnea,Pagophila
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sabine's Gull,Xema sabini,Xema
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Saunders's Gull,Saundersilarus saundersi,Saundersilarus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Slender-billed Gull,Chroicocephalus genei,Chroicocephalus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Bonaparte's Gull,Chroicocephalus philadelphia,Chroicocephalus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Silver Gull,Chroicocephalus novaehollandiae,Chroicocephalus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Black-billed Gull,Chroicocephalus bulleri,Chroicocephalus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Andean Gull,Chroicocephalus serranus,Chroicocephalus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Brown-hooded Gull,Chroicocephalus maculipennis,Chroicocephalus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Black-headed Gull,Chroicocephalus ridibundus,Chroicocephalus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Brown-headed Gull,Chroicocephalus brunnicephalus,Chroicocephalus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Gray-hooded Gull,Chroicocephalus cirrocephalus,Chroicocephalus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Hartlaub's Gull,Chroicocephalus hartlaubii,Chroicocephalus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Gray Gull,Leucophaeus modestus,Leucophaeus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Dolphin Gull,Leucophaeus scoresbii,Leucophaeus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Laughing Gull,Leucophaeus atricilla,Leucophaeus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Franklin's Gull,Leucophaeus pipixcan,Leucophaeus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Lava Gull,Leucophaeus fuliginosus,Leucophaeus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Pallas's Gull,Ichthyaetus ichthyaetus,Ichthyaetus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Relict Gull,Ichthyaetus relictus,Ichthyaetus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Audouin's Gull,Ichthyaetus audouinii,Ichthyaetus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Mediterranean Gull,Ichthyaetus melanocephalus,Ichthyaetus
