Clements2024_Binomial,Order,Family,Genus,Common.Name,Feeding.method,Diet,Fish,Cephalopods,Crustaceans,Other.Inverts,Carrion,Anthropogenic.Subsidy,Pelagic.Specialist,Body.Mass.g,AS.Fishery,AS.Refuse,AS.Agriculture
Leucocarbo carunculatus,Suliformes,Phalacrocoracidae,Leucocarbo,New Zealand King Shag,Diving,Fish,Yes,No,Yes,No,No,No,Yes,2577.5,No,No,No
Leucocarbo chalconotus,Suliformes,Phalacrocoracidae,Leucocarbo,Stewart Island Shag,Diving,Fish,Yes,Yes,Yes,Yes,No,No,Yes,2265.5,No,No,No
Leucocarbo colensoi,Suliformes,Phalacrocoracidae,Leucocarbo,Auckland Islands Shag,Diving,Cephalopods,Yes,Yes,Yes,No,No,No,Yes,2000,No,No,No
Leucocarbo magellanicus,Suliformes,Phalacrocoracidae,Leucocarbo,Magellanic Cormorant,Diving,Other.Inverts,Yes,Yes,Yes,Yes,No,No,Yes,1485,No,No,No
Leucocarbo onslowi,Suliformes,Phalacrocoracidae,Leucocarbo,Chatham Islands Shag,Diving,Fish,Yes,No,No,No,No,No,Yes,2095,No,No,No
Leucocarbo ranfurlyi,Suliformes,Phalacrocoracidae,Leucocarbo,Bounty Islands Shag,Diving,Fish,Yes,Yes,Yes,Yes,No,No,Yes,2500,No,No,No
Leucocarbo verrucosus,Suliformes,Phalacrocoracidae,Leucocarbo,Kerguelen Shag,Diving,Fish,Yes,No,No,Yes,No,Yes,Yes,2630,Yes,Yes,No
Lophodytes cucullatus,Anseriformes,Anatidae,Lophodytes,Hooded Merganser,Diving,Fish,Yes,No,Yes,Yes,No,No,No,NA,No,No,No
Macronectes giganteus,Procellariiformes,Procellariidae,Macronectes,Southern Giant-Petrel,Scavenging,Carrion.NonFishVertebrates,Yes,Yes,Yes,No,Yes,Yes,Yes,3697.5,Yes,No,No
Macronectes halli,Procellariiformes,Procellariidae,Macronectes,Northern Giant-Petrel,Scavenging,Carrion.NonFishVertebrates,No,Yes,Yes,No,Yes,No,Yes,4249,No,No,No
Megadyptes antipodes,Sphenisciformes,Spheniscidae,Megadyptes,Yellow-eyed Penguin,Diving,Fish,Yes,Yes,Yes,No,No,No,Yes,5330,No,No,No
Melanitta americana,Anseriformes,Anatidae,Melanitta,Black Scoter,Bottom.Feeding,Other.Inverts,No,No,Yes,Yes,No,No,No,1052,No,No,No
Melanitta deglandi,Anseriformes,Anatidae,Melanitta,White-winged Scoter,Bottom.Feeding,Other.Inverts,Yes,No,Yes,Yes,No,No,No,1757,No,No,No
Melanitta fusca,Anseriformes,Anatidae,Melanitta,Velvet Scoter,Bottom.Feeding,Crustaceans,Yes,No,Yes,Yes,No,No,No,1578,No,No,No
Melanitta nigra,Anseriformes,Anatidae,Melanitta,Common Scoter,Bottom.Feeding,Other.Inverts,No,No,Yes,Yes,No,No,No,1077,No,No,No
Melanitta perspicillata,Anseriformes,Anatidae,Melanitta,Surf Scoter,Bottom.Feeding,Other.Inverts,Yes,No,Yes,Yes,No,No,No,1097.5,No,No,No
Melanitta stejnegeri,Anseriformes,Anatidae,Melanitta,Stejneger's Scoter,Bottom.Feeding,Other.Inverts,No,No,Yes,Yes,No,No,No,1824,No,No,No
Mergellus albellus,Anseriformes,Anatidae,Mergellus,Smew,Diving,Other.Inverts,Yes,No,Yes,Yes,No,No,No,NA,No,No,No
Mergus merganser,Anseriformes,Anatidae,Mergus,Common Merganser,Diving,Fish,Yes,No,Yes,Yes,No,Yes,No,NA,Yes,No,No
Mergus octosetaceus,Anseriformes,Anatidae,Mergus,Brazilian Merganser,Diving,Fish,Yes,No,Yes,Yes,No,No,No,NA,No,No,No
Mergus serrator,Anseriformes,Anatidae,Mergus,Red-breasted Merganser,Diving,Fish,Yes,No,Yes,Yes,No,No,No,NA,No,No,No
Mergus squamatus,Anseriformes,Anatidae,Mergus,Scaly-sided Merganser,Diving,Fish,Yes,No,Yes,Yes,No,No,No,NA,No,No,No
Microcarbo africanus,Suliformes,Phalacrocoracidae,Microcarbo,Reed Cormorant,Diving,Fish,Yes,No,Yes,No,Yes,No,No,545,No,No,No
Microcarbo coronatus,Suliformes,Phalacrocoracidae,Microcarbo,Crowned Cormorant,Diving,Fish,Yes,Yes,Yes,Yes,No,No,No,763,No,No,No
Microcarbo melanoleucos,Suliformes,Phalacrocoracidae,Microcarbo,Little Pied Cormorant,Diving,Fish,Yes,No,Yes,Yes,Yes,No,No,693.5,No,No,No
Microcarbo niger,Suliformes,Phalacrocoracidae,Microcarbo,Little Cormorant,Diving,Fish,Yes,No,No,No,Yes,No,No,427,No,No,No
Microcarbo pygmaeus,Suliformes,Phalacrocoracidae,Microcarbo,Pygmy Cormorant,Diving,Fish,Yes,No,No,No,No,No,No,679,No,No,No
Morus bassanus,Suliformes,Sulidae,Morus,Northern Gannet,Plunging,Fish,Yes,No,No,No,No,Yes,Yes,2999.5,Yes,No,No
Morus capensis,Suliformes,Sulidae,Morus,Cape Gannet,Plunging,Fish,Yes,No,No,No,No,Yes,Yes,2643.5,Yes,No,No
Morus serrator,Suliformes,Sulidae,Morus,Australasian Gannet,Plunging,Fish,Yes,Yes,No,No,No,Yes,Yes,2350,Yes,No,No
Nannopterum auritum,Suliformes,Phalacrocoracidae,Nannopterum,Double-crested Cormorant,Diving,Fish,Yes,No,Yes,Yes,No,No,No,1674,No,No,No
Nannopterum brasilianum,Suliformes,Phalacrocoracidae,Nannopterum,Neotropic Cormorant,Diving,Fish,Yes,No,Yes,Yes,Yes,No,No,1210,No,No,No
Nannopterum harrisi,Suliformes,Phalacrocoracidae,Nannopterum,Flightless Cormorant,Diving,Fish,Yes,Yes,No,No,No,No,Yes,3050,No,No,No
Nesofregetta fuliginosa,Procellariiformes,Oceanitidae,Nesofregetta,Polynesian Storm-Petrel,Surface.Seizing,Crustaceans,Yes,Yes,Yes,Yes,No,No,Yes,70,No,No,No
Oceanites gracilis,Procellariiformes,Oceanitidae,Oceanites,Elliot's Storm-Petrel,Surface.Seizing,Fish,Yes,No,Yes,No,No,Yes,Yes,16.7,Yes,No,No
Oceanites oceanicus,Procellariiformes,Oceanitidae,Oceanites,Wilson's Storm-Petrel,Surface.Seizing,Crustaceans,Yes,Yes,Yes,Yes,Yes,Yes,Yes,32,Yes,No,No
Oceanites pincoyae,Procellariiformes,Oceanitidae,Oceanites,Pincoya Storm-Petrel,Surface.Seizing,NA,NA,NA,NA,NA,NA,Yes,Yes,26,No,No,No
Onychoprion aleuticus,Charadriiformes,Laridae,Onychoprion,Aleutian Tern,Surface.Seizing,Fish,Yes,No,No,No,No,No,Yes,120,No,No,No
Onychoprion anaethetus,Charadriiformes,Laridae,Onychoprion,Bridled Tern,Plunging,Fish,Yes,Yes,Yes,Yes,No,Yes,Yes,127,Yes,No,No
Onychoprion fuscatus,Charadriiformes,Laridae,Onychoprion,Sooty Tern,Surface.Seizing,Cephalopods,Yes,Yes,Yes,Yes,No,Yes,Yes,175,Yes,No,No
Onychoprion lunatus,Charadriiformes,Laridae,Onychoprion,Gray-backed Tern,Plunging,Fish,Yes,Yes,Yes,No,Yes,No,Yes,146,No,No,No
Pachyptila belcheri,Procellariiformes,Procellariidae,Pachyptila,Slender-billed Prion,Skimming,Crustaceans,Yes,Yes,Yes,Yes,No,No,Yes,145,No,No,No
Pachyptila crassirostris,Procellariiformes,Procellariidae,Pachyptila,Fulmar Prion,Skimming,Crustaceans,Yes,Yes,Yes,Yes,No,No,Yes,142,No,No,No
Pachyptila desolata,Procellariiformes,Procellariidae,Pachyptila,Antarctic Prion,Skimming,Crustaceans,Yes,Yes,Yes,No,No,No,Yes,147,No,No,No
Pachyptila macgillivrayi,Procellariiformes,Procellariidae,Pachyptila,MacGillivray's Prion,Skimming,NA,NA,NA,NA,NA,NA,NA,Yes,159,NA,NA,NA
Pachyptila salvini,Procellariiformes,Procellariidae,Pachyptila,Salvin's Prion,Skimming,Crustaceans,Yes,Yes,Yes,Yes,No,No,Yes,159,No,No,No
Pachyptila turtur,Procellariiformes,Procellariidae,Pachyptila,Fairy Prion,Skimming,Crustaceans,Yes,Yes,Yes,Yes,No,No,Yes,137,No,No,No
Pachyptila vittata,Procellariiformes,Procellariidae,Pachyptila,Broad-billed Prion,Skimming,Crustaceans,Yes,Yes,Yes,No,No,No,Yes,196,No,No,No
Pagodroma nivea,Procellariiformes,Procellariidae,Pagodroma,Snow Petrel,Surface.Seizing,Crustaceans,Yes,Yes,Yes,Yes,Yes,No,Yes,268,No,No,No
Pagophila eburnea,Charadriiformes,Laridae,Pagophila,Ivory Gull,Surface.Seizing,Fish,Yes,No,Yes,Yes,Yes,Yes,Yes,550,Yes,Yes,No
Papasula abbotti,Suliformes,Sulidae,Papasula,Abbott's Booby,Plunging,Fish,Yes,Yes,No,No,No,No,Yes,1551.5,No,No,No
Pelagodroma marina,Procellariiformes,Oceanitidae,Pelagodroma,White-faced Storm-Petrel,Surface.Seizing,Crustaceans,Yes,Yes,Yes,Yes,No,Yes,Yes,47.2,Yes,No,No
Pelecanoides garnotii,Procellariiformes,Procellariidae,Pelecanoides,Peruvian Diving-Petrel,Diving,Crustaceans,Yes,Yes,Yes,No,No,No,Yes,207,No,No,No
Pelecanoides georgicus,Procellariiformes,Procellariidae,Pelecanoides,South Georgia Diving-Petrel,Diving,Crustaceans,Yes,Yes,Yes,Yes,No,No,Yes,121,No,No,No
Pelecanoides magellani,Procellariiformes,Procellariidae,Pelecanoides,Magellanic Diving-Petrel,Diving,Crustaceans,Yes,No,Yes,No,No,No,Yes,134,No,No,No
Pelecanoides urinatrix,Procellariiformes,Procellariidae,Pelecanoides,Common Diving-Petrel,Diving,Crustaceans,No,Yes,Yes,Yes,No,No,Yes,141,No,No,No
Pelecanus conspicillatus,Pelecaniformes,Pelecanidae,Pelecanus,Australian Pelican,Plunging,Fish,Yes,No,Yes,Yes,Yes,No,No,5400,No,No,No
Pelecanus crispus,Pelecaniformes,Pelecanidae,Pelecanus,Dalmatian Pelican,Surface.Seizing,Fish,Yes,No,No,No,No,No,No,9550,No,No,No
Pelecanus erythrorhynchos,Pelecaniformes,Pelecanidae,Pelecanus,American White Pelican,Surface.Seizing,Fish,Yes,No,No,Yes,Yes,No,No,5649.5,No,No,No
Pelecanus occidentalis,Pelecaniformes,Pelecanidae,Pelecanus,Brown Pelican,Plunging,Fish,Yes,No,No,No,No,No,No,3438,No,No,No
Pelecanus onocrotalus,Pelecaniformes,Pelecanidae,Pelecanus,Great White Pelican,Surface.Seizing,Fish,Yes,No,No,No,No,No,No,9520,No,No,No
Pelecanus philippensis,Pelecaniformes,Pelecanidae,Pelecanus,Spot-billed Pelican,Surface.Seizing,Fish,Yes,No,No,No,No,No,No,5025,No,No,No
Pelecanus rufescens,Pelecaniformes,Pelecanidae,Pelecanus,Pink-backed Pelican,Surface.Seizing,Fish,Yes,No,No,No,No,No,No,5445,No,No,No
Pelecanus thagus,Pelecaniformes,Pelecanidae,Pelecanus,Peruvian Pelican,Surface.Seizing,Fish,Yes,No,No,No,No,No,No,6000,No,No,No
Phaethon aethereus,Phaethontiformes,Phaethontidae,Phaethon,Red-billed Tropicbird,Plunging,Fish,Yes,Yes,Yes,No,No,No,Yes,750,No,No,No
Phaethon lepturus,Phaethontiformes,Phaethontidae,Phaethon,White-tailed Tropicbird,Plunging,Fish,Yes,Yes,Yes,No,No,No,Yes,334,No,No,No
Phaethon rubricauda,Phaethontiformes,Phaethontidae,Phaethon,Red-tailed Tropicbird,Plunging,Fish,Yes,Yes,Yes,No,No,No,Yes,659,No,No,No
Phaetusa simplex,Charadriiformes,Laridae,Phaetusa,Large-billed Tern,Surface.Seizing,Fish,Yes,No,No,Yes,No,No,No,235,No,No,No
Phalacrocorax capensis,Suliformes,Phalacrocoracidae,Phalacrocorax,Cape Cormorant,Diving,Fish,Yes,Yes,Yes,No,No,No,Yes,1217,No,No,No
Phalacrocorax capillatus,Suliformes,Phalacrocoracidae,Phalacrocorax,Japanese Cormorant,Diving,Fish,Yes,No,No,No,No,No,Yes,2820,No,No,No
Phalacrocorax carbo,Suliformes,Phalacrocoracidae,Phalacrocorax,Great Cormorant,Diving,Fish,Yes,Yes,Yes,No,Yes,No,No,2302.414185,No,No,No
Phalacrocorax featherstoni,Suliformes,Phalacrocoracidae,Phalacrocorax,Pitt Island Shag,Diving,Fish,Yes,No,Yes,No,No,No,Yes,1043.5,No,No,No
Phalacrocorax fuscescens,Suliformes,Phalacrocoracidae,Phalacrocorax,Black-faced Cormorant,Diving,Fish,Yes,Yes,No,No,No,No,Yes,1515,No,No,No
Phalacrocorax fuscicollis,Suliformes,Phalacrocoracidae,Phalacrocorax,Indian Cormorant,Diving,Fish,Yes,No,No,No,No,No,No,706,No,No,No
Phalacrocorax neglectus,Suliformes,Phalacrocoracidae,Phalacrocorax,Bank Cormorant,Diving,Fish,Yes,Yes,Yes,No,No,No,Yes,1950.5,No,No,No
Phalacrocorax nigrogularis,Suliformes,Phalacrocoracidae,Phalacrocorax,Socotra Cormorant,Diving,Fish,Yes,No,No,No,No,No,Yes,NA,No,No,No
Phalacrocorax punctatus,Suliformes,Phalacrocoracidae,Phalacrocorax,Spotted Shag,Diving,Fish,Yes,No,Yes,Yes,No,No,Yes,1185,No,No,No
Phalacrocorax sulcirostris,Suliformes,Phalacrocoracidae,Phalacrocorax,Little Black Cormorant,Diving,Fish,Yes,No,Yes,Yes,No,No,No,1000,No,No,No
Phalacrocorax varius,Suliformes,Phalacrocoracidae,Phalacrocorax,Pied Cormorant,Diving,Fish,Yes,Yes,Yes,No,No,No,No,1955.5,No,No,No
Phalaropus fulicarius,Charadriiformes,Scolopacidae,Phalaropus,Red Phalarope,Surface.Seizing,Other.Inverts,No,No,Yes,Yes,No,No,Yes,55.95,No,No,No
Phalaropus lobatus,Charadriiformes,Scolopacidae,Phalaropus,Red-necked Phalarope,Surface.Seizing,Other.Inverts,No,No,Yes,Yes,No,No,No,36.75,No,No,No
Phoebastria albatrus,Procellariiformes,Diomedeidae,Phoebastria,Short-tailed Albatross,Surface.Seizing,Cephalopods,Yes,Yes,No,No,No,Yes,Yes,4411,Yes,No,No
Phoebastria immutabilis,Procellariiformes,Diomedeidae,Phoebastria,Laysan Albatross,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,Yes,No,Yes,3150,No,No,No
Phoebastria irrorata,Procellariiformes,Diomedeidae,Phoebastria,Waved Albatross,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,No,Yes,3395,No,No,No
Phoebastria nigripes,Procellariiformes,Diomedeidae,Phoebastria,Black-footed Albatross,Surface.Seizing,Fish,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3195,Yes,No,No
Phoebetria fusca,Procellariiformes,Diomedeidae,Phoebetria,Sooty Albatross,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,Yes,Yes,Yes,2500,Yes,No,No
Phoebetria palpebrata,Procellariiformes,Diomedeidae,Phoebetria,Light-mantled Albatross,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,Yes,Yes,Yes,2950,Yes,No,No
Poikilocarbo gaimardi,Suliformes,Phalacrocoracidae,Poikilocarbo,Red-legged Cormorant,Diving,Fish,Yes,No,No,No,No,No,Yes,1358.5,No,No,No
Polysticta stelleri,Anseriformes,Anatidae,Polysticta,Steller's Eider,Bottom.Feeding,Other.Inverts,Yes,No,Yes,Yes,No,No,No,807.5,No,No,No
Procellaria aequinoctialis,Procellariiformes,Procellariidae,Procellaria,White-chinned Petrel,Surface.Seizing,Fish,Yes,Yes,Yes,No,No,Yes,Yes,1213,Yes,No,No
Procellaria cinerea,Procellariiformes,Procellariidae,Procellaria,Gray Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,Yes,Yes,1060,Yes,No,No
Procellaria conspicillata,Procellariiformes,Procellariidae,Procellaria,Spectacled Petrel,Plunging,Fish,Yes,Yes,Yes,No,No,Yes,Yes,1191,Yes,No,No
Procellaria parkinsoni,Procellariiformes,Procellariidae,Procellaria,Parkinson's Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,Yes,Yes,702.5,Yes,No,No
Procellaria westlandica,Procellariiformes,Procellariidae,Procellaria,Westland Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,Yes,Yes,1000,Yes,No,No
Pseudobulweria aterrima,Procellariiformes,Procellariidae,Pseudobulweria,Mascarene Petrel,Surface.Seizing,Carrion.NonFishVertebrates,No,No,No,No,Yes,No,Yes,222,Yes,No,No
Pseudobulweria becki,Procellariiformes,Procellariidae,Pseudobulweria,Beck's Petrel,Surface.Seizing,Cephalopods,No,Yes,Yes,Yes,Yes,No,Yes,270.375,No,No,No
Pseudobulweria macgillivrayi,Procellariiformes,Procellariidae,Pseudobulweria,Fiji Petrel,Surface.Seizing,NA,NA,NA,NA,NA,NA,NA,Yes,143,NA,NA,NA
Pseudobulweria rostrata,Procellariiformes,Procellariidae,Pseudobulweria,Tahiti Petrel,Surface.Seizing,Cephalopods,No,Yes,Yes,Yes,Yes,No,Yes,409,No,No,No
Pterodroma alba,Procellariiformes,Procellariidae,Pterodroma,Phoenix Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,No,Yes,259,No,No,No
Pterodroma arminjoniana,Procellariiformes,Procellariidae,Pterodroma,Trindade Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,Yes,No,No,Yes,394,No,No,No
Pterodroma atrata,Procellariiformes,Procellariidae,Pterodroma,Henderson Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,No,Yes,300,No,No,No
Pterodroma axillaris,Procellariiformes,Procellariidae,Pterodroma,Chatham Islands Petrel,Surface.Seizing,Cephalopods,Yes,Yes,No,No,No,No,Yes,165,No,No,No
Pterodroma baraui,Procellariiformes,Procellariidae,Pterodroma,Barau's Petrel,Surface.Seizing,Fish,Yes,Yes,Yes,No,No,No,Yes,400,No,No,No
Pterodroma brevipes,Procellariiformes,Procellariidae,Pterodroma,Collared Petrel,Surface.Seizing,Cephalopods,Yes,Yes,No,No,No,No,Yes,136,No,No,No
Pterodroma cahow,Procellariiformes,Procellariidae,Pterodroma,Bermuda Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,No,Yes,246,No,No,No
Pterodroma caribbaea,Procellariiformes,Procellariidae,Pterodroma,Jamaican Petrel,Surface.Seizing,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA
Pterodroma cervicalis,Procellariiformes,Procellariidae,Pterodroma,White-necked Petrel,Surface.Seizing,Cephalopods,Yes,Yes,No,No,No,No,Yes,445,No,No,No
Pterodroma cookii,Procellariiformes,Procellariidae,Pterodroma,Cook's Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,Yes,No,Yes,178.5,No,No,No
Pterodroma defilippiana,Procellariiformes,Procellariidae,Pterodroma,Masatierra Petrel,Surface.Seizing,Cephalopods,Yes,Yes,No,Yes,No,No,Yes,169,No,No,No
Pterodroma externa,Procellariiformes,Procellariidae,Pterodroma,Juan Fernandez Petrel,Surface.Seizing,Cephalopods,Yes,Yes,No,No,No,No,Yes,428,No,No,No
Pterodroma feae,Procellariiformes,Procellariidae,Pterodroma,Fea's Petrel,Surface.Seizing,Cephalopods,Yes,Yes,No,No,No,No,Yes,311,No,No,No
Pterodroma gouldi,Procellariiformes,Procellariidae,Pterodroma,Gray-faced Petrel,NA,Cephalopods,Yes,Yes,Yes,No,No,Yes,Yes,672.5,Yes,No,No
Pterodroma hasitata,Procellariiformes,Procellariidae,Pterodroma,Black-capped Petrel,Surface.Seizing,Cephalopods,Yes,Yes,No,Yes,No,No,Yes,278,No,No,No
Pterodroma heraldica,Procellariiformes,Procellariidae,Pterodroma,Herald Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,Yes,No,No,Yes,266,No,No,No
Pterodroma hypoleuca,Procellariiformes,Procellariidae,Pterodroma,Bonin Petrel,Surface.Seizing,Fish,Yes,Yes,Yes,Yes,No,No,Yes,176,No,No,No
Pterodroma incerta,Procellariiformes,Procellariidae,Pterodroma,Atlantic Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,No,Yes,520,No,No,No
Pterodroma inexpectata,Procellariiformes,Procellariidae,Pterodroma,Mottled Petrel,Plunging,Cephalopods,Yes,Yes,Yes,No,No,No,Yes,316,No,No,No
Pterodroma lessonii,Procellariiformes,Procellariidae,Pterodroma,White-headed Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,No,Yes,695,No,No,No
Pterodroma leucoptera,Procellariiformes,Procellariidae,Pterodroma,Gould's Petrel,Surface.Seizing,Cephalopods,Yes,Yes,No,Yes,No,No,Yes,185,No,No,No
Pterodroma longirostris,Procellariiformes,Procellariidae,Pterodroma,Stejneger's Petrel,Surface.Seizing,Cephalopods,Yes,Yes,No,Yes,No,No,Yes,143,No,No,No
Pterodroma macroptera,Procellariiformes,Procellariidae,Pterodroma,Great-winged Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,No,Yes,532.5,No,No,No
Pterodroma madeira,Procellariiformes,Procellariidae,Pterodroma,Zino's Petrel,Surface.Seizing,Fish,Yes,Yes,Yes,No,No,No,Yes,227.5,No,No,No
Pterodroma magentae,Procellariiformes,Procellariidae,Pterodroma,Magenta Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,No,Yes,465,No,No,No
Pterodroma mollis,Procellariiformes,Procellariidae,Pterodroma,Soft-plumaged Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,No,Yes,312,No,No,No
Pterodroma neglecta,Procellariiformes,Procellariidae,Pterodroma,Kermadec Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,Yes,Yes,501,Yes,No,No
Pterodroma nigripennis,Procellariiformes,Procellariidae,Pterodroma,Black-winged Petrel,Plunging,Crustaceans,No,Yes,Yes,No,No,No,Yes,163,No,No,No
Pterodroma phaeopygia,Procellariiformes,Procellariidae,Pterodroma,Galapagos Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,No,Yes,389,No,No,No
Pterodroma pycrofti,Procellariiformes,Procellariidae,Pterodroma,Pycroft's Petrel,Surface.Seizing,NA,No,Yes,No,No,No,No,Yes,159,No,No,No
Pterodroma sandwichensis,Procellariiformes,Procellariidae,Pterodroma,Hawaiian Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,No,Yes,434,No,No,No
Pterodroma solandri,Procellariiformes,Procellariidae,Pterodroma,Providence Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,Yes,Yes,471,Yes,No,No
Pterodroma ultima,Procellariiformes,Procellariidae,Pterodroma,Murphy's Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,Yes,No,Yes,Yes,360,Yes,No,No
Ptychoramphus aleuticus,Charadriiformes,Alcidae,Ptychoramphus,Cassin's Auklet,Diving,Crustaceans,Yes,No,Yes,Yes,No,No,Yes,184,No,No,No
Puffinus assimilis,Procellariiformes,Procellariidae,Puffinus,Little Shearwater,Plunging,Fish,Yes,Yes,Yes,No,No,No,Yes,226,No,No,No
Puffinus auricularis,Procellariiformes,Procellariidae,Puffinus,Townsend's Shearwater,Plunging,Fish,Yes,Yes,Yes,No,No,No,Yes,324,No,No,No
Puffinus bailloni,Procellariiformes,Procellariidae,Puffinus,Tropical Shearwater,Plunging,Fish,Yes,Yes,Yes,No,No,Yes,Yes,201.5,Yes,No,No
Puffinus bannermani,Procellariiformes,Procellariidae,Puffinus,Bannerman's Shearwater,Plunging,Fish,Yes,Yes,Yes,No,No,NA,Yes,NA,NA,NA,NA
Puffinus bryani,Procellariiformes,Procellariidae,Puffinus,Bryan's Shearwater,Unknown,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA
Puffinus elegans,Procellariiformes,Procellariidae,Puffinus,Subantarctic Shearwater,Plunging,Cephalopods,Yes,Yes,Yes,No,No,No,Yes,234.25,No,No,No
Puffinus gavia,Procellariiformes,Procellariidae,Puffinus,Fluttering Shearwater,Plunging,Fish,Yes,No,Yes,No,No,No,Yes,229,No,No,No
Puffinus heinrothi,Procellariiformes,Procellariidae,Puffinus,Heinroth's Shearwater,Plunging,NA,NA,NA,NA,NA,NA,No,Yes,NA,No,No,No
Puffinus huttoni,Procellariiformes,Procellariidae,Puffinus,Hutton's Shearwater,Plunging,Fish,Yes,No,Yes,No,No,No,Yes,310,No,No,No
Puffinus lherminieri,Procellariiformes,Procellariidae,Puffinus,Sargasso Shearwater,Plunging,Fish,Yes,Yes,Yes,No,No,No,Yes,200,No,No,No
Puffinus mauretanicus,Procellariiformes,Procellariidae,Puffinus,Balearic Shearwater,Plunging,Fish,Yes,Yes,Yes,No,Yes,Yes,Yes,518.5,Yes,No,No
Puffinus myrtae,Procellariiformes,Procellariidae,Puffinus,Rapa Shearwater,Unknown,NA,NA,NA,NA,NA,NA,NA,Yes,192,NA,NA,NA
Puffinus nativitatis,Procellariiformes,Procellariidae,Puffinus,Christmas Shearwater,Plunging,Cephalopods,Yes,Yes,No,No,Yes,No,Yes,356,No,No,No
Puffinus newelli,Procellariiformes,Procellariidae,Puffinus,Newell's Shearwater,Plunging,Cephalopods,Yes,Yes,No,No,No,No,Yes,381,No,No,No
Puffinus opisthomelas,Procellariiformes,Procellariidae,Puffinus,Black-vented Shearwater,Plunging,Fish,Yes,Yes,No,No,No,No,Yes,408,No,No,No
Puffinus persicus,Procellariiformes,Procellariidae,Puffinus,Persian Shearwater,Plunging,Fish,Yes,Yes,Yes,No,No,Yes,Yes,175,Yes,No,No
Puffinus puffinus,Procellariiformes,Procellariidae,Puffinus,Manx Shearwater,Plunging,Fish,Yes,Yes,Yes,No,No,No,Yes,453.5,No,No,No
Puffinus subalaris,Procellariiformes,Procellariidae,Puffinus,Galapagos Shearwater,Plunging,Fish,Yes,Yes,Yes,No,No,Yes,Yes,176.5,Yes,No,No
Puffinus yelkouan,Procellariiformes,Procellariidae,Puffinus,Yelkouan Shearwater,Plunging,Fish,Yes,Yes,Yes,No,No,Yes,Yes,382.5,Yes,No,No
Pygoscelis adeliae,Sphenisciformes,Spheniscidae,Pygoscelis,Adelie Penguin,Diving,Crustaceans,Yes,Yes,Yes,No,No,No,Yes,4850,No,No,No
Pygoscelis antarcticus,Sphenisciformes,Spheniscidae,Pygoscelis,Chinstrap Penguin,Diving,Crustaceans,Yes,No,Yes,No,No,No,Yes,4155.5,No,No,No
Pygoscelis papua,Sphenisciformes,Spheniscidae,Pygoscelis,Gentoo Penguin,Diving,Crustaceans,Yes,Yes,Yes,Yes,No,No,Yes,5950,No,No,No
Rhodostethia rosea,Charadriiformes,Laridae,Rhodostethia,Ross's Gull,Surface.Seizing,Crustaceans,Yes,No,Yes,Yes,Yes,No,No,187,No,No,No
Rissa brevirostris,Charadriiformes,Laridae,Rissa,Red-legged Kittiwake,Plunging,Fish,Yes,Yes,Yes,No,No,No,Yes,377,No,No,No
Rissa tridactyla,Charadriiformes,Laridae,Rissa,Black-legged Kittiwake,Surface.Seizing,Fish,Yes,Yes,Yes,Yes,Yes,Yes,Yes,416.3,Yes,No,No
Rynchops albicollis,Charadriiformes,Laridae,Rynchops,Indian Skimmer,Skimming,Fish,Yes,Yes,Yes,Yes,No,No,No,232.5,No,No,No
Rynchops flavirostris,Charadriiformes,Laridae,Rynchops,African Skimmer,Skimming,Fish,Yes,Yes,Yes,Yes,No,No,No,164,No,No,No
Rynchops niger,Charadriiformes,Laridae,Rynchops,Black Skimmer,Skimming,Fish,Yes,No,Yes,No,No,No,No,301.5,No,No,No
