Clements2024_Binomial,Order,Family,Genus,Common.Name,Feeding.method,Diet,Fish,Cephalopods,Crustaceans,Other.Inverts,Carrion,Anthropogenic.Subsidy,Pelagic.Specialist,Body.Mass.g,AS.Fishery,AS.Refuse,AS.Agriculture
Stercorarius skua,Charadriiformes,Stercorariidae,Stercorarius,Great Skua,Surface.Seizing,Carrion.NonFishVertebrates,Yes,No,No,No,Yes,Yes,Yes,1340,Yes,Yes,No
Cepphus carbo,Charadriiformes,Alcidae,Cepphus,Spectacled Guillemot,Bottom.Feeding,Fish,Yes,Yes,Yes,Yes,No,No,Yes,490,No,No,No
Cepphus columba,Charadriiformes,Alcidae,Cepphus,Pigeon Guillemot,Bottom.Feeding,Fish,Yes,Yes,Yes,Yes,No,No,Yes,530,No,No,No
Cepphus grylle,Charadriiformes,Alcidae,Cepphus,Black Guillemot,Bottom.Feeding,Fish,Yes,Yes,Yes,Yes,No,No,Yes,452.5,No,No,No
Cerorhinca monocerata,Charadriiformes,Alcidae,Cerorhinca,Rhinoceros Auklet,Diving,Fish,Yes,Yes,Yes,Yes,No,No,Yes,483,No,No,No
Chlidonias albostriatus,Charadriiformes,Laridae,Chlidonias,Black-fronted Tern,Surface.Seizing,Fish,Yes,No,Yes,Yes,Yes,No,No,92,No,No,No
Chlidonias hybrida,Charadriiformes,Laridae,Chlidonias,Whiskered Tern,Surface.Seizing,Other.Inverts,Yes,No,No,Yes,Yes,Yes,No,83.9,No,No,Yes
Chlidonias leucopterus,Charadriiformes,Laridae,Chlidonias,White-winged Tern,Surface.Seizing,Other.Inverts,Yes,No,No,Yes,No,No,No,54.2,No,No,No
Chlidonias niger,Charadriiformes,Laridae,Chlidonias,Black Tern,Surface.Seizing,Other.Inverts,Yes,No,No,Yes,Yes,No,No,65.3,No,No,No
Clangula hyemalis,Anseriformes,Anatidae,Clangula,Long-tailed Duck,Bottom.Feeding,Crustaceans,Yes,No,Yes,Yes,No,No,No,873,No,No,No
Creagrus furcatus,Charadriiformes,Laridae,Creagrus,Swallow-tailed Gull,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,Yes,No,Yes,687,No,No,No
Daption capense,Procellariiformes,Procellariidae,Daption,Pintado Petrel,Surface.Seizing,Crustaceans,Yes,Yes,Yes,Yes,Yes,Yes,Yes,424.5,Yes,No,No
Diomedea amsterdamensis,Procellariiformes,Diomedeidae,Diomedea,Amsterdam Albatross,Surface.Seizing,Fish,Yes,Yes,Yes,No,No,No,Yes,6270,No,No,No
Diomedea antipodensis,Procellariiformes,Diomedeidae,Diomedea,Antipodean Albatross,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,No,Yes,6650,No,No,No
Diomedea dabbenena,Procellariiformes,Diomedeidae,Diomedea,Tristan Albatross,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,Yes,Yes,7000,Yes,No,No
Diomedea epomophora,Procellariiformes,Diomedeidae,Diomedea,Southern Royal Albatross,Surface.Seizing,Cephalopods,Yes,Yes,Yes,Yes,No,Yes,Yes,9000,Yes,No,No
Diomedea exulans,Procellariiformes,Diomedeidae,Diomedea,Snowy Albatross,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,Yes,Yes,6300,Yes,No,No
Diomedea sanfordi,Procellariiformes,Diomedeidae,Diomedea,Northern Royal Albatross,Surface.Seizing,Cephalopods,Yes,Yes,No,No,No,Yes,Yes,6500,Yes,No,No
Eudyptes chrysocome,Sphenisciformes,Spheniscidae,Eudyptes,Southern Rockhopper Penguin,Diving,Crustaceans,Yes,Yes,Yes,No,No,No,Yes,2330,No,No,No
Eudyptes chrysolophus,Sphenisciformes,Spheniscidae,Eudyptes,Macaroni Penguin,Diving,Crustaceans,Yes,Yes,Yes,No,No,No,Yes,4490,No,No,No
Eudyptes moseleyi,Sphenisciformes,Spheniscidae,Eudyptes,Moseley's Rockhopper Penguin,Diving,Crustaceans,Yes,Yes,Yes,No,No,No,Yes,2330,No,No,No
Eudyptes pachyrhynchus,Sphenisciformes,Spheniscidae,Eudyptes,Fiordland Penguin,Diving,Cephalopods,Yes,Yes,Yes,No,No,No,Yes,3910,No,No,No
Eudyptes robustus,Sphenisciformes,Spheniscidae,Eudyptes,Snares Penguin,Diving,Crustaceans,No,Yes,Yes,No,No,No,Yes,3050,No,No,No
Eudyptes schlegeli,Sphenisciformes,Spheniscidae,Eudyptes,Royal Penguin,Diving,Crustaceans,Yes,Yes,Yes,No,No,No,Yes,4250,No,No,No
Eudyptes sclateri,Sphenisciformes,Spheniscidae,Eudyptes,Erect-crested Penguin,Diving,Cephalopods,No,Yes,Yes,No,No,No,Yes,5908,No,No,No
Eudyptula minor,Sphenisciformes,Spheniscidae,Eudyptula,Little Penguin,Diving,Fish,Yes,Yes,Yes,No,No,No,Yes,1120.5,No,No,No
Fratercula arctica,Charadriiformes,Alcidae,Fratercula,Atlantic Puffin,Diving,Fish,Yes,Yes,Yes,Yes,No,No,Yes,923,No,No,No
Fratercula cirrhata,Charadriiformes,Alcidae,Fratercula,Tufted Puffin,Diving,Fish,Yes,Yes,Yes,No,No,No,Yes,775,No,No,No
Fratercula corniculata,Charadriiformes,Alcidae,Fratercula,Horned Puffin,Diving,Fish,Yes,Yes,Yes,Yes,No,No,Yes,536.5,No,No,No
Fregata andrewsi,Suliformes,Fregatidae,Fregata,Christmas Island Frigatebird,Surface.Seizing,Fish,Yes,Yes,No,Yes,Yes,No,Yes,1475,No,No,No
