,Reference,DOI,CodeCitation,Year,Ecosystem,Habitat,Country,Biological.group,Mean_size,UIS,ML,Size_variance,Variance_type,Min_length,Max_length,Starting_month,Starting_year,Final_month,Final_year,Sampling_frequency,Sampling_method,Organ_content,N.sampling.unit,N.organisms,TotalMiP,TotalMeP,TotalMaP,TotalPD,FO_PD,NF_PD,FW_PD,Dead,Fragments,Fibers_thread,Pellets,Beads_granule,Foam,Film_sheet,Paintchips,Other_types,Type_unit,Average.Size_PD,Min.Size_PD,Max.size_PD,Size.variance_PD,Variance_type.1,Size_unit,Area_PD,Area_unit,Mass_PD,Volume_PD,Blue,White,Transparent,Gray,Black,Yellow,Brown,PinkPurple,Orange,Red,Green,Colored,Other_colors,Color_unit,Polymer1,Polymer1.items,Polymer2,Polymer2.items,Polymer3,Polymer3.items,Polymer4,Polymer4.items,Polymer5,Polymer5.items,Polymer6,Polymer6.items,Polymer7,Polymer7.items,Polymer8,Polymer8.items,Polymer9,Polymer9.items,Polymer10,Polymer10.items,Polymer11,Polymer11.items,Polymer12,Polymer12.items,Other_Polymers,Other_PolymersItems,Polymer_unit,QAQC_protocol,Extraction_method,Polymeric_analysis,Obs,species,kingdom,subkingdom,infrakingdom,class,order,family,genus,phylum,Lat,Lon,common.name,TotalP
1895,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Gizzard,3,3,1,NA,NA,1,33.3,NA,NA,Yes,1,0,0,0,0,0,0,0,Number,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Gavia adamsii,Animalia,Bilateria,Deuterostomia,Aves,Gaviiformes,Gaviidae,Gavia,Chordata,63.434,-109.186,,2
1896,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Proventriculus,3,3,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Gavia adamsii,Animalia,Bilateria,Deuterostomia,Aves,Gaviiformes,Gaviidae,Gavia,Chordata,63.434,-109.186,,0
1897,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Gizzard,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Gavia immer,Animalia,Bilateria,Deuterostomia,Aves,Gaviiformes,Gaviidae,Gavia,Chordata,NA,NA,great northern loon,0
1898,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Gizzard,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Gavia immer,Animalia,Bilateria,Deuterostomia,Aves,Gaviiformes,Gaviidae,Gavia,Chordata,NA,NA,great northern loon,0
1899,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Proventriculus,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Gavia immer,Animalia,Bilateria,Deuterostomia,Aves,Gaviiformes,Gaviidae,Gavia,Chordata,NA,NA,great northern loon,0
1900,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Proventriculus,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Gavia immer,Animalia,Bilateria,Deuterostomia,Aves,Gaviiformes,Gaviidae,Gavia,Chordata,NA,NA,great northern loon,0
1901,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Gizzard,7,7,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Gavia stellata,Animalia,Bilateria,Deuterostomia,Aves,Gaviiformes,Gaviidae,Gavia,Chordata,NA,NA,red-throated loon,0
1902,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Gizzard,7,7,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Gavia stellata,Animalia,Bilateria,Deuterostomia,Aves,Gaviiformes,Gaviidae,Gavia,Chordata,NA,NA,red-throated loon,0
1903,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Proventriculus,7,7,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Gavia stellata,Animalia,Bilateria,Deuterostomia,Aves,Gaviiformes,Gaviidae,Gavia,Chordata,NA,NA,red-throated loon,0
1904,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Proventriculus,7,7,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Gavia stellata,Animalia,Bilateria,Deuterostomia,Aves,Gaviiformes,Gaviidae,Gavia,Chordata,NA,NA,red-throated loon,0
1905,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,Lake,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Gizzard,32,32,2,NA,NA,2,6.3,NA,NA,Yes,2,0,0,0,0,0,0,0,Number,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Mareca americana,Metazoa,,,Aves,Anseriformes,Anatidae,Mareca,Chordata,49.106,-122.091,American wigeon,4
1906,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,Lake,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Proventriculus,32,32,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Mareca americana,Metazoa,,,Aves,Anseriformes,Anatidae,Mareca,Chordata,49.106,-122.091,American wigeon,0
1907,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,Lake,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Gizzard,32,32,2,NA,NA,2,6.3,NA,NA,Yes,2,0,0,0,0,0,0,0,Number,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Mareca americana,Metazoa,,,Aves,Anseriformes,Anatidae,Mareca,Chordata,49.076,-123.16,American wigeon,4
1908,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,Lake,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Proventriculus,32,32,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Mareca americana,Metazoa,,,Aves,Anseriformes,Anatidae,Mareca,Chordata,49.076,-123.16,American wigeon,0
1909,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,Lake,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Gizzard,32,32,2,NA,NA,2,6.3,NA,NA,Yes,2,0,0,0,0,0,0,0,Number,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Mareca americana,Metazoa,,,Aves,Anseriformes,Anatidae,Mareca,Chordata,48.992,-122.225,American wigeon,4
1910,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,Lake,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Proventriculus,32,32,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Mareca americana,Metazoa,,,Aves,Anseriformes,Anatidae,Mareca,Chordata,48.992,-122.225,American wigeon,0
1911,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Coastal,Island,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Gizzard,2,2,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Mareca strepera,Metazoa,,,Aves,Anseriformes,Anatidae,Mareca,Chordata,NA,NA,gadwall,0
1912,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Coastal,Island,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Gizzard,2,2,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Mareca strepera,Metazoa,,,Aves,Anseriformes,Anatidae,Mareca,Chordata,NA,NA,gadwall,0
1913,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Coastal,Island,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Proventriculus,2,2,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Mareca strepera,Metazoa,,,Aves,Anseriformes,Anatidae,Mareca,Chordata,NA,NA,gadwall,0
1914,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Coastal,Island,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Proventriculus,2,2,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Mareca strepera,Metazoa,,,Aves,Anseriformes,Anatidae,Mareca,Chordata,NA,NA,gadwall,0
1915,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Gizzard,16,16,1,NA,NA,1,6.3,NA,NA,Yes,1,0,0,0,0,0,0,0,Number,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Melanitta deglandi,Metazoa,,,Aves,Anseriformes,Anatidae,Melanitta,Chordata,43.325,-79.798,,2
1916,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Proventriculus,16,16,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Melanitta deglandi,Metazoa,,,Aves,Anseriformes,Anatidae,Melanitta,Chordata,43.325,-79.798,,0
1917,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Gizzard,40,40,1,NA,NA,1,2.5,NA,NA,Yes,1,0,0,0,0,0,0,0,Number,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Somateria mollissima,Animalia,Bilateria,Deuterostomia,Aves,Anseriformes,Anatidae,Somateria,Chordata,49.812,-54.118,common eider,2
1918,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Proventriculus,40,40,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Somateria mollissima,Animalia,Bilateria,Deuterostomia,Aves,Anseriformes,Anatidae,Somateria,Chordata,49.812,-54.118,common eider,0
1919,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Gizzard,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Spatula clypeata,Metazoa,,,Aves,Anseriformes,Anatidae,Spatula,Chordata,NA,NA,Northern shoveler,0
1920,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Gizzard,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Spatula clypeata,Metazoa,,,Aves,Anseriformes,Anatidae,Spatula,Chordata,NA,NA,Northern shoveler,0
1921,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Proventriculus,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Spatula clypeata,Metazoa,,,Aves,Anseriformes,Anatidae,Spatula,Chordata,NA,NA,Northern shoveler,0
1922,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Proventriculus,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Spatula clypeata,Metazoa,,,Aves,Anseriformes,Anatidae,Spatula,Chordata,NA,NA,Northern shoveler,0
1923,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Gizzard,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Spatula discors,Metazoa,,,Aves,Anseriformes,Anatidae,Spatula,Chordata,NA,NA,blue-winged teal,0
1924,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Gizzard,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Spatula discors,Metazoa,,,Aves,Anseriformes,Anatidae,Spatula,Chordata,NA,NA,blue-winged teal,0
1925,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Proventriculus,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Spatula discors,Metazoa,,,Aves,Anseriformes,Anatidae,Spatula,Chordata,NA,NA,blue-winged teal,0
1926,"Holland et al., 2016",10.1016/j.scitotenv.2016.07.158,MPB00298,2016,Freshwater,,Canada,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,Proventriculus,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,Yes,Visual selection,,,Spatula discors,Metazoa,,,Aves,Anseriformes,Anatidae,Spatula,Chordata,NA,NA,blue-winged teal,0
2009,"Hutton et al., 2008",10.26749/rstpp.142.1.67,MPB00112,2008,Island,Island,Australia,Birds,NA,,,NA,,NA,NA,April,2005,May,2005,,Bolus,,124,NA,NA,NA,NA,NA,100,NA,NA,No,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Ardenna carneipes,Metazoa,,,Aves,Procellariiformes,Procellariidae,Ardenna,Chordata,-31.5,159.0833333,Flesh-footed shearwater,0
2010,"Hutton et al., 2008",10.26749/rstpp.142.1.67,MPB00112,2008,Island,Island,Australia,Birds,NA,,,NA,,NA,NA,April,2005,April,2005,,Lavage,,56,56,NA,NA,NA,NA,79,NA,NA,No,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Ardenna carneipes,Metazoa,,,Aves,Procellariiformes,Procellariidae,Ardenna,Chordata,-31.5,159.0833333,Flesh-footed shearwater,0
2011,"Hutton et al., 2008",10.26749/rstpp.142.1.67,MPB00112,2008,Island,Island,Australia,Birds,NA,,,NA,,NA,NA,October,2001,August,2002,,Necropsy,GIT,14,14,NA,NA,NA,579,100,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Ardenna carneipes,Metazoa,,,Aves,Procellariiformes,Procellariidae,Ardenna,Chordata,-31.5,159.0833333,Flesh-footed shearwater,579
2012,"Hutton et al., 2008",10.26749/rstpp.142.1.67,MPB00112,2008,Island,Island,Australia,Birds,NA,,,NA,,NA,NA,April,2005,May,2005,,Necropsy,GIT,6,6,NA,NA,NA,NA,100,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Ardenna carneipes,Metazoa,,,Aves,Procellariiformes,Procellariidae,Ardenna,Chordata,-31.5,159.0833333,Flesh-footed shearwater,0
2013,"Hutton et al., 2008",10.26749/rstpp.142.1.67,MPB00112,2008,Island,Island,Australia,Birds,NA,,,NA,,NA,NA,,2001,,2007,Occasionally,Necropsy,Stomach,21,21,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Ardenna carneipes,Metazoa,,,Aves,Procellariiformes,Procellariidae,Ardenna,Chordata,-31.5,159.0833333,Flesh-footed shearwater,0
2014,"Hutton et al., 2008",10.26749/rstpp.142.1.67,MPB00112,2008,Island,Island,Australia,Birds,NA,,,NA,,NA,NA,April,2005,April,2005,Occasionally,Lavage,,30,30,NA,NA,NA,NA,43,NA,NA,No,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Ardenna pacifica,Metazoa,,,Aves,Procellariiformes,Procellariidae,Ardenna,Chordata,-31.5,159.0833333,,0
2015,"Hutton et al., 2008",10.26749/rstpp.142.1.67,MPB00112,2008,Island,Island,Australia,Birds,NA,,,NA,,NA,NA,April,2005,April,2005,Occasionally,Necropsy,GIT,22,22,NA,NA,NA,NA,14,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Ardenna pacifica,Metazoa,,,Aves,Procellariiformes,Procellariidae,Ardenna,Chordata,-31.5,159.0833333,,0
2016,"Hyrenbach et al., 2013",,MPB00169,2013,Island,Island,USA,Birds,238,mm,Wing length,15.7,SD,224,255,January,2010,November,2012,Occasionally,Necropsy,Stomach,3,3,NA,NA,1,1,33,12.5,68.2,Yes,1,0,0,0,0,0,0,0,Number,155,,,NA,,mm,NA,,15,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,Number,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Phaethon lepturus dorotheae,Animalia,Bilateria,Deuterostomia,Aves,Phaethontiformes,Phaethontidae,Phaethon,Chordata,21.44262296,-158.0092154,,2
