clements2024_binomial,tips,order,freeflying,source,date_median,marine_region,sampling_method,body_mass_g,body_mass_2sd,main_diet,carrion,fish,cephalopods,crustaceans,other_inverts,as_fishery,as_agriculture,as_refuse,anthropogenic_subsidy,pelagic_specialist,feeding_method,aerial_pursuit,bottom_feeding,diving,plunging,scavenging,skimming,surface_seizing,terrestrial_feeding,n_plastic,n_total,FO
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,1999,North Pacific Ocean,Regurgitation,112,-0.2702490360618850,Crustaceans,No,No,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,38,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,2000,North Pacific Ocean,Regurgitation,112,-0.2702490360618850,Crustaceans,No,No,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,33,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,2001,North Pacific Ocean,Regurgitation,112,-0.2702490360618850,Crustaceans,No,No,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,28,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,2002,North Pacific Ocean,Regurgitation,112,-0.2702490360618850,Crustaceans,No,No,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,32,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,2003,North Pacific Ocean,Regurgitation,112,-0.2702490360618850,Crustaceans,No,No,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,31,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,2004,North Pacific Ocean,Regurgitation,112,-0.2702490360618850,Crustaceans,No,No,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,37,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,2005,North Pacific Ocean,Regurgitation,112,-0.2702490360618850,Crustaceans,No,No,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,31,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,2006,North Pacific Ocean,Regurgitation,112,-0.2702490360618850,Crustaceans,No,No,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,36,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Robards et al. 1995,1989,North Pacific Ocean,Necropsy,112,-0.2702490360618850,Crustaceans,No,No,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,22,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,NA,Day et al. 1984/Day 1980,1973,North Pacific Ocean,Necropsy,112,-0.2702490360618850,Crustaceans,No,No,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,5,0
Alca torda,Alca_torda,Charadriiformes,1,Acampora et al. 2016,2015,North Atlantic Ocean,Necropsy,726,-0.12741631019378000,Fish,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,15,0
Alca torda,Alca_torda,Charadriiformes,1,"Benjaminsen et al., 2024",2012,Arctic Ocean,Necropsy,726,-0.12741631019378000,Fish,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,9,0
Alca torda,Alca_torda,Charadriiformes,1,"Benjaminsen, 2021",2012,Arctic Ocean,Necropsy,726,-0.12741631019378000,Fish,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,9,0
Alca torda,Alca_torda,Charadriiformes,1,Nicastro et al. 2018,2016,North Atlantic Ocean,Necropsy,726,-0.12741631019378000,Fish,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,1,0
Alca torda,Alca_torda,Charadriiformes,1,Provencher et al. 2014,2004,North Atlantic Ocean,Necropsy,726,-0.12741631019378000,Fish,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,2,0
Alca torda,Alca_torda,Charadriiformes,NA,"Benjaminsen et al., 2024",2012,Arctic Ocean,Necropsy,726,-0.12741631019378000,Fish,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,1,0
Alca torda,Alca_torda,Charadriiformes,NA,"Franco et al., 2019",2016,North Atlantic Ocean,Necropsy,726,-0.12741631019378000,Fish,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,12,0
Alca torda,Alca_torda,Charadriiformes,NA,"Murano et al., 2024",2022.5,North Atlantic Ocean,Necropsy,726,-0.12741631019378000,Fish,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,4,5,0.8
Alca torda,Alca_torda,Charadriiformes,NA,Nicastro et al. 2018,2015,North Atlantic Ocean,Necropsy,726,-0.12741631019378000,Fish,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,2,0
Alca torda,Alca_torda,Charadriiformes,NA,Nicastro et al. 2018,2016,North Atlantic Ocean,Necropsy,726,-0.12741631019378000,Fish,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,1,0
Alca torda,Alca_torda,Charadriiformes,NA,Provencher et al. 2014,2004,North Atlantic Ocean,Necropsy,726,-0.12741631019378000,Fish,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,8,0
Alca torda,Alca_torda,Charadriiformes,NA,"Schutten et al., 2024",2021,North Atlantic Ocean,Necropsy,726,-0.12741631019378000,Fish,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,1,0
Alca torda,Alca_torda,Charadriiformes,NA,"van Franeker et al., 2024",2019,North Atlantic Ocean,Necropsy,726,-0.12741631019378000,Fish,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,12,0
Alle alle,Alle_alle,Charadriiformes,1,Amelineau et al. 2016,2005,North Atlantic Ocean,Brushing,181.3,-0.2541280134191170,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,26,26,1
Alle alle,Alle_alle,Charadriiformes,1,Amelineau et al. 2016,2015,North Atlantic Ocean,Brushing,181.3,-0.2541280134191170,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,18,18,1
Alle alle,Alle_alle,Charadriiformes,1,"Ammendolia et al., 2024",2014,Arctic Ocean,Scat,181.3,-0.2541280134191170,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,3,94,0.031914893617021300
Alle alle,Alle_alle,Charadriiformes,1,Avery-Gomm et al. 2016,2013,North Atlantic Ocean,Necropsy,181.3,-0.2541280134191170,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,52,171,0.30409356725146200
Alle alle,Alle_alle,Charadriiformes,1,Fife et al. 2015,2013,North Atlantic Ocean,Necropsy,181.3,-0.2541280134191170,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,9,65,0.13846153846153800
Alle alle,Alle_alle,Charadriiformes,1,Lydersen et al. 1989,1984,Arctic Ocean,Necropsy,181.3,-0.2541280134191170,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,5,11,0.45454545454545500
Alle alle,Alle_alle,Charadriiformes,1,"Otsuki et al., 2024",2022,Arctic Ocean,Necropsy,181.3,-0.2541280134191170,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,2,13,0.15384615384615400
Alle alle,Alle_alle,Charadriiformes,NA,Provencher et al. 2014,1988.5,Arctic Ocean,Necropsy,181.3,-0.2541280134191170,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,19,0
Anous ceruleus,Anous_ceruleus,Charadriiformes,1,Spear et al. 1995,1987.5,South Pacific Ocean,Necropsy,53,-0.2839740048342280,Fish,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,0,3,0
Anous ceruleus,Anous_ceruleus,Charadriiformes,NA,Harrison et al. 1983,1980.5,North Pacific Ocean,Bolus,53,-0.2839740048342280,Fish,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,0,111,0
Anous minutus,Anous_minutus,Charadriiformes,1,Rapp et al. 2017,2009.5,North Pacific Ocean,Necropsy,116,-0.2693185297044380,Fish,No,Yes,Yes,No,No,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,0,2,0
Anous minutus,Anous_minutus,Charadriiformes,1,Sileo et al. 1990a,1986,North Pacific Ocean,Lavage,116,-0.2693185297044380,Fish,No,Yes,Yes,No,No,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,0,18,0
Anous minutus,Anous_minutus,Charadriiformes,NA,"Berr et al., 2020",2016.5,South Pacific Ocean,Necropsy,116,-0.2693185297044380,Fish,No,Yes,Yes,No,No,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,0,4,0
Anous minutus,Anous_minutus,Charadriiformes,NA,Day et al. 1984/Harrison et al. 1983,1980,North Pacific Ocean,Bolus,116,-0.2693185297044380,Fish,No,Yes,Yes,No,No,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,0,494,0
Anous minutus,Anous_minutus,Charadriiformes,NA,Rapp et al. 2017,2009.5,North Pacific Ocean,Necropsy,116,-0.2693185297044380,Fish,No,Yes,Yes,No,No,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,0,3,0
Anous stolidus,Anous_stolidus,Charadriiformes,1,Rapp et al. 2017,2009.5,North Pacific Ocean,Necropsy,189,-0.25233678868103200,Fish,No,Yes,Yes,No,No,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,1,15,0.06666666666666670
Anous stolidus,Anous_stolidus,Charadriiformes,1,Roman et al. 2016,2013,South Pacific Ocean,Necropsy,189,-0.25233678868103200,Fish,No,Yes,Yes,No,No,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,0,1,0
Anous stolidus,Anous_stolidus,Charadriiformes,1,Sileo et al. 1990a,1986,North Pacific Ocean,Lavage,189,-0.25233678868103200,Fish,No,Yes,Yes,No,No,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,0,17,0
Anous stolidus,Anous_stolidus,Charadriiformes,1,Tavares et al. 2017,2011,South Pacific Ocean,Necropsy,189,-0.25233678868103200,Fish,No,Yes,Yes,No,No,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,0,1,0
Anous stolidus,Anous_stolidus,Charadriiformes,1,Tavares et al. 2017,2012,South Pacific Ocean,Necropsy,189,-0.25233678868103200,Fish,No,Yes,Yes,No,No,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,0,2,0
Anous stolidus,Anous_stolidus,Charadriiformes,1,Tavares et al. 2017,2013,South Pacific Ocean,Necropsy,189,-0.25233678868103200,Fish,No,Yes,Yes,No,No,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,0,1,0
Anous stolidus,Anous_stolidus,Charadriiformes,NA,"Berr et al., 2020",2016.5,South Pacific Ocean,Necropsy,189,-0.25233678868103200,Fish,No,Yes,Yes,No,No,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,0,1,0
Anous stolidus,Anous_stolidus,Charadriiformes,NA,"Cartraud et al., 2019",2009,Indian Ocean,Necropsy,189,-0.25233678868103200,Fish,No,Yes,Yes,No,No,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,3,9,0.3333333333333330
Anous stolidus,Anous_stolidus,Charadriiformes,NA,Day et al. 1984/Harrison et al. 1983,1980.5,North Pacific Ocean,Bolus,189,-0.25233678868103200,Fish,No,Yes,Yes,No,No,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,0,354,0
Anous stolidus,Anous_stolidus,Charadriiformes,NA,"Di Beneditto and Siciliano, 2021",2010,South Atlantic Ocean,Necropsy,189,-0.25233678868103200,Fish,No,Yes,Yes,No,No,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,0,1,0
Anous stolidus,Anous_stolidus,Charadriiformes,NA,"Vanstreels et al., 2021",2020,South Atlantic Ocean,Necropsy,189,-0.25233678868103200,Fish,No,Yes,Yes,No,No,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,0,5,0
Anous stolidus,Anous_stolidus,Charadriiformes,NA,"do Nascimiento et al., 2023",2014,South Atlantic Ocean,Necropsy,189,-0.25233678868103200,Fish,No,Yes,Yes,No,No,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,0,25,0
Anous tenuirostris,Anous_tenuirostris,Charadriiformes,1,Spear et al. 1995,1987.5,South Pacific Ocean,Necropsy,112,-0.2702490360618850,Fish,No,Yes,No,Yes,No,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,0,3,0
Anous tenuirostris,Anous_tenuirostris,Charadriiformes,NA,"Cartraud et al., 2019",2009,Indian Ocean,Necropsy,112,-0.2702490360618850,Fish,No,Yes,No,Yes,No,No,No,No,No,Yes,Surface.Seizing,No,No,No,No,No,No,Yes,No,9,21,0.42857142857142900
Aphrodroma brevirostris,Aphrodroma_brevirostris,Procellariiformes,1,Ainley et al. 1990a,1985.5,South Pacific Ocean,Necropsy,357,-0.21325552166826000,Cephalopods,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Surface.Seizing,No,No,No,Yes,No,No,Yes,No,0,5,0
Aphrodroma brevirostris,Aphrodroma_brevirostris,Procellariiformes,1,Ainley et al. 1990a,1986,Southern Ocean,Necropsy,357,-0.21325552166826000,Cephalopods,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Surface.Seizing,No,No,No,Yes,No,No,Yes,No,2,9,0.2222222222222220
Aphrodroma brevirostris,Aphrodroma_brevirostris,Procellariiformes,1,Reed 1981,1981,South Pacific Ocean,Necropsy,357,-0.21325552166826000,Cephalopods,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Surface.Seizing,No,No,No,Yes,No,No,Yes,No,1,26,0.038461538461538500
Aphrodroma brevirostris,Aphrodroma_brevirostris,Procellariiformes,1,Roman et al. 2019,2016,Indian Ocean,Necropsy,357,-0.21325552166826000,Cephalopods,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Surface.Seizing,No,No,No,Yes,No,No,Yes,No,0,1,0
Aphrodroma brevirostris,Aphrodroma_brevirostris,Procellariiformes,1,Roman et al. 2019,2016,South Pacific Ocean,Necropsy,357,-0.21325552166826000,Cephalopods,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Surface.Seizing,No,No,No,Yes,No,No,Yes,No,1,1,1
Aphrodroma brevirostris,Aphrodroma_brevirostris,Procellariiformes,NA,Brown et al. 1986,1984,Indian Ocean,Necropsy,357,-0.21325552166826000,Cephalopods,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Surface.Seizing,No,No,No,Yes,No,No,Yes,No,0,0,0
Aphrodroma brevirostris,Aphrodroma_brevirostris,Procellariiformes,NA,Furness 1985a,1983,South Pacific Ocean,Necropsy,357,-0.21325552166826000,Cephalopods,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Surface.Seizing,No,No,No,Yes,No,No,Yes,No,1,13,0.07692307692307690
Aphrodroma brevirostris,Aphrodroma_brevirostris,Procellariiformes,NA,Roman et al. 2019,2015,South Pacific Ocean,Necropsy,357,-0.21325552166826000,Cephalopods,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Surface.Seizing,No,No,No,Yes,No,No,Yes,No,0,1,0
