clements2024_binomial,tips,order,freeflying,source,date_median,marine_region,sampling_method,body_mass_g,body_mass_2sd,main_diet,carrion,fish,cephalopods,crustaceans,other_inverts,as_fishery,as_agriculture,as_refuse,anthropogenic_subsidy,pelagic_specialist,feeding_method,aerial_pursuit,bottom_feeding,diving,plunging,scavenging,skimming,surface_seizing,terrestrial_feeding,n_plastic,n_total,FO
<<<<<<< HEAD
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,1993,North Pacific Ocean,Regurgitation,259.5,-0.2359366141310290,Crustaceans,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,1,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,1994,North Pacific Ocean,Regurgitation,259.5,-0.2359366141310290,Crustaceans,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,37,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,1995,North Pacific Ocean,Regurgitation,259.5,-0.2359366141310290,Crustaceans,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,46,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,1996,North Pacific Ocean,Regurgitation,259.5,-0.2359366141310290,Crustaceans,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,114,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,1997,North Pacific Ocean,Regurgitation,259.5,-0.2359366141310290,Crustaceans,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,121,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,1998,North Pacific Ocean,Regurgitation,259.5,-0.2359366141310290,Crustaceans,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,138,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,1999,North Pacific Ocean,Regurgitation,259.5,-0.2359366141310290,Crustaceans,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,124,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,2000,North Pacific Ocean,Regurgitation,259.5,-0.2359366141310290,Crustaceans,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,63,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,2001,North Pacific Ocean,Regurgitation,259.5,-0.2359366141310290,Crustaceans,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,83,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,2002,North Pacific Ocean,Regurgitation,259.5,-0.2359366141310290,Crustaceans,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,93,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,2003,North Pacific Ocean,Regurgitation,259.5,-0.2359366141310290,Crustaceans,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,56,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,2004,North Pacific Ocean,Regurgitation,259.5,-0.2359366141310290,Crustaceans,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,67,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,2005,North Pacific Ocean,Regurgitation,259.5,-0.2359366141310290,Crustaceans,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,74,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,2006,North Pacific Ocean,Regurgitation,259.5,-0.2359366141310290,Crustaceans,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,94,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Robards et al. 1995,1989,North Pacific Ocean,Necropsy,259.5,-0.2359366141310290,Crustaceans,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,1,40,0.025
Aethia cristatella,Aethia_cristatella,Charadriiformes,NA,Day et al. 1984/Day 1980,1973,North Pacific Ocean,Necropsy,259.5,-0.2359366141310290,Crustaceans,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,85,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,NA,"Padula et al., 2020",2012,North Pacific Ocean,Necropsy,259.5,-0.2359366141310290,Crustaceans,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,6,7,0.8571428571428570
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,1993,North Pacific Ocean,Regurgitation,270,-0.23349403494273100,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,6,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,1994,North Pacific Ocean,Regurgitation,270,-0.23349403494273100,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,3,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,1995,North Pacific Ocean,Regurgitation,270,-0.23349403494273100,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,16,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,1996,North Pacific Ocean,Regurgitation,270,-0.23349403494273100,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,5,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,1997,North Pacific Ocean,Regurgitation,270,-0.23349403494273100,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,3,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,1998,North Pacific Ocean,Regurgitation,270,-0.23349403494273100,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,12,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,1999,North Pacific Ocean,Regurgitation,270,-0.23349403494273100,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,1,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,2000,North Pacific Ocean,Regurgitation,270,-0.23349403494273100,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,8,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,2003,North Pacific Ocean,Regurgitation,270,-0.23349403494273100,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,2,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,2004,North Pacific Ocean,Regurgitation,270,-0.23349403494273100,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,27,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,2005,North Pacific Ocean,Regurgitation,270,-0.23349403494273100,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,29,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,2006,North Pacific Ocean,Regurgitation,270,-0.23349403494273100,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,28,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Robards 1993,1990.5,North Pacific Ocean,Necropsy,270,-0.23349403494273100,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,1,3,0.3333333333333330
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Robards et al. 1995,1989,North Pacific Ocean,Necropsy,270,-0.23349403494273100,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,195,208,0.9375
Aethia psittacula,Aethia_psittacula,Charadriiformes,NA,Day et al. 1984/Day 1980,1973,North Pacific Ocean,Necropsy,270,-0.23349403494273100,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,87,116,0.75
Aethia psittacula,Aethia_psittacula,Charadriiformes,NA,Pettit et al. 1981,1980,North Pacific Ocean,Necropsy,270,-0.23349403494273100,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,1,1,1
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,1993,North Pacific Ocean,Regurgitation,112,-0.2702490360618850,Crustaceans,No,No,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,1,26,0.038461538461538500
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,1994,North Pacific Ocean,Regurgitation,112,-0.2702490360618850,Crustaceans,No,No,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,16,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,1995,North Pacific Ocean,Regurgitation,112,-0.2702490360618850,Crustaceans,No,No,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,48,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,1996,North Pacific Ocean,Regurgitation,112,-0.2702490360618850,Crustaceans,No,No,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,71,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,1997,North Pacific Ocean,Regurgitation,112,-0.2702490360618850,Crustaceans,No,No,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,36,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,1998,North Pacific Ocean,Regurgitation,112,-0.2702490360618850,Crustaceans,No,No,No,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,26,0
