Clements2024_Binomial,tips,Order,freeflying,Source,Date_median,MarineRegion,Body.Mass.g,body_mass_2sd,Diet,Carrion,Fish,Cephalopods,Crustaceans,Other.Inverts,AS.Fishery,AS.Agriculture,AS.Refuse,Anthropogenic.Subsidy,Pelagic.Specialist,Feeding.method,n_plastic,n_total,FO
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,1995,North Pacific Ocean,270,-0.23349403494273097,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,16,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,1996,North Pacific Ocean,270,-0.23349403494273097,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,5,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,1997,North Pacific Ocean,270,-0.23349403494273097,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,3,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,1998,North Pacific Ocean,270,-0.23349403494273097,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,12,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,1999,North Pacific Ocean,270,-0.23349403494273097,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,1,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,2000,North Pacific Ocean,270,-0.23349403494273097,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,8,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,2003,North Pacific Ocean,270,-0.23349403494273097,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,2,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,2004,North Pacific Ocean,270,-0.23349403494273097,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,27,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,2005,North Pacific Ocean,270,-0.23349403494273097,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,29,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,2006,North Pacific Ocean,270,-0.23349403494273097,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,28,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Robards 1993,1990.5,North Pacific Ocean,270,-0.23349403494273097,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,1,3,0.3333333333333333
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Robards et al. 1995,1989,North Pacific Ocean,270,-0.23349403494273097,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,195,208,0.9375
Aethia psittacula,Aethia_psittacula,Charadriiformes,NA,Day et al. 1984/Day 1980,1973,North Pacific Ocean,270,-0.23349403494273097,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,87,116,0.75
Aethia psittacula,Aethia_psittacula,Charadriiformes,NA,Pettit et al. 1981,1980,North Pacific Ocean,270,-0.23349403494273097,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,1,1,1
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,1993,North Pacific Ocean,112,-0.2702490360618851,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,1,26,0.038461538461538464
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,1994,North Pacific Ocean,112,-0.2702490360618851,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,16,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,1995,North Pacific Ocean,112,-0.2702490360618851,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,48,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,1996,North Pacific Ocean,112,-0.2702490360618851,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,71,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,1997,North Pacific Ocean,112,-0.2702490360618851,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,36,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,1998,North Pacific Ocean,112,-0.2702490360618851,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,26,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,1999,North Pacific Ocean,112,-0.2702490360618851,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,38,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,2000,North Pacific Ocean,112,-0.2702490360618851,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,33,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,2001,North Pacific Ocean,112,-0.2702490360618851,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,28,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,2002,North Pacific Ocean,112,-0.2702490360618851,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,32,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,2003,North Pacific Ocean,112,-0.2702490360618851,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,31,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,2004,North Pacific Ocean,112,-0.2702490360618851,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,37,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,2005,North Pacific Ocean,112,-0.2702490360618851,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,31,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Bond et al. 2010,2006,North Pacific Ocean,112,-0.2702490360618851,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,36,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,1,Robards et al. 1995,1989,North Pacific Ocean,112,-0.2702490360618851,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,22,0
Aethia pygmaea,Aethia_pygmaea,Charadriiformes,NA,Day et al. 1984/Day 1980,1973,North Pacific Ocean,112,-0.2702490360618851,Crustaceans,0,0,0,1,1,0,0,0,0,1,Diving,0,5,0
Alca torda,Alca_torda,Charadriiformes,1,Acampora et al. 2016,2015,North Atlantic Ocean,726,-0.12741631019377977,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,15,0
Alca torda,Alca_torda,Charadriiformes,1,"Benjaminsen et al., 2024",2012,Arctic Ocean,726,-0.12741631019377977,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,9,0
Alca torda,Alca_torda,Charadriiformes,1,"Benjaminsen, 2021",2012,Arctic Ocean,726,-0.12741631019377977,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,9,0
Alca torda,Alca_torda,Charadriiformes,1,Nicastro et al. 2018,2016,North Atlantic Ocean,726,-0.12741631019377977,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,1,0
Alca torda,Alca_torda,Charadriiformes,1,Provencher et al. 2014,2004,North Atlantic Ocean,726,-0.12741631019377977,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,2,0
Alca torda,Alca_torda,Charadriiformes,NA,"Benjaminsen et al., 2024",2012,Arctic Ocean,726,-0.12741631019377977,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,1,0
Alca torda,Alca_torda,Charadriiformes,NA,"Franco et al., 2019",2016,North Atlantic Ocean,726,-0.12741631019377977,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,12,0
Alca torda,Alca_torda,Charadriiformes,NA,"Murano et al., 2024",2022.5,North Atlantic Ocean,726,-0.12741631019377977,Fish,0,1,0,1,1,0,0,0,0,1,Diving,4,5,0.8
Alca torda,Alca_torda,Charadriiformes,NA,Nicastro et al. 2018,2015,North Atlantic Ocean,726,-0.12741631019377977,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,2,0
Alca torda,Alca_torda,Charadriiformes,NA,Nicastro et al. 2018,2016,North Atlantic Ocean,726,-0.12741631019377977,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,1,0
Alca torda,Alca_torda,Charadriiformes,NA,Provencher et al. 2014,2004,North Atlantic Ocean,726,-0.12741631019377977,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,8,0
Alca torda,Alca_torda,Charadriiformes,NA,"Schutten et al., 2024",2021,North Atlantic Ocean,726,-0.12741631019377977,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,1,0
Alca torda,Alca_torda,Charadriiformes,NA,"van Franeker et al., 2024",2019,North Atlantic Ocean,726,-0.12741631019377977,Fish,0,1,0,1,1,0,0,0,0,1,Diving,0,12,0
Alle alle,Alle_alle,Charadriiformes,0,"Ammendolia et al., 2024",2014,Arctic Ocean,181.3,-0.2541280134191169,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,2,16,0.125
Alle alle,Alle_alle,Charadriiformes,1,Amelineau et al. 2016,2005,North Atlantic Ocean,181.3,-0.2541280134191169,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,26,26,1
Alle alle,Alle_alle,Charadriiformes,1,Amelineau et al. 2016,2015,North Atlantic Ocean,181.3,-0.2541280134191169,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,18,18,1
Alle alle,Alle_alle,Charadriiformes,1,"Ammendolia et al., 2024",2014,Arctic Ocean,181.3,-0.2541280134191169,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,3,94,0.031914893617021274
Alle alle,Alle_alle,Charadriiformes,1,Avery-Gomm et al. 2016,2013,North Atlantic Ocean,181.3,-0.2541280134191169,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,52,171,0.30409356725146197
Alle alle,Alle_alle,Charadriiformes,1,Fife et al. 2015,2013,North Atlantic Ocean,181.3,-0.2541280134191169,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,9,65,0.13846153846153847
Alle alle,Alle_alle,Charadriiformes,1,Lydersen et al. 1989,1984,Arctic Ocean,181.3,-0.2541280134191169,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,5,11,0.45454545454545453
Alle alle,Alle_alle,Charadriiformes,1,"Otsuki et al., 2024",2022,Arctic Ocean,181.3,-0.2541280134191169,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,2,13,0.15384615384615385
Alle alle,Alle_alle,Charadriiformes,NA,Day et al. 1984/Van Franeker 1983,NA,South Pacific Ocean,181.3,-0.2541280134191169,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,0,0
Alle alle,Alle_alle,Charadriiformes,NA,Provencher et al. 2014,1988.5,Arctic Ocean,181.3,-0.2541280134191169,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,19,0
Anous ceruleus,Anous_ceruleus,Charadriiformes,1,Spear et al. 1995,1987.5,South Pacific Ocean,53,-0.2839740048342275,Fish,0,1,1,1,1,0,0,0,0,1,Surface.Seizing,0,3,0
Anous ceruleus,Anous_ceruleus,Charadriiformes,NA,Harrison et al. 1983,1980.5,North Pacific Ocean,53,-0.2839740048342275,Fish,0,1,1,1,1,0,0,0,0,1,Surface.Seizing,0,111,0
Anous minutus,Anous_minutus,Charadriiformes,0,Rapp et al. 2017,2009.5,North Pacific Ocean,116,-0.2693185297044382,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,0,4,0
Anous minutus,Anous_minutus,Charadriiformes,0,Sileo et al. 1990a,1987,North Pacific Ocean,116,-0.2693185297044382,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,1,35,0.02857142857142857
Anous minutus,Anous_minutus,Charadriiformes,1,Rapp et al. 2017,2009.5,North Pacific Ocean,116,-0.2693185297044382,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,0,2,0
Anous minutus,Anous_minutus,Charadriiformes,1,Sileo et al. 1990a,1986,North Pacific Ocean,116,-0.2693185297044382,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,0,18,0
Anous minutus,Anous_minutus,Charadriiformes,NA,"Berr et al., 2020",2016.5,South Pacific Ocean,116,-0.2693185297044382,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,0,4,0
Anous minutus,Anous_minutus,Charadriiformes,NA,Day et al. 1984/Harrison et al. 1983,1980,North Pacific Ocean,116,-0.2693185297044382,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,0,494,0
Anous minutus,Anous_minutus,Charadriiformes,NA,Rapp et al. 2017,2009.5,North Pacific Ocean,116,-0.2693185297044382,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,0,3,0
Anous stolidus,Anous_stolidus,Charadriiformes,0,Rapp et al. 2017,2009.5,North Pacific Ocean,189,-0.25233678868103154,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,0,3,0
Anous stolidus,Anous_stolidus,Charadriiformes,0,Sileo et al. 1990a,1986,North Pacific Ocean,189,-0.25233678868103154,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,86,86,1
Anous stolidus,Anous_stolidus,Charadriiformes,0,Sileo et al. 1990a,1987,North Pacific Ocean,189,-0.25233678868103154,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,0,50,0
Anous stolidus,Anous_stolidus,Charadriiformes,1,Rapp et al. 2017,2009.5,North Pacific Ocean,189,-0.25233678868103154,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,1,15,0.06666666666666667
Anous stolidus,Anous_stolidus,Charadriiformes,1,Roman et al. 2016,2013,South Pacific Ocean,189,-0.25233678868103154,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,0,1,0
Anous stolidus,Anous_stolidus,Charadriiformes,1,Sileo et al. 1990a,1986,North Pacific Ocean,189,-0.25233678868103154,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,0,17,0
Anous stolidus,Anous_stolidus,Charadriiformes,1,Tavares et al. 2017,2011,South Pacific Ocean,189,-0.25233678868103154,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,0,1,0
Anous stolidus,Anous_stolidus,Charadriiformes,1,Tavares et al. 2017,2012,South Pacific Ocean,189,-0.25233678868103154,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,0,2,0
Anous stolidus,Anous_stolidus,Charadriiformes,1,Tavares et al. 2017,2013,South Pacific Ocean,189,-0.25233678868103154,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,0,1,0
Anous stolidus,Anous_stolidus,Charadriiformes,NA,"Berr et al., 2020",2016.5,South Pacific Ocean,189,-0.25233678868103154,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,0,1,0
Anous stolidus,Anous_stolidus,Charadriiformes,NA,"Cartraud et al., 2019",2009,Indian Ocean,189,-0.25233678868103154,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,3,9,0.3333333333333333
Anous stolidus,Anous_stolidus,Charadriiformes,NA,Day et al. 1984/Harrison et al. 1983,1980.5,North Pacific Ocean,189,-0.25233678868103154,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,0,354,0
Anous stolidus,Anous_stolidus,Charadriiformes,NA,"Di Beneditto and Siciliano, 2021",2010,South Atlantic Ocean,189,-0.25233678868103154,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,0,1,0
Anous stolidus,Anous_stolidus,Charadriiformes,NA,"Vanstreels et al., 2021",2020,South Atlantic Ocean,189,-0.25233678868103154,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,0,5,0
Anous stolidus,Anous_stolidus,Charadriiformes,NA,"do Nascimiento et al., 2023",2014,South Atlantic Ocean,189,-0.25233678868103154,Fish,0,1,1,0,0,0,0,0,0,1,Surface.Seizing,0,25,0
Anous tenuirostris,Anous_tenuirostris,Charadriiformes,1,Spear et al. 1995,1987.5,South Pacific Ocean,112,-0.2702490360618851,Fish,0,1,0,1,0,0,0,0,0,1,Surface.Seizing,0,3,0
Anous tenuirostris,Anous_tenuirostris,Charadriiformes,NA,"Cartraud et al., 2019",2009,Indian Ocean,112,-0.2702490360618851,Fish,0,1,0,1,0,0,0,0,0,1,Surface.Seizing,9,21,0.42857142857142855
Aphrodroma brevirostris,Aphrodroma_brevirostris,Procellariiformes,1,Ainley et al. 1990a,1985.5,South Pacific Ocean,357,-0.21325552166826003,Cephalopods,0,1,1,1,1,0,0,0,0,1,Surface.Seizing,0,5,0
Aphrodroma brevirostris,Aphrodroma_brevirostris,Procellariiformes,1,Ainley et al. 1990a,1986,Southern Ocean,357,-0.21325552166826003,Cephalopods,0,1,1,1,1,0,0,0,0,1,Surface.Seizing,2,9,0.2222222222222222
Aphrodroma brevirostris,Aphrodroma_brevirostris,Procellariiformes,1,Reed 1981,1981,South Pacific Ocean,357,-0.21325552166826003,Cephalopods,0,1,1,1,1,0,0,0,0,1,Surface.Seizing,1,26,0.038461538461538464
Aphrodroma brevirostris,Aphrodroma_brevirostris,Procellariiformes,1,Roman et al. 2019,2016,Indian Ocean,357,-0.21325552166826003,Cephalopods,0,1,1,1,1,0,0,0,0,1,Surface.Seizing,0,1,0
Aphrodroma brevirostris,Aphrodroma_brevirostris,Procellariiformes,1,Roman et al. 2019,2016,South Pacific Ocean,357,-0.21325552166826003,Cephalopods,0,1,1,1,1,0,0,0,0,1,Surface.Seizing,1,1,1
Aphrodroma brevirostris,Aphrodroma_brevirostris,Procellariiformes,NA,Brown et al. 1986,1984,Indian Ocean,357,-0.21325552166826003,Cephalopods,0,1,1,1,1,0,0,0,0,1,Surface.Seizing,0,0,0
Aphrodroma brevirostris,Aphrodroma_brevirostris,Procellariiformes,NA,Furness 1985a,1983,South Pacific Ocean,357,-0.21325552166826003,Cephalopods,0,1,1,1,1,0,0,0,0,1,Surface.Seizing,1,13,0.07692307692307693
Aphrodroma brevirostris,Aphrodroma_brevirostris,Procellariiformes,NA,Roman et al. 2019,2015,South Pacific Ocean,357,-0.21325552166826003,Cephalopods,0,1,1,1,1,0,0,0,0,1,Surface.Seizing,0,1,0
Aphrodroma brevirostris,Aphrodroma_brevirostris,Procellariiformes,NA,"Roman et al., 2019a",2015,Southern Ocean,357,-0.21325552166826003,Cephalopods,0,1,1,1,1,0,0,0,0,1,Surface.Seizing,1,3,0.3333333333333333
Aphrodroma brevirostris,Aphrodroma_brevirostris,Procellariiformes,NA,Ryan 1987,1982,Indian Ocean,357,-0.21325552166826003,Cephalopods,0,1,1,1,1,0,0,0,0,1,Surface.Seizing,15,63,0.23809523809523808
Aptenodytes forsteri,Aptenodytes_forsteri,Sphenisciformes,0,Golubev 2020,2012,Southern Ocean,33850,7.578106835824334,Fish,0,1,1,1,0,0,0,0,0,1,Diving,1,1,1
Aptenodytes forsteri,Aptenodytes_forsteri,Sphenisciformes,0,"Leistenschneider et al., 2022",2018.5,Southern Ocean,33850,7.578106835824334,Fish,0,1,1,1,0,0,0,0,0,1,Diving,0,41,0
Aptenodytes forsteri,Aptenodytes_forsteri,Sphenisciformes,1,Ainley et al. 1990a,1985.5,South Pacific Ocean,33850,7.578106835824334,Fish,0,1,1,1,0,0,0,0,0,1,Diving,0,8,0
Aptenodytes forsteri,Aptenodytes_forsteri,Sphenisciformes,1,Ainley et al. 1990a,1986,Southern Ocean,33850,7.578106835824334,Fish,0,1,1,1,0,0,0,0,0,1,Diving,0,17,0
Aptenodytes forsteri,Aptenodytes_forsteri,Sphenisciformes,NA,Day et al. 1984,1973,Southern Ocean,33850,7.578106835824334,Fish,0,1,1,1,0,0,0,0,0,1,Diving,0,0,0
Aptenodytes patagonicus,Aptenodytes_patagonicus,Sphenisciformes,1,"Le Guen et al., 2020",2017,South Atlantic Ocean,11751,2.43729183751935,Fish,0,1,1,0,0,0,0,0,0,1,Diving,13,47,0.2765957446808511
Aptenodytes patagonicus,Aptenodytes_patagonicus,Sphenisciformes,1,"Robin et al., 2024",2019.5,Indian Ocean,11751,2.43729183751935,Fish,0,1,1,0,0,0,0,0,0,1,Diving,2,4,0.5
Aptenodytes patagonicus,Aptenodytes_patagonicus,Sphenisciformes,NA,Ryan 1987,1982,Indian Ocean,11751,2.43729183751935,Fish,0,1,1,0,0,0,0,0,0,1,Diving,0,150,0
Ardenna bulleri,Ardenna_bulleri,Procellariiformes,1,Ainley et al. 1990b,1986,Southern Ocean,407,-0.20162419220017327,Fish,0,1,1,1,0,1,0,0,1,1,Plunging,1,1,1
Ardenna bulleri,Ardenna_bulleri,Procellariiformes,1,Robards 1993,1990.5,North Pacific Ocean,407,-0.20162419220017327,Fish,0,1,1,1,0,1,0,0,1,1,Plunging,113,118,0.9576271186440678
Ardenna bulleri,Ardenna_bulleri,Procellariiformes,1,Spear et al. 1995,1987.5,South Pacific Ocean,407,-0.20162419220017327,Fish,0,1,1,1,0,1,0,0,1,1,Plunging,3,3,1
Ardenna carneipes,Ardenna_carneipes,Procellariiformes,0,Hutton et al. 2008,2005,South Pacific Ocean,609,-0.15463362114910278,Fish,0,1,1,0,0,0,0,0,0,1,Plunging,50,62,0.8064516129032258
Ardenna carneipes,Ardenna_carneipes,Procellariiformes,0,Lavers and Bond 2016a,2013,Indian Ocean,609,-0.15463362114910278,Fish,0,1,1,0,0,0,0,0,0,1,Plunging,7,7,1
Ardenna carneipes,Ardenna_carneipes,Procellariiformes,0,Lavers et al. 2014,2011,South Pacific Ocean,609,-0.15463362114910278,Fish,0,1,1,0,0,0,0,0,0,1,Plunging,34,38,0.8947368421052632
Ardenna carneipes,Ardenna_carneipes,Procellariiformes,0,"Lavers et al., 2021",2013,South Pacific Ocean,609,-0.15463362114910278,Fish,0,1,1,0,0,0,0,0,0,1,Plunging,353,718,0.49164345403899723
Ardenna carneipes,Ardenna_carneipes,Procellariiformes,1,"Charlton-Howard et al., 2023",2021.5,South Pacific Ocean,609,-0.15463362114910278,Fish,0,1,1,0,0,0,0,0,0,1,Plunging,26,30,0.8666666666666667
Ardenna carneipes,Ardenna_carneipes,Procellariiformes,1,Hutton et al. 2009,2004,South Pacific Ocean,609,-0.15463362114910278,Fish,0,1,1,0,0,0,0,0,0,1,Plunging,0,21,0
Ardenna carneipes,Ardenna_carneipes,Procellariiformes,1,"Keys et al., 2022",2021,South Pacific Ocean,609,-0.15463362114910278,Fish,0,1,1,0,0,0,0,0,0,1,Plunging,18,18,1
Ardenna carneipes,Ardenna_carneipes,Procellariiformes,1,Lavers and Bond 2016a,2011.5,Indian Ocean,609,-0.15463362114910278,Fish,0,1,1,0,0,0,0,0,0,1,Plunging,18,136,0.1323529411764706
Ardenna carneipes,Ardenna_carneipes,Procellariiformes,1,Lavers and Bond 2016a,2012.5,South Pacific Ocean,609,-0.15463362114910278,Fish,0,1,1,0,0,0,0,0,0,1,Plunging,3,4,0.75
Ardenna carneipes,Ardenna_carneipes,Procellariiformes,1,"Lavers et al., 2019a",2017.5,South Pacific Ocean,609,-0.15463362114910278,Fish,0,1,1,0,0,0,0,0,0,1,Plunging,52,57,0.9122807017543859
Ardenna carneipes,Ardenna_carneipes,Procellariiformes,1,"Lavers et al., 2019b",2015.5,South Pacific Ocean,609,-0.15463362114910278,Fish,0,1,1,0,0,0,0,0,0,1,Plunging,38,53,0.71698113207547165
