Clements2024_Binomial,tips,Order,freeflying,Source,Date_median,MarineRegion,Body.Mass.g,body_mass_2sd,Diet,Carrion,Fish,Cephalopods,Crustaceans,Other.Inverts,AS.Fishery,AS.Agriculture,AS.Refuse,Anthropogenic.Subsidy,Pelagic.Specialist,Feeding.method,n_plastic,n_total,FO
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,1993,North Pacific Ocean,259.5,-0.2359366141310292,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,1,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,1994,North Pacific Ocean,259.5,-0.2359366141310292,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,37,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,1995,North Pacific Ocean,259.5,-0.2359366141310292,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,46,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,1996,North Pacific Ocean,259.5,-0.2359366141310292,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,114,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,1997,North Pacific Ocean,259.5,-0.2359366141310292,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,121,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,1998,North Pacific Ocean,259.5,-0.2359366141310292,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,138,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,1999,North Pacific Ocean,259.5,-0.2359366141310292,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,124,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,2000,North Pacific Ocean,259.5,-0.2359366141310292,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,63,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,2001,North Pacific Ocean,259.5,-0.2359366141310292,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,83,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,2002,North Pacific Ocean,259.5,-0.2359366141310292,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,93,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,2003,North Pacific Ocean,259.5,-0.2359366141310292,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,56,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,2004,North Pacific Ocean,259.5,-0.2359366141310292,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,67,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,2005,North Pacific Ocean,259.5,-0.2359366141310292,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,74,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Bond et al. 2010,2006,North Pacific Ocean,259.5,-0.2359366141310292,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,94,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,1,Robards et al. 1995,1989,North Pacific Ocean,259.5,-0.2359366141310292,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,1,40,0.025
Aethia cristatella,Aethia_cristatella,Charadriiformes,NA,Day et al. 1984/Day 1980,1973,North Pacific Ocean,259.5,-0.2359366141310292,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,0,85,0
Aethia cristatella,Aethia_cristatella,Charadriiformes,NA,"Padula et al., 2020",2012,North Pacific Ocean,259.5,-0.2359366141310292,Crustaceans,0,1,1,1,1,0,0,0,0,1,Diving,6,7,0.8571428571428571
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,1993,North Pacific Ocean,270,-0.23349403494273097,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,6,0
Aethia psittacula,Aethia_psittacula,Charadriiformes,1,Bond et al. 2010,1994,North Pacific Ocean,270,-0.23349403494273097,Crustaceans,0,1,0,1,1,0,0,0,0,1,Diving,0,3,0
