HBWv8.1_Order,HBWv8.1_Family,HBWv8.1_Subfamily,HBWv8.1_Tribe,HBWv8.1_Common_name,HBWv8.1_Binomial,HBWv8.1_Genus,IUCN_2023,HBWv8.1_Synonyms
SPHENISCIFORMES,Spheniscidae,NA,NA,African Penguin,Spheniscus_demersus,Spheniscus,EN,NA
SPHENISCIFORMES,Spheniscidae,NA,NA,Magellanic Penguin,Spheniscus_magellanicus,Spheniscus,LC,NA
SPHENISCIFORMES,Spheniscidae,NA,NA,Humboldt Penguin,Spheniscus_humboldti,Spheniscus,VU,NA
SPHENISCIFORMES,Spheniscidae,NA,NA,Galapagos Penguin,Spheniscus_mendiculus,Spheniscus,EN,NA
PROCELLARIIFORMES,Oceanitidae,NA,NA,Wilson's Storm-petrel,Oceanites_oceanicus,Oceanites,LC,NA
PROCELLARIIFORMES,Oceanitidae,NA,NA,White-vented Storm-petrel,Oceanites_gracilis,Oceanites,DD,NA
PROCELLARIIFORMES,Oceanitidae,NA,NA,Pincoya Storm-petrel,Oceanites_pincoyae,Oceanites,DD,NA
PROCELLARIIFORMES,Oceanitidae,NA,NA,Grey-backed Storm-petrel,Garrodia_nereis,Garrodia,LC,Oceanites nereis
PROCELLARIIFORMES,Oceanitidae,NA,NA,White-faced Storm-petrel,Pelagodroma_marina,Pelagodroma,LC,NA
PROCELLARIIFORMES,Oceanitidae,NA,NA,White-bellied Storm-petrel,Fregetta_grallaria,Fregetta,LC,NA
PROCELLARIIFORMES,Oceanitidae,NA,NA,Black-bellied Storm-petrel,Fregetta_tropica,Fregetta,LC,NA
PROCELLARIIFORMES,Oceanitidae,NA,NA,New Zealand Storm-petrel,Fregetta_maoriana,Fregetta,CR,Pealeornis maoriana; Oceanites maorianus
PROCELLARIIFORMES,Oceanitidae,NA,NA,New Caledonian Storm-petrel,Fregetta_lineata,Fregetta,DD,Thalassidroma lineata
PROCELLARIIFORMES,Oceanitidae,NA,NA,Polynesian Storm-petrel,Nesofregetta_fuliginosa,Nesofregetta,EN,NA
PROCELLARIIFORMES,Hydrobatidae,NA,NA,European Storm-petrel,Hydrobates_pelagicus,Hydrobates,LC,NA
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Cape Verde Storm-petrel,Hydrobates_jabejabe,Hydrobates,LC,NA
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Band-rumped Storm-petrel,Hydrobates_castro,Hydrobates,LC,Oceanodroma castro
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Monteiro's Storm-petrel,Hydrobates_monteiroi,Hydrobates,VU,Oceanodroma monteiroi
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Matsudaira's Storm-petrel,Hydrobates_matsudairae,Hydrobates,VU,Oceanodroma matsudairae
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Black Storm-petrel,Hydrobates_melania,Hydrobates,LC,Oceanodroma melania
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Ashy Storm-petrel,Hydrobates_homochroa,Hydrobates,EN,Oceanodroma homochroa
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Least Storm-petrel,Hydrobates_microsoma,Hydrobates,LC,Halocyptena microsoma; Oceanodroma microsoma
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Wedge-rumped Storm-petrel,Hydrobates_tethys,Hydrobates,LC,Oceanodroma tethys
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Townsend's Storm-petrel,Hydrobates_socorroensis,Hydrobates,EN,Oceanodroma leucorhoa
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Ainley's Storm-petrel,Hydrobates_cheimomnestes,Hydrobates,VU,Oceanodroma leucorhoa
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Leach's Storm-petrel,Hydrobates_leucorhous,Hydrobates,VU,Oceanodroma leucorhoa
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Swinhoe's Storm-petrel,Hydrobates_monorhis,Hydrobates,NT,Hydrobates monorhis; Oceanodroma monorhis
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Tristram's Storm-petrel,Hydrobates_tristrami,Hydrobates,LC,Hydrobates tristrami; Oceanodroma tristrami
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Markham's Storm-petrel,Hydrobates_markhami,Hydrobates,NT,Oceanodroma markhami
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Fork-tailed Storm-petrel,Hydrobates_furcatus,Hydrobates,LC,Oceanodroma furcata
PROCELLARIIFORMES,Hydrobatidae,NA,NA,Ringed Storm-petrel,Hydrobates_hornbyi,Hydrobates,NT,Oceanodroma hornbyi
PROCELLARIIFORMES,Diomedeidae,NA,NA,Northern Royal Albatross,Diomedea_sanfordi,Diomedea,EN,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Southern Royal Albatross,Diomedea_epomophora,Diomedea,VU,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Wandering Albatross,Diomedea_exulans,Diomedea,VU,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Antipodean Albatross,Diomedea_antipodensis,Diomedea,EN,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Amsterdam Albatross,Diomedea_amsterdamensis,Diomedea,EN,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Tristan Albatross,Diomedea_dabbenena,Diomedea,CR,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Sooty Albatross,Phoebetria_fusca,Phoebetria,EN,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Light-mantled Albatross,Phoebetria_palpebrata,Phoebetria,NT,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Waved Albatross,Phoebastria_irrorata,Phoebastria,CR,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Black-footed Albatross,Phoebastria_nigripes,Phoebastria,NT,Diomedea nigripes
PROCELLARIIFORMES,Diomedeidae,NA,NA,Laysan Albatross,Phoebastria_immutabilis,Phoebastria,NT,Diomedea immutabilis
