HBWv8.1_Binomial,tips,is_freeflying,Source,Date_median,MarineRegion,body_mass_2sd,Carrion.NonFishVertebrates,Fish,Cephalopods,Crustaceans,Other.Inverts,AS.Refuse,pelagic_specialist_CR,Feeding.Method.Simple,DMS.responsive_Dell.Ariccia,n_plastic,n_total,n_na_plastic
Aethia psittacula,Aethia_psittacula,1,Bond et al. 2010,1996,North Pacific Ocean,-0.23022275706484294,0,1,0,1,1,0,1,Diving,NA,0,5,0
Aethia psittacula,Aethia_psittacula,1,Bond et al. 2010,1997,North Pacific Ocean,-0.23022275706484294,0,1,0,1,1,0,1,Diving,NA,0,3,0
Aethia psittacula,Aethia_psittacula,1,Bond et al. 2010,1998,North Pacific Ocean,-0.23022275706484294,0,1,0,1,1,0,1,Diving,NA,0,12,0
Aethia psittacula,Aethia_psittacula,1,Bond et al. 2010,1999,North Pacific Ocean,-0.23022275706484294,0,1,0,1,1,0,1,Diving,NA,0,1,0
Aethia psittacula,Aethia_psittacula,1,Bond et al. 2010,2000,North Pacific Ocean,-0.23022275706484294,0,1,0,1,1,0,1,Diving,NA,0,8,0
Aethia psittacula,Aethia_psittacula,1,Bond et al. 2010,2003,North Pacific Ocean,-0.23022275706484294,0,1,0,1,1,0,1,Diving,NA,0,2,0
Aethia psittacula,Aethia_psittacula,1,Bond et al. 2010,2004,North Pacific Ocean,-0.23022275706484294,0,1,0,1,1,0,1,Diving,NA,0,27,0
Aethia psittacula,Aethia_psittacula,1,Bond et al. 2010,2005,North Pacific Ocean,-0.23022275706484294,0,1,0,1,1,0,1,Diving,NA,0,29,0
Aethia psittacula,Aethia_psittacula,1,Bond et al. 2010,2006,North Pacific Ocean,-0.23022275706484294,0,1,0,1,1,0,1,Diving,NA,0,28,0
Aethia psittacula,Aethia_psittacula,1,Robards 1993,1990.5,North Pacific Ocean,-0.23022275706484294,0,1,0,1,1,0,1,Diving,NA,1,3,0
Aethia psittacula,Aethia_psittacula,1,Robards et al. 1995,1989,North Pacific Ocean,-0.23022275706484294,0,1,0,1,1,0,1,Diving,NA,195,208,0
Aethia psittacula,Aethia_psittacula,NA,Day et al. 1984/Day 1980,1973,North Pacific Ocean,-0.23022275706484294,0,1,0,1,1,0,1,Diving,NA,87,116,0
Aethia psittacula,Aethia_psittacula,NA,Pettit et al. 1981,1980,North Pacific Ocean,-0.23022275706484294,0,1,0,1,1,0,1,Diving,NA,1,1,0
Aethia pygmaea,Aethia_pygmaea,1,Bond et al. 2010,1993,North Pacific Ocean,-0.26856774623592333,0,0,0,1,1,0,1,Diving,NA,1,26,0
Aethia pygmaea,Aethia_pygmaea,1,Bond et al. 2010,1994,North Pacific Ocean,-0.26856774623592333,0,0,0,1,1,0,1,Diving,NA,0,16,0
Aethia pygmaea,Aethia_pygmaea,1,Bond et al. 2010,1995,North Pacific Ocean,-0.26856774623592333,0,0,0,1,1,0,1,Diving,NA,0,48,0
Aethia pygmaea,Aethia_pygmaea,1,Bond et al. 2010,1996,North Pacific Ocean,-0.26856774623592333,0,0,0,1,1,0,1,Diving,NA,0,71,0
Aethia pygmaea,Aethia_pygmaea,1,Bond et al. 2010,1997,North Pacific Ocean,-0.26856774623592333,0,0,0,1,1,0,1,Diving,NA,0,36,0
Aethia pygmaea,Aethia_pygmaea,1,Bond et al. 2010,1998,North Pacific Ocean,-0.26856774623592333,0,0,0,1,1,0,1,Diving,NA,0,26,0
Aethia pygmaea,Aethia_pygmaea,1,Bond et al. 2010,1999,North Pacific Ocean,-0.26856774623592333,0,0,0,1,1,0,1,Diving,NA,0,38,0
Aethia pygmaea,Aethia_pygmaea,1,Bond et al. 2010,2000,North Pacific Ocean,-0.26856774623592333,0,0,0,1,1,0,1,Diving,NA,0,33,0
Aethia pygmaea,Aethia_pygmaea,1,Bond et al. 2010,2001,North Pacific Ocean,-0.26856774623592333,0,0,0,1,1,0,1,Diving,NA,0,28,0
Aethia pygmaea,Aethia_pygmaea,1,Bond et al. 2010,2002,North Pacific Ocean,-0.26856774623592333,0,0,0,1,1,0,1,Diving,NA,0,32,0
Aethia pygmaea,Aethia_pygmaea,1,Bond et al. 2010,2003,North Pacific Ocean,-0.26856774623592333,0,0,0,1,1,0,1,Diving,NA,0,31,0
Aethia pygmaea,Aethia_pygmaea,1,Bond et al. 2010,2004,North Pacific Ocean,-0.26856774623592333,0,0,0,1,1,0,1,Diving,NA,0,37,0
Aethia pygmaea,Aethia_pygmaea,1,Bond et al. 2010,2005,North Pacific Ocean,-0.26856774623592333,0,0,0,1,1,0,1,Diving,NA,0,31,0
Aethia pygmaea,Aethia_pygmaea,1,Bond et al. 2010,2006,North Pacific Ocean,-0.26856774623592333,0,0,0,1,1,0,1,Diving,NA,0,36,0
Aethia pygmaea,Aethia_pygmaea,1,Robards et al. 1995,1989,North Pacific Ocean,-0.26856774623592333,0,0,0,1,1,0,1,Diving,NA,0,22,0
Aethia pygmaea,Aethia_pygmaea,NA,Day et al. 1984/Day 1980,1973,North Pacific Ocean,-0.26856774623592333,0,0,0,1,1,0,1,Diving,NA,0,5,0
Alca torda,Alca_torda,1,Acampora et al. 2016,2015,North Atlantic Ocean,-0.11955620603944644,0,1,0,1,1,0,1,Diving,NA,0,15,0
Alca torda,Alca_torda,1,Nicastro et al. 2018,2016,North Atlantic Ocean,-0.11955620603944644,0,1,0,1,1,0,1,Diving,NA,0,1,0
Alca torda,Alca_torda,1,Provencher et al. 2014,2004,North Atlantic Ocean,-0.11955620603944644,0,1,0,1,1,0,1,Diving,NA,0,2,0
Alca torda,Alca_torda,NA,Nicastro et al. 2018,2016,North Atlantic Ocean,-0.11955620603944644,0,1,0,1,1,0,1,Diving,NA,0,1,0
Alca torda,Alca_torda,NA,Provencher et al. 2014,2004,North Atlantic Ocean,-0.11955620603944644,0,1,0,1,1,0,1,Diving,NA,0,8,0
Alle alle,Alle_alle,1,Amelineau et al. 2016,2005,North Atlantic Ocean,-0.2517493427577216,0,1,0,1,1,0,1,Diving,NA,26,26,0
Alle alle,Alle_alle,1,Amelineau et al. 2016,2015,North Atlantic Ocean,-0.2517493427577216,0,1,0,1,1,0,1,Diving,NA,18,18,0
Alle alle,Alle_alle,1,Avery-Gomm et al. 2016,2013,North Atlantic Ocean,-0.2517493427577216,0,1,0,1,1,0,1,Diving,NA,52,171,0
Alle alle,Alle_alle,1,Fife et al. 2015,2013,North Atlantic Ocean,-0.2517493427577216,0,1,0,1,1,0,1,Diving,NA,9,65,0
Alle alle,Alle_alle,1,Lydersen et al. 1989,1984,Arctic Ocean,-0.2517493427577216,0,1,0,1,1,0,1,Diving,NA,5,11,0
Alle alle,Alle_alle,NA,Provencher et al. 2014,1988.5,Arctic Ocean,-0.2517493427577216,0,1,0,1,1,0,1,Diving,NA,0,19,0
Anous ceruleus,Anous_ceruleus,1,Spear et al. 1995,1987.5,South Pacific Ocean,-0.2828864447238584,0,1,1,1,1,0,1,Surface.Seizing,NA,0,3,0
Anous ceruleus,Anous_ceruleus,NA,Harrison et al. 1983,1980.5,North Pacific Ocean,-0.2828864447238584,0,1,1,1,1,0,1,Surface.Seizing,NA,0,111,0
Anous minutus,Anous_minutus,0,Sileo et al. 1990a,1987,North Pacific Ocean,-0.2675969870164023,0,1,1,0,0,0,1,Surface.Seizing,NA,1,35,0
Anous minutus,Anous_minutus,NA,Day et al. 1984/Harrison et al. 1983,1980,North Pacific Ocean,-0.2675969870164023,0,1,1,0,0,0,1,Surface.Seizing,NA,0,494,0
Anous stolidus,Anous_stolidus,0,Sileo et al. 1990a,1987,North Pacific Ocean,-0.24988063126014365,0,1,1,0,0,0,1,Surface.Seizing,NA,0,50,0
Anous stolidus,Anous_stolidus,1,Roman et al. 2016,2013,South Pacific Ocean,-0.24988063126014365,0,1,1,0,0,0,1,Surface.Seizing,NA,0,1,0
Anous stolidus,Anous_stolidus,1,Tavares et al. 2017,2011,South Pacific Ocean,-0.24988063126014365,0,1,1,0,0,0,1,Surface.Seizing,NA,0,1,0
Anous stolidus,Anous_stolidus,1,Tavares et al. 2017,2012,South Pacific Ocean,-0.24988063126014365,0,1,1,0,0,0,1,Surface.Seizing,NA,0,2,0
Anous stolidus,Anous_stolidus,1,Tavares et al. 2017,2013,South Pacific Ocean,-0.24988063126014365,0,1,1,0,0,0,1,Surface.Seizing,NA,0,1,0
Anous stolidus,Anous_stolidus,NA,Day et al. 1984/Harrison et al. 1983,1980.5,North Pacific Ocean,-0.24988063126014365,0,1,1,0,0,0,1,Surface.Seizing,NA,0,354,0
Anous tenuirostris,Anous_tenuirostris,1,Spear et al. 1995,1987.5,South Pacific Ocean,-0.26856774623592333,0,1,0,1,0,0,1,Surface.Seizing,NA,0,3,0
Aptenodytes forsteri,Aptenodytes_forsteri,1,Ainley et al. 1990a,1985.5,South Pacific Ocean,7.919300890814135,0,1,1,1,0,0,1,Diving,NA,0,8,0
Aptenodytes forsteri,Aptenodytes_forsteri,1,Ainley et al. 1990a,1986,Southern Ocean,7.919300890814135,0,1,1,1,0,0,1,Diving,NA,0,17,0
Aptenodytes forsteri,Aptenodytes_forsteri,NA,Day et al. 1984,1973,Southern Ocean,7.919300890814135,0,1,1,1,0,0,1,Diving,NA,0,0,0
Aptenodytes patagonicus,Aptenodytes_patagonicus,NA,Ryan 1987,1982,Indian Ocean,2.55609889276537,0,1,1,0,0,0,1,Diving,1,0,150,0
Ardenna bulleri,Ardenna_bulleri,1,Ainley et al. 1990b,1986,Southern Ocean,-0.19697425379624794,0,1,1,1,0,0,1,Plunging,NA,1,1,0
Ardenna bulleri,Ardenna_bulleri,1,Robards 1993,1990.5,North Pacific Ocean,-0.19697425379624794,0,1,1,1,0,0,1,Plunging,NA,113,118,0
Ardenna bulleri,Ardenna_bulleri,1,Spear et al. 1995,1987.5,South Pacific Ocean,-0.19697425379624794,0,1,1,1,0,0,1,Plunging,NA,3,3,0
Ardenna carneipes,Ardenna_carneipes,0,Hutton et al. 2008,2005,South Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,50,62,0
Ardenna carneipes,Ardenna_carneipes,0,Lavers and Bond 2016a,2013,Indian Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,7,7,0
Ardenna carneipes,Ardenna_carneipes,0,Lavers et al. 2014,2011,South Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,34,38,0
Ardenna carneipes,Ardenna_carneipes,1,Lavers and Bond 2016a,2011.5,Indian Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,18,136,0
Ardenna carneipes,Ardenna_carneipes,1,Lavers and Bond 2016a,2012.5,South Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,3,4,0
Ardenna carneipes,Ardenna_carneipes,1,Robards 1993,1990.5,North Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,79,83,0
Ardenna carneipes,Ardenna_carneipes,1,Robertson et al. 2004,1998,South Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,2,6,0
Ardenna carneipes,Ardenna_carneipes,1,Robertson et al. 2004,1999,South Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,1,2,0
Ardenna carneipes,Ardenna_carneipes,1,Robertson et al. 2004,2000,South Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,4,12,0
Ardenna carneipes,Ardenna_carneipes,1,Robertson et al. 2004,2001,South Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,6,10,0
Ardenna carneipes,Ardenna_carneipes,1,Roman et al. 2016,2013,South Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,1,1,0
Ardenna carneipes,Ardenna_carneipes,1,Roman et al. 2019,2002,South Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,5,8,0
Ardenna carneipes,Ardenna_carneipes,1,Roman et al. 2019,2003,South Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,4,5,0
Ardenna carneipes,Ardenna_carneipes,1,Roman et al. 2019,2004,South Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,1,1,0
Ardenna carneipes,Ardenna_carneipes,1,Roman et al. 2019,2007,South Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,0,2,0
Ardenna carneipes,Ardenna_carneipes,1,Roman et al. 2019,2008,South Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,0,1,0
Ardenna carneipes,Ardenna_carneipes,1,Roman et al. 2019,2011,Indian Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,1,7,0
Ardenna carneipes,Ardenna_carneipes,1,Roman et al. 2019,2013,Indian Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,4,15,0
Ardenna carneipes,Ardenna_carneipes,1,Roman et al. 2019,2014,Indian Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,6,41,0
Ardenna carneipes,Ardenna_carneipes,1,Roman et al. 2019,2014,South Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,1,1,0
Ardenna carneipes,Ardenna_carneipes,1,Roman et al. 2019,2015,Indian Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,8,32,0
Ardenna carneipes,Ardenna_carneipes,1,Roman et al. 2019,2015,South Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,3,8,0
Ardenna carneipes,Ardenna_carneipes,1,Roman et al. 2019,2016,Indian Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,10,31,0
Ardenna carneipes,Ardenna_carneipes,1,Roman et al. 2019,2016,South Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,5,8,0
Ardenna carneipes,Ardenna_carneipes,NA,Hutton et al. 2008,2001.5,South Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,14,14,0
Ardenna carneipes,Ardenna_carneipes,NA,Hutton et al. 2008,2003,South Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,124,124,0
Ardenna carneipes,Ardenna_carneipes,NA,Roman et al. 2019,2003,South Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,1,1,0
Ardenna carneipes,Ardenna_carneipes,NA,Roman et al. 2019,2010,South Pacific Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,0,1,0
Ardenna carneipes,Ardenna_carneipes,NA,Roman et al. 2019,2014,Indian Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,0,3,0
Ardenna carneipes,Ardenna_carneipes,NA,Roman et al. 2019,2015,Indian Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,1,2,0
Ardenna carneipes,Ardenna_carneipes,NA,Roman et al. 2019,2016,Indian Ocean,-0.14795091321043632,0,1,1,0,0,0,1,Plunging,NA,3,44,0
Ardenna creatopus,Ardenna_creatopus,1,Robards 1993,1990.5,North Pacific Ocean,-0.11518778955160185,0,1,1,1,0,0,1,Surface.Seizing,NA,1,1,0
Ardenna creatopus,Ardenna_creatopus,NA,Baltz and Morejohn 1976,1974.5,North Pacific Ocean,-0.11518778955160185,0,1,1,1,0,0,1,Surface.Seizing,NA,2,5,0
Ardenna gravis,Ardenna_gravis,1,Barbieri 2009,2001,South Pacific Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,21,29,0
Ardenna gravis,Ardenna_gravis,1,Bond et al. 2014,2005.5,North Atlantic Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,74,84,0
Ardenna gravis,Ardenna_gravis,1,Bourne 1976,1970,North Atlantic Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,1,1,0
Ardenna gravis,Ardenna_gravis,1,Brown et al. 1981,1974.5,North Atlantic Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,24,62,0
Ardenna gravis,Ardenna_gravis,1,Brown et al. 1981,1978,North Atlantic Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,16,20,0
Ardenna gravis,Ardenna_gravis,1,Colabuono et al. 2009,1999.5,South Pacific Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,16,18,0
Ardenna gravis,Ardenna_gravis,1,Colabuono et al. 2010,1991,South Pacific Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,6,6,0
Ardenna gravis,Ardenna_gravis,1,Furness 1983,1981,North Atlantic Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,9,10,0
Ardenna gravis,Ardenna_gravis,1,Furness 1985a,1983,South Pacific Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,11,13,0
Ardenna gravis,Ardenna_gravis,1,Haman et al. 2013,2002,North Atlantic Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,27,60,0
Ardenna gravis,Ardenna_gravis,1,Moser and Lee 1992,1982,North Atlantic Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,35,55,0
Ardenna gravis,Ardenna_gravis,1,Petry et al. 2002,1997.5,South Pacific Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,77,110,0
Ardenna gravis,Ardenna_gravis,1,Provencher et al. 2014,2006.5,North Atlantic Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,12,17,0
Ardenna gravis,Ardenna_gravis,1,Randall et al. 1983,1980,South Pacific Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,2,2,0
Ardenna gravis,Ardenna_gravis,1,Tavares et al. 2017,2012,South Pacific Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,5,9,0
Ardenna gravis,Ardenna_gravis,1,Tavares et al. 2017,2013,South Pacific Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,1,4,0
Ardenna gravis,Ardenna_gravis,1,Tourinho et al. 2010,2007,South Pacific Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,3,4,0
Ardenna gravis,Ardenna_gravis,NA,Powers and Van Ga 1979,1977,North Atlantic Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,0,0,0
Ardenna gravis,Ardenna_gravis,NA,Ryan 1987,1982,Indian Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,45,50,0
Ardenna gravis,Ardenna_gravis,NA,"Ryan, 2008",2005,South Pacific Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,0,53,0
Ardenna gravis,Ardenna_gravis,NA,Tavares et al. 2017,2012,South Pacific Ocean,-0.08970536003917502,0,1,1,1,0,0,1,Surface.Seizing,NA,3,3,0
Ardenna grisea,Ardenna_grisea,1,Ainley et al. 1990b,1986,Southern Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,18,25,0
Ardenna grisea,Ardenna_grisea,1,Avery-Gomm et al. 2013,2011,North Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,1,1,0
Ardenna grisea,Ardenna_grisea,1,Baltz and Morejohn 1976,1974.5,North Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,12,21,0
Ardenna grisea,Ardenna_grisea,1,Barbieri 2009,2001,South Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,7,11,0
Ardenna grisea,Ardenna_grisea,1,Blight and Burger 1997,1987,North Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,15,20,0
Ardenna grisea,Ardenna_grisea,1,Bond et al. 2014,2005.5,North Atlantic Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,36,50,0
Ardenna grisea,Ardenna_grisea,1,Bourne 1976,1970,North Atlantic Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,1,1,0
Ardenna grisea,Ardenna_grisea,1,Brown et al. 1981,1974.5,North Atlantic Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,5,30,0
Ardenna grisea,Ardenna_grisea,1,Brown et al. 1981,1978,North Atlantic Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,1,5,0
Ardenna grisea,Ardenna_grisea,1,Day 1980,1973,North Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,33,76,0
Ardenna grisea,Ardenna_grisea,1,Day et al. 1984,1977,North Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,19,37,0
Ardenna grisea,Ardenna_grisea,1,Day et al. 1984,1978.5,North Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,75,154,0
Ardenna grisea,Ardenna_grisea,1,Furness 1983,1981,North Atlantic Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,0,13,0
Ardenna grisea,Ardenna_grisea,1,Moser and Lee 1992,1982,North Atlantic Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,2,5,0
Ardenna grisea,Ardenna_grisea,1,Ogi 1989,1975,North Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,1,1,0
Ardenna grisea,Ardenna_grisea,1,Ogi 1989,1977,North Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,2,8,0
Ardenna grisea,Ardenna_grisea,1,Ogi 1989,1978,North Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,22,25,0
Ardenna grisea,Ardenna_grisea,1,Ogi 1989,1979,North Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,114,125,0
Ardenna grisea,Ardenna_grisea,1,Ogi 1989,1980,North Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,7,10,0
Ardenna grisea,Ardenna_grisea,1,Ogi 1989,1986,North Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,18,21,0
Ardenna grisea,Ardenna_grisea,1,Ogi 1989,1987,North Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,29,31,0
Ardenna grisea,Ardenna_grisea,1,Petry et al. 2002,1997.5,South Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,10,27,0
Ardenna grisea,Ardenna_grisea,1,Robards 1993,1990.5,North Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,462,543,0
Ardenna grisea,Ardenna_grisea,1,Robertson et al. 2004,1998,South Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,20,62,0
Ardenna grisea,Ardenna_grisea,1,Robertson et al. 2004,1999,South Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,6,23,0
Ardenna grisea,Ardenna_grisea,1,Robertson et al. 2004,2000,South Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,80,228,0
Ardenna grisea,Ardenna_grisea,1,Robertson et al. 2004,2001,South Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,30,99,0
Ardenna grisea,Ardenna_grisea,1,Roman et al. 2019,2011,South Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,0,1,0
Ardenna grisea,Ardenna_grisea,1,Roman et al. 2019,2012,South Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,0,1,0
Ardenna grisea,Ardenna_grisea,1,Roman et al. 2019,2015,Indian Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,0,1,0
Ardenna grisea,Ardenna_grisea,1,Roman et al. 2019,2015,South Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,9,63,0
Ardenna grisea,Ardenna_grisea,1,Roman et al. 2019,2016,South Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,7,19,0
Ardenna grisea,Ardenna_grisea,1,Roman et al. 2019,2017,South Pacific Ocean,-0.10475212794175086,0,1,1,1,0,0,1,Plunging,0,2,2,0
