HBWv8.1_Binomial,tips,is_freeflying,Source,Date_median,MarineRegion,body_mass_2sd,Carrion.NonFishVertebrates,Fish,Cephalopods,Crustaceans,Other.Inverts,AS.Refuse,pelagic_specialist_CR,Feeding.Method.Simple,DMS.responsive_Dell.Ariccia,n_plastic,n_total,n_na_plastic
Aethia cristatella,Aethia_cristatella,1,Bond et al. 2010,1993,North Pacific Ocean,-0.2327710000160856,0,1,1,1,1,0,1,Diving,NA,0,1,0
Aethia cristatella,Aethia_cristatella,1,Bond et al. 2010,1994,North Pacific Ocean,-0.2327710000160856,0,1,1,1,1,0,1,Diving,NA,0,37,0
Aethia cristatella,Aethia_cristatella,1,Bond et al. 2010,1995,North Pacific Ocean,-0.2327710000160856,0,1,1,1,1,0,1,Diving,NA,0,46,0
Aethia cristatella,Aethia_cristatella,1,Bond et al. 2010,1996,North Pacific Ocean,-0.2327710000160856,0,1,1,1,1,0,1,Diving,NA,0,114,0
Aethia cristatella,Aethia_cristatella,1,Bond et al. 2010,1997,North Pacific Ocean,-0.2327710000160856,0,1,1,1,1,0,1,Diving,NA,0,121,0
Aethia cristatella,Aethia_cristatella,1,Bond et al. 2010,1998,North Pacific Ocean,-0.2327710000160856,0,1,1,1,1,0,1,Diving,NA,0,138,0
Aethia cristatella,Aethia_cristatella,1,Bond et al. 2010,1999,North Pacific Ocean,-0.2327710000160856,0,1,1,1,1,0,1,Diving,NA,0,124,0
Aethia cristatella,Aethia_cristatella,1,Bond et al. 2010,2000,North Pacific Ocean,-0.2327710000160856,0,1,1,1,1,0,1,Diving,NA,0,63,0
Aethia cristatella,Aethia_cristatella,1,Bond et al. 2010,2001,North Pacific Ocean,-0.2327710000160856,0,1,1,1,1,0,1,Diving,NA,0,83,0
Aethia cristatella,Aethia_cristatella,1,Bond et al. 2010,2002,North Pacific Ocean,-0.2327710000160856,0,1,1,1,1,0,1,Diving,NA,0,93,0
Aethia cristatella,Aethia_cristatella,1,Bond et al. 2010,2003,North Pacific Ocean,-0.2327710000160856,0,1,1,1,1,0,1,Diving,NA,0,56,0
Aethia cristatella,Aethia_cristatella,1,Bond et al. 2010,2004,North Pacific Ocean,-0.2327710000160856,0,1,1,1,1,0,1,Diving,NA,0,67,0
Aethia cristatella,Aethia_cristatella,1,Bond et al. 2010,2005,North Pacific Ocean,-0.2327710000160856,0,1,1,1,1,0,1,Diving,NA,0,74,0
Aethia cristatella,Aethia_cristatella,1,Bond et al. 2010,2006,North Pacific Ocean,-0.2327710000160856,0,1,1,1,1,0,1,Diving,NA,0,94,0
Aethia cristatella,Aethia_cristatella,1,Robards et al. 1995,1989,North Pacific Ocean,-0.2327710000160856,0,1,1,1,1,0,1,Diving,NA,1,40,0
Aethia cristatella,Aethia_cristatella,NA,Day et al. 1984/Day 1980,1973,North Pacific Ocean,-0.2327710000160856,0,1,1,1,1,0,1,Diving,NA,0,85,0
Aethia psittacula,Aethia_psittacula,1,Bond et al. 2010,1993,North Pacific Ocean,-0.23022275706484294,0,1,0,1,1,0,1,Diving,NA,0,6,0
Aethia psittacula,Aethia_psittacula,1,Bond et al. 2010,1994,North Pacific Ocean,-0.23022275706484294,0,1,0,1,1,0,1,Diving,NA,0,3,0
Aethia psittacula,Aethia_psittacula,1,Bond et al. 2010,1995,North Pacific Ocean,-0.23022275706484294,0,1,0,1,1,0,1,Diving,NA,0,16,0
