tips,total_plastic,total_n,species_FO,n_studies,plastic
Thalasseus_sandvicensis,4,159,0.025157232704402517,7,yes
Thalassoica_antarctica,5,227,0.022026431718061675,8,yes
Uria_aalge,53,748,0.07085561497326204,16,yes
Uria_lomvia,190,2794,0.06800286327845383,18,yes
Urile_pelagicus,5,24,0.20833333333333334,4,yes
Urile_urile,3,28,0.10714285714285714,3,yes
Xema_sabini,0,6,0,3,no
Aethia_pusilla,NA,NA,NA,0,NA
Anous_albivitta,NA,NA,NA,0,NA
Brachyramphus_perdix,NA,NA,NA,0,NA
Bulweria_fallax,NA,NA,NA,0,NA
Calonectris_diomedea,NA,NA,NA,0,NA
Cepphus_carbo,NA,NA,NA,0,NA
Chlidonias_albostriatus,NA,NA,NA,0,NA
Chlidonias_hybrida,NA,NA,NA,0,NA
Chlidonias_leucopterus,NA,NA,NA,0,NA
Chroicocephalus_brunnicephalus,NA,NA,NA,0,NA
Chroicocephalus_bulleri,NA,NA,NA,0,NA
Chroicocephalus_genei,NA,NA,NA,0,NA
Chroicocephalus_maculipennis,NA,NA,NA,0,NA
Chroicocephalus_serranus,NA,NA,NA,0,NA
Creagrus_furcatus,NA,NA,NA,0,NA
Diomedea_amsterdamensis,NA,NA,NA,0,NA
Eudyptes_pachyrhynchus,NA,NA,NA,0,NA
Eudyptes_robustus,NA,NA,NA,0,NA
Eudyptes_schlegeli,NA,NA,NA,0,NA
Eudyptes_sclateri,NA,NA,NA,0,NA
Fregata_andrewsi,NA,NA,NA,0,NA
Fregata_aquila,NA,NA,NA,0,NA
Fregetta_lineata,NA,NA,NA,0,NA
Fregetta_maoriana,NA,NA,NA,0,NA
Gelochelidon_macrotarsa,NA,NA,NA,0,NA
Gelochelidon_nilotica,NA,NA,NA,0,NA
Hydrobates_cheimomnestes,NA,NA,NA,0,NA
Hydrobates_homochroa,NA,NA,NA,0,NA
Hydrobates_jabejabe,NA,NA,NA,0,NA
Hydrobates_matsudairae,NA,NA,NA,0,NA
Hydrobates_microsoma,NA,NA,NA,0,NA
Hydrobates_monteiroi,NA,NA,NA,0,NA
Hydrobates_socorroensis,NA,NA,NA,0,NA
Hydrocoloeus_minutus,NA,NA,NA,0,NA
Hydroprogne_caspia,NA,NA,NA,0,NA
Ichthyaetus_hemprichii,NA,NA,NA,0,NA
Ichthyaetus_ichthyaetus,NA,NA,NA,0,NA
Ichthyaetus_leucophthalmus,NA,NA,NA,0,NA
Ichthyaetus_relictus,NA,NA,NA,0,NA
Larosterna_inca,NA,NA,NA,0,NA
Larus_armenicus,NA,NA,NA,0,NA
Larus_atlanticus,NA,NA,NA,0,NA
Larus_belcheri,NA,NA,NA,0,NA
Larus_brachyrhynchus,NA,NA,NA,0,NA
Larus_cachinnans,NA,NA,NA,0,NA
Larus_californicus,NA,NA,NA,0,NA
Larus_livens,NA,NA,NA,0,NA
Larus_mongolicus,NA,NA,NA,0,NA
Larus_occidentalis,NA,NA,NA,0,NA
Larus_vegae,NA,NA,NA,0,NA
Leucocarbo_bransfieldensis,NA,NA,NA,0,NA
Leucocarbo_campbelli,NA,NA,NA,0,NA
Leucocarbo_carunculatus,NA,NA,NA,0,NA
Leucocarbo_chalconotus,NA,NA,NA,0,NA
Leucocarbo_colensoi,NA,NA,NA,0,NA
Leucocarbo_georgianus,NA,NA,NA,0,NA
Leucocarbo_magellanicus,NA,NA,NA,0,NA
Leucocarbo_melanogenis,NA,NA,NA,0,NA
Leucocarbo_nivalis,NA,NA,NA,0,NA
Leucocarbo_onslowi,NA,NA,NA,0,NA
Leucocarbo_purpurascens,NA,NA,NA,0,NA
Leucocarbo_ranfurlyi,NA,NA,NA,0,NA
Leucocarbo_verrucosus,NA,NA,NA,0,NA
Leucophaeus_fuliginosus,NA,NA,NA,0,NA
Leucophaeus_modestus,NA,NA,NA,0,NA
Leucophaeus_pipixcan,NA,NA,NA,0,NA
Leucophaeus_scoresbii,NA,NA,NA,0,NA
Lophodytes_cucullatus,NA,NA,NA,0,NA
Melanitta_americana,NA,NA,NA,0,NA
Melanitta_stejnegeri,NA,NA,NA,0,NA
Mergellus_albellus,NA,NA,NA,0,NA
Mergus_squamatus,NA,NA,NA,0,NA
Microcarbo_africanus,NA,NA,NA,0,NA
Microcarbo_melanoleucos,NA,NA,NA,0,NA
Microcarbo_niger,NA,NA,NA,0,NA
Microcarbo_pygmaeus,NA,NA,NA,0,NA
Nannopterum_harrisi,NA,NA,NA,0,NA
Oceanites_pincoyae,NA,NA,NA,0,NA
Pachyptila_crassirostris,NA,NA,NA,0,NA
Pachyptila_macgillivrayi,NA,NA,NA,0,NA
Papasula_abbotti,NA,NA,NA,0,NA
Pelecanoides_garnotii,NA,NA,NA,0,NA
Pelecanus_crispus,NA,NA,NA,0,NA
Pelecanus_onocrotalus,NA,NA,NA,0,NA
Pelecanus_philippensis,NA,NA,NA,0,NA
Pelecanus_rufescens,NA,NA,NA,0,NA
Pelecanus_thagus,NA,NA,NA,0,NA
Phaetusa_simplex,NA,NA,NA,0,NA
Phalacrocorax_capillatus,NA,NA,NA,0,NA
Phalacrocorax_featherstoni,NA,NA,NA,0,NA
Phalacrocorax_fuscescens,NA,NA,NA,0,NA
Phalacrocorax_fuscicollis,NA,NA,NA,0,NA
Phalacrocorax_nigrogularis,NA,NA,NA,0,NA
Phalacrocorax_punctatus,NA,NA,NA,0,NA
Phalaropus_tricolor,NA,NA,NA,0,NA
Poikilocarbo_gaimardi,NA,NA,NA,0,NA
Polysticta_stelleri,NA,NA,NA,0,NA
Pseudobulweria_becki,NA,NA,NA,0,NA
Pseudobulweria_macgillivrayi,NA,NA,NA,0,NA
Pterodroma_axillaris,NA,NA,NA,0,NA
Pterodroma_cahow,NA,NA,NA,0,NA
Pterodroma_defilippiana,NA,NA,NA,0,NA
Pterodroma_feae,NA,NA,NA,0,NA
Pterodroma_hasitata,NA,NA,NA,0,NA
Pterodroma_heraldica,NA,NA,NA,0,NA
Pterodroma_madeira,NA,NA,NA,0,NA
Pterodroma_magentae,NA,NA,NA,0,NA
Pterodroma_occulta,NA,NA,NA,0,NA
Puffinus_auricularis,NA,NA,NA,0,NA
Puffinus_bannermani,NA,NA,NA,0,NA
Puffinus_baroli,NA,NA,NA,0,NA
Puffinus_boydi,NA,NA,NA,0,NA
Puffinus_bryani,NA,NA,NA,0,NA
Puffinus_elegans,NA,NA,NA,0,NA
Puffinus_heinrothi,NA,NA,NA,0,NA
Puffinus_myrtae,NA,NA,NA,0,NA
Puffinus_opisthomelas,NA,NA,NA,0,NA
Puffinus_persicus,NA,NA,NA,0,NA
Puffinus_subalaris,NA,NA,NA,0,NA
Rhodostethia_rosea,NA,NA,NA,0,NA
Rynchops_albicollis,NA,NA,NA,0,NA
Rynchops_flavirostris,NA,NA,NA,0,NA
Saundersilarus_saundersi,NA,NA,NA,0,NA
Somateria_fischeri,NA,NA,NA,0,NA
Stercorarius_chilensis,NA,NA,NA,0,NA
Sterna_forsteri,NA,NA,NA,0,NA
Sterna_striata,NA,NA,NA,0,NA
Sterna_sumatrana,NA,NA,NA,0,NA
Sterna_trudeaui,NA,NA,NA,0,NA
Sternula_antillarum,NA,NA,NA,0,NA
Sternula_balaenarum,NA,NA,NA,0,NA
Sternula_lorata,NA,NA,NA,0,NA
Sternula_saundersi,NA,NA,NA,0,NA
Sternula_superciliaris,NA,NA,NA,0,NA
Sula_brewsteri,NA,NA,NA,0,NA
Sula_granti,NA,NA,NA,0,NA
Sula_nebouxii,NA,NA,NA,0,NA
Sula_variegata,NA,NA,NA,0,NA
Synthliboramphus_craveri,NA,NA,NA,0,NA
Synthliboramphus_scrippsi,NA,NA,NA,0,NA
Synthliboramphus_wumizusume,NA,NA,NA,0,NA
Thalasseus_albididorsalis,NA,NA,NA,0,NA
Thalasseus_bengalensis,NA,NA,NA,0,NA
Thalasseus_bernsteini,NA,NA,NA,0,NA
Thalasseus_elegans,NA,NA,NA,0,NA
Urile_penicillatus,NA,NA,NA,0,NA
