clements2024_binomial,mean_species_FO_weighted
Aethia psittacula,0.6068376068376068
Ardenna bulleri,0.9590163934426229
Ardenna carneipes,0.6514264813460132
Ardenna gravis,0.7376923076923076
Ardenna grisea,0.5871754107048225
Ardenna tenuirostris,0.8236533253084563
Calonectris borealis,0.7925058548009367
Fulmarus glacialis,0.8381929445644348
Halobaena caerulea,0.7951807228915663
Hydrobates monorhis,0.9639344262295082
Hydrobates tristrami,0.8552036199095022
Pachyptila desolata,0.5304878048780488
Pelagodroma marina,0.6898047722342733
Phoebastria immutabilis,0.8943710910354413
Phoebastria nigripes,0.7367303609341825
